=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:56:08 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2433124;10516259
2433150;10598791
2433177;10516156
2433203;10516387
2433230;10516349
2433255;10516264
2433282;10516997
2433308;10516688
2433334;10516668
2433360;10517077
2433386;10517092
2433413;10516901
2433439;10517165
2433465;10517062
2433491;10517109
2433518;10516851
2433544;10517155
2433570;10517363
2433597;10517358
2433623;10517426
2433648;10517451
2433675;10517574
2433701;10517461
2433727;10517554
2433754;10517629
2433780;10517862
2433806;10517682
2433833;10517717
2433859;10517918
2433885;10517767
2433911;10518337
2433937;10517544
2433963;10517983
2433989;10518189
2434016;10517845
2434042;10518144
2434068;10518209
2434094;10518274
2434121;10518146
2434147;10518131
2434173;10518231
2434199;10519057
2434225;10518337
2434252;10518297
2434277;10518332
2434304;10518410
2434330;10518633
2434357;10518533
2434383;10518342
2434409;10518553
2434435;10517930
2434462;10518460
2434487;10518309
2434514;10518726
2434540;10518706
2434566;10518620
2434593;10518470
2434618;10518294
2434645;10518553
2434671;10518111
2434697;10518676
2434723;10518523
2434750;10518869
2434776;10518809
2434802;10518570
2434828;10518756
2434855;10518884
2434881;10518882
2434907;10518969
2434933;10518761
2434959;10518791
2434985;10518957
2435012;10518608
2435038;10518497
2435065;10518412
2435090;10518962
2435117;10519090
2435143;10518676
2435169;10518623
2435195;10518844
2435221;10518711
2435248;10518804
2435274;10518761
2435300;10518608
2435327;10518794
2435353;10518736
2435379;10518746
2435405;10518987
2435431;10518560
2435458;10518620
2435483;10518869
2435510;10519065
2435536;10518894
2435562;10519223
2435589;10519301
2435614;10518924
2435641;10518746
2435667;10519020
2435694;10518977
2435719;10519662
2435746;10519911
2435772;10519381
2435798;10519175
2435824;10518999
2435851;10518894
2435877;10519326
2435903;10519042
2435929;10519567
2435956;10519567
2435982;10519175
2436008;10519223
2436034;10519449
2436060;10519534
2436087;10519484
2436113;10519090
2436139;10519434
2436165;10519253
2436192;10519030
2436218;10518580
2436244;10518929
2436270;10519085
2436297;10518932
2436322;10519474
2436348;10519233
2436375;10519361
2436401;10519160
2436427;10519366
2436453;10519075
2436480;10519115
2436506;10519218
2436532;10519725
2436558;10519456
2436585;10519652
2436611;10519459
2436637;10519863
2436663;10519888
2436690;10519439
2436716;10519745
2436742;10520051
2436768;10519577
2436795;10519976
2436821;10520011
2436846;10519888
2436873;10520129
2436899;10519592
2436925;10520026
2436952;10520054
2436978;10519692
2437005;10520016
2437031;10524150
2437057;10520114
2437082;10519963
2437109;10520493
2437136;10520119
2437162;10520041
2437187;10519860
2437214;10519986
2437240;10519921
2437266;10519795
2437292;10520458
2437319;10520194
2437345;10520059
2437371;10520277
2437398;10520134
2437424;10520182
2437450;10520332
2437476;10520084
2437503;10520478
2437529;10520222
2437555;10519878
2437581;10520405
2437607;10520636
2437634;10520410
2437659;10520764
2437686;10520468
2437712;10520862
2437738;10519976
2437764;10520510
2437791;10520204
2437817;10520350
2437843;10520395
2437869;10520533
2437896;10520234
2437922;10520202
2437948;10520242
2437974;10520395
2438000;10520518
2438027;10520094
2438053;10519883
2438079;10520066
2438105;10520011
2438131;10519707
2438158;10520089
2438184;10520104
2438210;10520247
2438236;10520375
2438263;10520578
2438288;10520613
2438315;10520774
2438341;10521040
2438368;10520508
2438394;10520503
2438420;10520445
2438446;10520385
2438472;10520370
2438499;10520995
2438524;10520754
2438551;10520518
2438577;10520626
2438603;10520686
2438629;10520601
2438656;10520435
2438682;10520325
2438708;10520086
2438735;10520395
2438761;10520666
2438786;10520631
2438813;10520957
2438839;10520551
2438866;10521301
2438891;10520711
2438918;10520975
2438944;10520385
2438970;10520546
2438996;10520518
2439023;10520518
2439049;10521030
2439075;10520749
2439101;10520706
2439127;10520759
2439154;10520578
2439180;10520611
2439206;10520425
2439232;10520699
2439259;10520169
2439285;10520814
2439311;10520701
2439337;10520468
2439364;10520759
2439390;10520588
2439416;10520822
2439442;10520518
2439469;10520621
2439495;10520892
2439521;10520716
2439547;10520699
2439573;10520621
2439600;10520731
2439626;10520822
2439652;10520573
2439678;10520797
2439704;10520533
2439730;10520548
2439757;10521035
2439783;10520546
2439809;10520563
2439835;10520586
2439861;10520759
2439888;10520774
2439914;10520769
2439940;10520804
2439966;10520581
2439993;10520741
2440019;10520551
2440045;10520701
2440071;10520257
2440098;10520217
2440124;10520109
2440150;10520839
2440176;10520839
2440202;10520769
2440228;10520513
2440255;10520804
2440281;10520385
2440307;10520498
2440333;10520267
2440359;10520332
2440386;10520704
2440412;10520219
2440438;10520423
2440464;10520011
2440491;10520104
2440517;10520242
2440543;10520209
2440570;10520217
2440595;10520169
2440622;10520252
2440648;10520325
2440674;10520262
2440700;10520305
2440727;10520101
2440753;10520952
2440779;10520970
2440805;10520455
2440832;10520581
2440857;10520513
2440884;10520488
2440911;10521040
2440936;10520626
2440963;10520621
2440989;10520495
2441015;10520139
2441041;10520897
2441067;10521361
2441094;10520601
2441120;10520847
2441146;10520849
2441173;10520566
2441198;10520839
2441225;10520955
2441251;10521203
2441277;10520824
2441304;10520766
2441329;10520761
2441356;10521075
2441382;10520749
2441409;10521040
2441434;10520553
2441461;10521266
2441487;10520930
2441513;10521228
2441540;10520802
2441565;10521803
2441592;10521143
2441618;10521389
2441644;10521306
2441671;10521326
2441697;10521733
2441723;10521404
2441749;10521843
2441775;10521281
2441802;10521507
2441828;10521276
2441854;10521507
2441881;10521971
2441907;10521580
2441933;10521306
2441959;10521507
2441985;10521286
2442011;10521354
2442037;10521316
2442064;10521379
2442090;10521133
2442116;10520789
2442142;10520834
2442169;10520561
2442195;10521090
2442221;10520636
2442248;10521394
2442273;10520857
2442299;10520641
2442326;10520237
2442352;10520749
2442378;10520754
2442405;10520907
2442430;10520706
2442457;10520716
2442483;10520985
2442509;10520739
2442536;10520804
2442562;10520686
2442588;10521108
2442614;10521359
2442641;10521110
2442666;10521447
2442693;10521381
2442719;10521226
2442746;10521517
2442772;10521404
2442797;10520965
2442824;10521429
2442850;10521010
2442876;10521582
2442902;10521158
2442929;10521339
2442955;10521158
2442981;10521504
2443008;10521148
2443033;10521469
2443059;10521231
2443086;10521464
2443113;10520822
2443139;10521434
2443165;10521301
2443190;10521572
2443217;10521336
2443243;10521286
2443269;10521236
2443296;10521522
2443322;10521803
2443349;10521971
2443375;10521640
2443401;10521979
2443427;10521562
2443453;10521040
2443479;10521098
2443506;10521414
2443531;10521409
2443558;10521316
2443585;10521334
2443610;10521499
2443637;10521758
2443663;10521723
2443689;10521612
2443716;10521434
2443741;10521344
2443767;10522177
2443794;10521597
2443820;10521768
2443846;10521457
2443873;10521873
2443898;10521964
2443925;10521853
2443951;10521826
2443978;10521780
2444004;10521700
2444030;10521768
2444056;10521773
2444082;10521612
2444109;10522019
2444134;10522014
2444161;10521725
2444187;10521916
2444213;10521841
2444239;10521931
2444266;10522385
2444292;10521939
2444318;10522360
2444344;10522112
2444371;10522661
2444397;10521979
2444423;10522014
2444449;10521966
2444475;10522084
2444502;10522285
2444528;10522970
2444554;10522147
2444580;10522270
2444606;10522629
2444633;10521956
2444659;10522014
2444685;10521981
2444712;10522069
2444737;10522024
2444764;10521690
2444790;10521886
2444816;10522089
2444842;10522734
2444869;10522192
2444895;10522506
2444921;10522275
2444947;10522631
2444973;10522501
2444999;10522501
2445026;10522714
2445053;10522262
2445079;10521908
2445104;10522656
2445131;10522674
2445157;10522433
2445184;10522561
2445209;10522604
2445236;10522561
2445262;10522822
2445288;10523379
2445314;10523106
2445341;10522917
2445367;10522955
2445393;10523005
2445419;10522985
2445446;10522729
2445472;10523098
2445498;10522945
2445524;10522847
2445550;10522827
2445577;10522822
2445602;10522483
2445628;10522845
2445655;10523055
2445682;10522902
2445707;10522709
2445734;10522659
2445760;10522739
2445786;10522666
2445812;10522747
2445839;10522483
2445865;10522388
2445891;10522378
2445917;10522832
2445943;10522541
2445970;10523359
2445996;10522649
2446023;10522950
2446048;10522862
2446075;10523106
2446101;10522877
2446127;10523339
2446153;10523364
2446179;10522847
2446206;10523161
2446232;10523680
2446258;10523126
2446284;10523058
2446310;10523123
2446337;10523314
2446363;10523176
2446389;10523221
2446415;10522812
2446442;10522970
2446467;10522842
2446494;10522980
2446520;10522842
2446546;10522955
2446573;10523166
2446599;10523048
2446625;10523409
2446651;10523224
2446678;10523434
2446704;10523038
2446730;10522965
2446756;10523141
2446783;10523329
2446809;10523299
2446835;10523836
2446861;10523231
2446887;10523402
2446913;10523301
2446940;10523354
2446966;10523788
2446992;10523088
2447018;10523068
2447045;10523111
2447070;10523487
2447097;10523221
2447123;10523319
2447149;10523103
2447175;10523005
2447202;10523181
2447228;10523600
2447254;10523545
2447280;10523294
2447307;10523339
2447333;10523439
2447359;10523675
2447386;10523314
2447412;10523688
2447437;10523718
2447464;10523620
2447490;10523414
2447516;10523211
2447543;10523585
2447569;10523620
2447595;10523477
2447621;10522897
2447647;10523176
2447674;10523447
2447700;10523555
2447726;10523274
2447753;10523866
2447778;10523763
2447805;10523319
2447831;10523733
2447857;10523507
2447884;10523575
2447910;10523708
2447936;10523708
2447962;10524054
2447988;10523271
2448015;10523432
2448040;10523251
2448067;10523480
2448093;10523861
2448119;10523429
2448145;10523625
2448172;10523801
2448198;10523949
2448224;10523813
2448251;10523796
2448276;10523422
2448303;10523763
2448329;10524062
2448355;10523550
2448381;10523959
2448408;10523728
2448434;10523645
2448460;10523706
2448486;10523557
2448513;10523545
2448539;10523791
2448565;10523537
2448591;10523736
2448618;10523999
2448643;10523171
2448670;10523472
2448696;10523412
2448722;10523763
