=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:54:01 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2315130;10531672
2315157;10532227
2315183;10532121
2315209;10531946
2315235;10532034
2315261;10532485
2315288;10532104
2315313;10532094
2315340;10531778
2315367;10532325
2315392;10532199
2315419;10532129
2315445;10532505
2315471;10532131
2315498;10531700
2315524;10531705
2315549;10532224
2315576;10531788
2315602;10531778
2315628;10531926
2315655;10531951
2315681;10531855
2315707;10531978
2315733;10531843
2315760;10532126
2315786;10532217
2315812;10532847
2315838;10532408
2315865;10532274
2315890;10532355
2315917;10532588
2315943;10532247
2315969;10532179
2315995;10532315
2316022;10532387
2316048;10532315
2316074;10532177
2316100;10532367
2316127;10532182
2316153;10532340
2316179;10532573
2316205;10532370
2316231;10532074
2316258;10531895
2316284;10532177
2316310;10532219
2316337;10531587
2316362;10531757
2316389;10531880
2316415;10531978
2316441;10532370
2316467;10531805
2316494;10531843
2316520;10532034
2316546;10532157
2316572;10532066
2316598;10531936
2316624;10532013
2316651;10531926
2316677;10532074
2316703;10531976
2316730;10532069
2316756;10532242
2316782;10532074
2316808;10531946
2316834;10531843
2316860;10532450
2316887;10532151
2316913;10531991
2316939;10531895
2316966;10531840
2316991;10532234
2317018;10532413
2317044;10532124
2317070;10532254
2317097;10532305
2317123;10531968
2317149;10531860
2317175;10531675
2317201;10531880
2317227;10531853
2317254;10532044
2317280;10532159
2317306;10531991
2317333;10531757
2317359;10531614
2317385;10531875
2317411;10531848
2317437;10531783
2317463;10531931
2317490;10531885
2317516;10531906
2317542;10532131
2317568;10531773
2317595;10531865
2317620;10531818
2317647;10531614
2317673;10531562
2317699;10531685
2317726;10531532
2317752;10531803
2317778;10531880
2317805;10531991
2317830;10532342
2317857;10532157
2317883;10532134
2317910;10532134
2317935;10532194
2317962;10532518
2317988;10532239
2318014;10532239
2318040;10532029
2318067;10532300
2318092;10532443
2318119;10532285
2318145;10532162
2318171;10532628
2318197;10532852
2318224;10532781
2318250;10532623
2318276;10533002
2318302;10532227
2318329;10532121
2318355;10532141
2318381;10532433
2318407;10532182
2318434;10532721
2318459;10532192
2318486;10532116
2318512;10532064
2318539;10532091
2318564;10532177
2318591;10532274
2318617;10532606
2318643;10532664
2318670;10532317
2318696;10533053
2318722;10532498
2318748;10532239
2318774;10532510
2318800;10532355
2318827;10532460
2318853;10532418
2318879;10532621
2318905;10532664
2318932;10532568
2318958;10532621
2318984;10532721
2319010;10532556
2319036;10533053
2319063;10532515
2319089;10532867
2319115;10532613
2319141;10532510
2319168;10532689
2319194;10532802
2319220;10532862
2319247;10532571
2319272;10532551
2319299;10532500
2319324;10532744
2319351;10532935
2319377;10532578
2319403;10532463
2319430;10532598
2319456;10532192
2319482;10532280
2319509;10532729
2319534;10532172
2319561;10532551
2319587;10532709
2319613;10532515
2319640;10532355
2319665;10532776
2319692;10532844
2319718;10532508
2319744;10532689
2319770;10532709
2319797;10532515
2319823;10532365
2319849;10532367
2319875;10532458
2319901;10532372
2319928;10532249
2319954;10532551
2319980;10532428
2320007;10532787
2320032;10532734
2320059;10532588
2320085;10532541
2320111;10532493
2320138;10532909
2320163;10532844
2320190;10532764
2320216;10532664
2320243;10532741
2320268;10532812
2320295;10532530
2320321;10532633
2320347;10532626
2320373;10532721
2320400;10532807
2320425;10532714
2320452;10533723
2320479;10532352
2320504;10532382
2320531;10532664
2320556;10532104
2320583;10532551
2320610;10532420
2320635;10532101
2320662;10532787
2320688;10532975
2320714;10532470
2320741;10532237
2320766;10532214
2320793;10532126
2320819;10532556
2320845;10532232
2320872;10532202
2320898;10532546
2320924;10532551
2320950;10532566
2320977;10532330
2321002;10532280
2321029;10532418
2321055;10532229
2321081;10532325
2321108;10532320
2321133;10532460
2321160;10531793
2321186;10531823
2321212;10531522
2321239;10531835
2321265;10531976
2321291;10532367
2321317;10532141
2321344;10531850
2321369;10531735
2321396;10531901
2321422;10532111
2321448;10531825
2321475;10531760
2321500;10531660
2321527;10531612
2321553;10532192
2321579;10531650
2321606;10531650
2321632;10531404
2321658;10531464
2321684;10531607
2321711;10531840
2321736;10531516
2321763;10531336
2321789;10531220
2321815;10530947
2321842;10531220
2321867;10531173
2321894;10531193
2321920;10531552
2321946;10531456
2321973;10531015
2321998;10530907
2322025;10531037
2322051;10531399
2322077;10531778
2322104;10531378
2322129;10531557
2322156;10531685
2322182;10530897
2322208;10531474
2322235;10531338
2322261;10531491
2322287;10531527
2322313;10531547
2322339;10531587
2322366;10531240
2322392;10531343
2322418;10531860
2322445;10531757
2322470;10531378
2322497;10531321
2322523;10531296
2322549;10531328
2322575;10531439
2322602;10531554
2322628;10531501
2322654;10531346
2322680;10531808
2322706;10531399
2322733;10531361
2322759;10531419
2322785;10531602
2322812;10531916
2322837;10531554
2322864;10531388
2322890;10531509
2322917;10531479
2322942;10531537
2322969;10531639
2322995;10531687
2323021;10531474
2323048;10531444
2323073;10531589
2323100;10531265
2323126;10531125
2323152;10531215
2323179;10531321
2323205;10531130
2323231;10531597
2323257;10531665
2323284;10531323
2323309;10531660
2323336;10531368
2323362;10531602
2323388;10531740
2323414;10531549
2323441;10531439
2323467;10531456
2323493;10531710
2323519;10531373
2323545;10531316
2323572;10531589
2323598;10531542
2323624;10531825
2323650;10531655
2323677;10531757
2323703;10531439
2323729;10531419
2323755;10531559
2323781;10532345
2323808;10531311
2323834;10531255
2323860;10531225
2323886;10531378
2323912;10531399
2323939;10531466
2323965;10531833
2323991;10531532
2324017;10530924
2324044;10530892
2324070;10530967
2324096;10531195
2324122;10530989
2324149;10530989
2324175;10531228
2324200;10531439
2324227;10531127
2324253;10531220
2324280;10531602
2324305;10531117
2324332;10531426
2324358;10531015
2324385;10531414
2324410;10530826
2324437;10531002
2324463;10531137
2324489;10531542
2324516;10531399
2324541;10531230
2324568;10531243
2324594;10531220
2324620;10530681
2324646;10537329
2324672;10531075
2324699;10531619
2324725;10531205
2324751;10531235
2324777;10531223
2324804;10531358
2324830;10531399
2324856;10531670
2324882;10531436
2324909;10531394
2324935;10531486
2324961;10531464
2324987;10531506
2325014;10531220
2325040;10531459
2325066;10531072
2325092;10531097
2325119;10531316
2325144;10531200
2325171;10531060
2325197;10531388
2325223;10531020
2325250;10531077
2325276;10531015
2325302;10531368
2325328;10530984
2325354;10530849
2325381;10530922
2325406;10531250
2325433;10530839
2325459;10531037
2325485;10531228
2325511;10531323
2325538;10531045
2325564;10531471
2325590;10531060
2325617;10531015
2325642;10531486
2325669;10531414
2325695;10531092
2325721;10531020
2325747;10531035
2325774;10530620
2325800;10530560
2325826;10530769
2325853;10530764
2325878;10531004
2325905;10530764
2325931;10530590
2325957;10530267
2325984;10530646
2326009;10530472
2326036;10530523
2326062;10530676
2326088;10530605
2326115;10530769
2326141;10530497
2326167;10530427
2326193;10530711
2326219;10531020
2326246;10530819
2326272;10530791
2326298;10531015
2326324;10531378
2326350;10536376
2326376;10531366
2326403;10531368
