=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:40:55 =~=~=~=~=~=~=~=~=~=~=~=
dry ope       calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1533057;10542264
1533083;10542899
1533109;10542402
1533135;10542136
1533161;10542196
1533188;10542919
1533214;10542337
1533240;10543077
1533267;10542447
1533292;10542309
1533319;10542457
1533345;10542648
1533371;10542756
1533398;10542874
1533424;10542136
1533450;10542478
1533476;10543118
1533502;10542693
1533529;10542284
1533555;10542545
1533581;10541955
1533607;10542181
1533634;10542008
1533659;10542141
1533686;10542500
1533713;10542460
1533738;10542350
1533765;10542249
1533790;10542078
1533817;10542166
1533843;10542171
1533869;10542003
1533896;10541581
1533922;10541564
1533948;10541644
1533974;10541983
1534001;10541880
1534026;10542417
1534053;10542289
1534079;10542234
1534106;10542972
1534131;10542472
1534158;10542465
1534184;10542422
1534210;10542402
1534237;10542427
1534262;10542638
1534289;10542854
1534315;10542008
1534341;10542294
1534368;10542495
1534394;10542171
1534420;10542239
1534446;10542121
1534473;10542166
1534499;10542244
1534525;10541687
1534551;10541843
1534577;10542229
1534603;10542136
1534630;10541835
1534656;10542186
1534682;10542314
1534708;10542166
1534735;10541526
1534761;10541725
1534787;10541476
1534813;10541275
1534840;10541604
1534865;10541742
1534892;10541574
1534918;10541581
1534944;10541481
1534971;10541634
1534996;10541810
1535023;10541730
1535049;10541634
1535076;10542440
1535101;10542289
1535128;10542352
1535154;10542006
1535180;10541868
1535207;10541986
1535232;10541599
1535259;10541280
1535285;10542023
1535311;10541878
1535338;10542470
1535363;10542723
1535390;10543077
1535416;10543220
1535442;10542786
1535469;10543085
1535495;10542867
1535521;10543062
1535547;10543625
1535574;10543180
1535600;10543087
1535626;10543524
1535652;10543481
1535678;10543057
1535705;10543273
1535731;10543133
1535757;10543524
1535783;10543145
1535810;10543243
1535835;10543200
1535862;10542683
1535888;10543077
1535914;10542831
1535941;10542889
1535967;10543748
1535993;10543228
1536019;10543145
1536046;10543431
1536071;10543579
1536098;10543775
1536124;10543271
1536150;10543554
1536176;10543569
1536203;10543795
1536229;10543534
1536255;10543908
1536281;10544297
1536308;10544076
1536333;10543810
1536360;10543622
1536386;10544362
1536412;10543863
1536439;10544282
1536464;10544142
1536491;10544385
1536517;10543906
1536543;10544199
1536570;10544275
1536596;10544322
1536622;10544332
1536648;10544528
1536675;10544184
1536700;10544114
1536727;10544009
1536753;10543923
1536779;10544094
1536806;10544721
1536832;10544101
1536858;10544154
1536884;10544247
1536910;10543999
1536936;10544380
1536963;10544275
1536989;10544011
1537015;10544523
1537041;10544440
1537068;10544676
1537094;10544649
1537120;10544523
1537146;10544408
1537172;10544744
1537199;10544726
1537225;10544307
1537251;10544644
1537277;10544603
1537304;10544706
1537329;10544696
1537356;10544563
1537382;10544930
1537408;10544418
1537435;10544169
1537461;10544242
1537487;10544169
1537513;10543923
1537540;10543788
1537566;10543795
1537592;10544049
1537618;10543956
1537644;10543835
1537670;10544932
1537697;10544649
1537723;10543916
1537749;10544011
1537775;10543737
1537802;10544654
1537828;10543830
1537854;10543991
1537880;10543783
1537907;10543584
1537933;10543549
1537959;10543072
1537985;10543263
1538011;10543384
1538038;10544004
1538064;10543396
1538090;10543702
1538116;10543594
1538142;10543391
1538169;10543657
1538195;10543574
1538221;10543652
1538247;10543549
1538274;10543569
1538299;10543474
1538326;10543539
1538352;10544034
1538378;10543346
1538405;10543524
1538430;10542668
1538457;10543000
1538483;10543308
1538509;10543138
1538536;10543035
1538562;10542862
1538588;10543293
1538614;10543351
1538640;10543323
1538667;10543441
1538692;10543150
1538719;10542869
1538746;10543502
1538771;10543118
1538798;10542703
1538824;10542741
1538850;10543293
1538877;10543303
1538903;10543469
1538929;10543532
1538955;10544086
1538981;10543343
1539007;10543494
1539034;10544081
1539060;10543283
1539086;10543017
1539113;10543494
1539138;10543286
1539165;10543220
1539191;10543125
1539217;10543271
1539243;10543572
1539270;10543446
1539296;10543559
1539322;10543499
1539348;10543476
1539375;10543351
1539401;10543338
1539427;10543637
1539454;10544044
1539479;10543311
1539506;10543564
1539532;10543933
1539558;10543381
1539584;10543436
1539610;10543497
1539637;10543740
1539663;10543609
1539690;10544076
1539715;10543461
1539741;10544061
1539768;10544144
1539794;10543810
1539820;10543682
1539846;10543800
1539873;10544250
1539899;10543687
1539925;10543524
1539951;10543682
1539978;10543599
1540003;10543963
1540030;10543876
1540056;10543484
1540083;10544039
1540108;10544380
1540135;10543554
1540161;10543559
1540188;10543996
1540213;10544014
1540239;10543519
1540266;10543125
1540292;10542708
1540318;10542766
1540344;10542954
1540371;10543326
1540397;10543271
1540423;10543015
1540449;10543253
1540475;10543095
1540502;10542761
1540528;10542862
1540554;10543165
1540581;10543185
1540606;10543208
1540633;10543283
1540659;10543645
1540686;10543002
1540711;10543308
1540738;10543193
1540764;10543883
1540790;10543835
1540816;10544119
1540843;10543230
1540869;10543286
1540895;10543012
1540921;10543130
1540947;10542801
1540974;10543095
1541000;10543978
1541026;10543027
1541052;10543604
1541078;10543421
1541105;10543303
1541131;10543522
1541158;10543938
1541184;10543597
1541209;10544327
1541236;10543973
1541262;10544149
1541289;10543810
1541314;10543436
1541341;10542116
1541367;10541491
1541393;10541408
1541419;10541802
1541446;10541712
1541472;10541747
1541498;10542329
1541524;10541958
1541550;10542146
1541577;10542003
1541603;10542136
1541629;10542693
1541655;10542214
1541682;10542259
1541707;10542357
1541734;10542744
1541760;10541820
1541786;10541870
1541813;10541978
1541839;10541807
1541865;10541727
1541891;10542131
1541917;10542500
1541943;10541812
1541970;10542008
1541996;10541476
1542022;10542191
1542048;10542146
1542075;10542470
1542101;10542350
1542127;10543273
1542153;10542791
1542180;10542653
1542205;10542696
1542232;10543133
1542258;10542839
1542284;10543150
1542311;10542370
1542336;10542329
1542363;10542156
1542389;10542279
1542415;10542510
1542441;10542259
1542468;10542367
1542494;10542141
1542520;10542099
1542546;10541830
1542573;10542264
1542599;10542585
1542626;10543622
1542652;10543396
1542678;10542734
1542704;10542759
1542730;10542849
1542756;10543082
1542783;10543190
1542809;10543238
1542835;10542949
1542861;10543027
1542888;10543293
1542914;10543032
1542940;10543469
1542966;10542796
1542992;10543504
1543018;10543461
1543045;10542909
1543071;10542874
1543097;10542872
1543123;10543258
1543149;10543622
1543176;10543615
1543202;10543657
1543229;10543657
1543254;10543727
1543281;10543411
1543307;10543401
1543333;10543584
1543359;10544001
1543386;10543396
1543411;10543082
1543438;10543353
1543464;10543743
1543490;10543835
1543516;10543386
1543543;10543627
1543569;10543763
1543595;10544480
1543622;10544295
1543648;10544272
1543674;10544144
1543700;10543609
1543726;10544528
1543753;10543948
1543779;10544420
1543805;10543549
1543831;10543293
1543857;10543225
1543883;10543740
1543910;10543916
1543936;10543775
1543962;10543677
1543989;10543815
1544014;10543913
1544041;10543820
1544067;10543662
1544093;10543338
1544119;10543577
1544146;10543559
1544172;10543283
1544198;10543441
1544224;10543313
1544251;10543632
1544277;10543504
1544303;10543988
1544329;10543529
1544355;10543860
1544382;10543795
1544408;10543564
1544434;10543484
1544460;10543077
1544486;10543308
1544513;10543564
1544539;10543740
1544565;10543717
1544591;10543765
1544618;10542909
1544643;10542535
1544670;10542525
1544696;10543155
1544723;10543070
1544748;10543230
1544775;10542992
1544801;10543153
1544827;10543163
1544854;10543138
1544880;10543243
1544906;10543755
1544932;10544004
1544958;10543938
1544984;10543938
1545010;10543680
1545037;10543793
1545063;10544099
1545090;10543647
1545115;10543845
1545142;10543381
1545168;10543630
1545194;10544174
1545221;10544252
1545247;10544234
1545273;10544119
1545299;10544450
1545326;10544307
1545352;10544608
1545378;10544159
1545404;10544066
1545430;10544337
1545457;10544634
1545483;10544488
1545509;10543871
1545535;10543572
1545561;10543783
1545587;10544217
1545613;10543707
1545640;10544116
1545666;10543830
1545692;10543853
1545719;10543707
1545744;10544292
1545771;10544410
1545797;10544450
1545824;10543850
1545850;10542658
1545876;10542889
1545902;10542894
1545929;10543002
1545955;10543988
1545981;10543288
1546007;10542821
1546033;10543913
1546059;10543825
1546085;10543928
1546112;10544026
1546138;10544711
1546165;10544759
1546190;10544393
1546217;10544493
1546243;10544265
1546269;10544184
1546296;10544513
1546321;10543732
1546348;10544139
1546374;10544239
1546400;10544076
1546426;10544227
1546453;10544485
1546479;10544885
1546505;10544887
1546532;10544962
1546557;10544711
1546584;10544475
1546610;10544385
1546636;10544285
1546662;10544425
1546688;10544425
1546715;10544543
1546741;10544686
1546767;10544521
1546793;10544696
1546820;10544980
1546846;10544997
1546872;10544829
1546898;10544859
1546924;10544237
1546951;10544506
1546977;10544425
1547003;10543732
1547029;10543928
1547055;10543853
1547082;10543820
1547108;10543888
1547134;10543906
1547160;10543938
1547187;10543785
1547213;10544917
1547239;10544234
1547266;10544224
1547291;10544320
1547318;10543993
1547344;10544558
1547370;10544071
1547397;10544809
1547423;10544623
1547449;10544485
1547475;10544877
1547501;10544731
1547527;10544553
1547554;10544907
1547580;10544706
1547606;10544807
1547632;10544834
1547658;10544859
1547685;10545038
1547711;10545020
1547737;10544859
1547764;10544789
1547789;10544548
1547816;10544864
1547842;10545402
1547868;10545030
1547894;10545213
1547920;10545459
1547947;10545274
1547973;10545525
1548000;10545008
1548026;10545341
1548051;10545831
1548078;10545597
1548104;10545447
1548130;10545193
1548157;10545582
1548182;10546187
1548209;10545351
1548235;10545700
1548262;10545715
1548288;10545673
1548314;10545449
1548340;10545474
1548366;10545911
1548393;10545494
1548419;10545552
1548445;10545479
1548471;10545700
1548498;10545720
1548523;10546042
1548550;10545286
1548576;10545725
1548602;10544885
1548628;10545582
1548655;10544932
1548681;10545060
1548707;10544797
1548733;10544854
1548759;10545233
1548786;10545673
1548812;10545271
1548838;10545301
1548864;10545683
1548891;10545520
1548917;10545683
1548943;10545055
1548969;10545429
1548995;10545515
1549022;10545045
1549048;10545002
1549074;10545025
1549100;10545105
1549127;10545100
1549152;10544425
1549179;10544947
1549205;10544879
1549232;10544513
1549258;10544162
1549283;10544879
1549310;10544772
1549336;10544905
1549363;10545542
1549388;10544982
1549415;10545136
1549441;10544829
1549468;10545193
1549493;10545238
1549520;10544977
1549546;10544219
1549572;10544342
1549598;10544485
1549625;10544613
1549651;10544666
1549677;10545008
1549703;10545050
1549730;10545141
1549756;10545163
1549782;10545028
1549808;10544834
1549834;10544611
1549860;10545043
1549887;10545238
1549913;10544654
1549939;10545015
1549965;10544578
1549992;10544588
1550018;10544506
1550044;10545218
1550071;10544962
1550096;10545622
1550123;10544799
1550149;10544649
1550175;10544869
1550201;10544721
1550228;10545266
1550253;10545048
1550280;10544957
1550307;10545045
1550332;10545392
1550359;10545351
1550385;10545073
1550411;10545635
1550437;10545422
1550464;10544930
1550490;10545163
1550516;10544900
1550542;10544656
1550568;10545002
1550595;10545888
1550621;10545198
1550647;10545231
1550673;10545715
1550699;10545331
1550726;10545515
1550752;10545419
1550778;10545489
1550805;10545198
1550830;10545038
1550857;10545261
1550882;10545023
1550909;10545183
1550936;10545545
1550961;10545459
1550988;10545336
1551014;10545552
1551040;10545274
1551066;10545351
1551092;10545120
1551119;10545392
1551145;10545266
1551171;10544757
1551197;10544721
1551224;10545193
1551250;10545203
1551276;10544982
1551302;10544882
1551329;10545023
1551354;10545364
1551381;10545228
1551407;10545002
1551434;10545271
1551460;10545125
1551485;10545008
1551512;10545035
1551538;10545321
1551565;10545371
1551591;10545030
1551617;10545392
1551643;10545060
1551670;10544987
1551696;10545454
1551721;10544922
1551748;10545060
1551775;10545208
1551801;10544757
1551826;10544917
1551853;10545166
1551879;10544797
1551906;10544897
1551931;10545060
1551958;10545171
1551984;10545055
1552010;10545449
1552036;10545080
1552063;10544844
1552089;10545525
1552115;10545208
1552141;10545261
1552168;10545186
1552194;10545211
1552220;10544912
1552247;10545045
1552273;10544676
1552298;10545008
1552325;10544912
1552351;10544942
1552377;10544890
1552404;10544681
1552429;10544932
1552456;10544992
1552482;10544086
1552509;10543991
1552534;10544051
1552560;10544255
1552587;10544711
1552613;10544874
1552639;10544887
1552666;10545193
1552692;10545013
1552718;10545193
1552744;10545489
1552771;10545813
1552797;10545331
1552823;10545924
1552849;10545459
1552875;10545374
1552902;10545253
1552928;10545141
1552954;10545070
1552980;10660215
1553006;10545710
1553033;10545188
1553059;10544912
1553085;10544129
1553111;10540502
1553137;10532192
1553164;10529458
1553190;10526750
1553216;10522709
1553242;10514958
1553269;10504876
1553295;10495401
1553321;10485976
1553347;10477538
1553373;10469664
1553399;10461173
1553426;10452712
1553452;10444182
1553479;10435678
1553504;10426118
1553531;10418023
1553557;10408660
1553583;10399566
1553610;10391866
1553635;10383191
1553662;10375097
1553688;10367707
1553714;10360701
1553740;10354606
1553766;10348467
1553792;10342435
1553819;10336803
1553845;10331703
1553872;10326548
1553897;10321620
1553924;10316913
1553950;10312649
1553976;10308563
1554003;10304836
1554029;10301990
1554055;10297771
1554081;10294349
1554108;10291769
1554134;10289071
1554159;10286393
1554186;10283444
1554212;10280524
1554238;10277856
1554264;10275561
1554291;10272652
1554317;10271194
1554343;10268743
1554370;10266059
1554395;10264002
1554422;10261373
1554448;10259713
1554474;10257055
1554501;10255336
1554527;10253653
1554553;10252151
1554579;10250497
1554605;10249187
1554632;10247957
1554658;10246209
1554684;10245165
1554710;10243648
1554737;10241920
1554763;10240911
1554789;10240345
1554815;10238967
1554841;10238509
1554868;10237504
1554894;10236825
1554920;10235516
1554946;10235579
1554972;10235091
1554998;10233255
1555025;10233560
1555051;10232551
1555078;10232476
1555104;10231478
1555130;10231144
1555156;10230331
1555182;10230271
1555208;10228957
1555235;10228775
1555261;10228500
1555287;10227732
1555313;10226844
1555340;10226494
1555365;10226397
1555392;10225614
1555418;10225176
1555445;10225363
1555471;10224295
1555497;10224284
1555523;10223567
1555549;10223412
1555576;10223404
1555602;10222493
1555628;10223039
1555654;10222940
1555680;10223212
1555707;10223723
1555733;10223590
1555759;10223457
1555785;10223694
1555812;10223754
1555838;10223699
1555864;10223631
1555890;10224128
1555916;10223502
1555942;10224201
1555969;10223713
1555995;10224093
1556021;10223710
1556048;10223363
1556073;10223749
1556100;10223344
1556126;10223167
1556152;10224073
1556179;10223261
1556205;10223901
1556230;10222257
1556257;10223255
1556283;10223522
1556309;10223580
1556336;10223177
1556362;10223654
1556388;10223295
1556414;10224073
1556441;10222793
1556467;10223748
1556493;10223370
1556519;10223477
1556546;10223852
1556572;10223532
1556597;10223354
1556624;10223493
1556651;10223266
1556676;10223526
1556703;10223260
1556729;10223143
1556755;10223114
1556781;10223798
1556808;10224684
1556834;10224644
1556860;10223950
1556886;10224146
1556913;10224640
1556938;10225338
1556965;10225068
1556991;10225146
1557017;10225388
1557044;10226061
1557069;10226761
1557096;10226043
1557122;10226515
1557148;10226413
1557175;10226962
1557200;10226604
1557227;10227490
1557253;10227756
1557279;10228770
1557306;10228583
1557332;10229253
1557358;10229085
1557384;10229657
1557411;10230256
1557436;10230483
1557463;10230784
1557489;10231241
1557515;10231404
1557542;10231867
1557568;10231527
1557594;10230932
1557620;10231167
1557646;10231104
1557673;10230946
1557699;10230927
1557725;10230725
1557752;10230773
1557777;10231615
1557803;10231566
1557830;10232265
1557856;10232265
1557882;10232434
1557909;10232561
1557934;10232768
1557961;10233526
1557987;10234147
1558013;10234521
1558040;10234756
1558066;10235397
1558092;10235652
1558118;10236052
1558144;10236697
1558171;10237903
1558197;10237499
1558223;10238523
1558250;10238813
1558276;10239179
1558301;10239297
1558328;10239896
1558354;10239429
1558381;10239100
