=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:16:07 =~=~=~=~=~=~=~=~=~=~=~=
cold;
I received: cold
releasing pressure
depressurization complete
start calibration
time;humidity
42258;10587578
42285;10586856
42311;10586627
42337;10586632
42364;10586655
42390;10587016
42416;10586718
42442;10586652
42469;10587011
42495;10587434
42521;10586883
42547;10586733
42573;10587365
42600;10587363
42626;10587046
42652;10586768
42679;10586785
42704;10587179
42731;10587860
42757;10587122
42783;10587631
42809;10586881
42835;10587041
42862;10587061
42888;10587343
42914;10587621
42941;10587669
42966;10587338
42993;10588116
43019;10587183
43045;10587312
43072;10586898
43097;10587712
43124;10587230
43151;10587066
43176;10586718
43203;10585694
43228;10585995
43255;10586238
43281;10587563
43307;10586231
43334;10585721
43360;10586349
43386;10586452
43412;10586073
43439;10586381
43464;10586334
43491;10585643
43517;10586007
43543;10586118
43570;10586720
43595;10587041
43622;10586276
43648;10586612
43674;10586288
43701;10585852
43727;10586527
43753;10586391
43779;10586175
43805;10585940
43832;10585834
43858;10585990
43884;10586238
43911;10586160
43936;10586150
43963;10586590
43989;10586226
44015;10586293
44041;10586150
44068;10586226
44094;10586386
44120;10586329
44146;10586037
44173;10586160
44198;10586346
44225;10585980
44251;10586570
44278;10586682
44303;10586826
44330;10587159
44356;10586108
44382;10585652
44409;10586416
44435;10586386
44461;10586431
44487;10586314
44513;10586903
44540;10586580
44566;10586386
44592;10586559
44618;10586093
44645;10586341
44670;10586743
44697;10586477
44723;10586537
44750;10586349
44775;10586379
44802;10586660
44828;10586223
44854;10585857
44880;10586115
44907;10586160
44933;10586497
44959;10586622
44985;10586319
45011;10586303
45038;10586339
45064;10586233
45090;10586266
45116;10586283
45143;10586549
45168;10586677
45195;10586213
45221;10586266
45247;10585813
45274;10585104
45300;10585731
45326;10585458
45352;10585485
45378;10585586
45405;10585894
45431;10586504
45457;10585882
45484;10585802
45509;10586022
45536;10586554
45562;10586258
45588;10586359
45614;10586587
45641;10586329
45666;10586068
45693;10586216
45719;10586477
45745;10586088
45772;10585699
45798;10586640
45824;10586047
45850;10586534
45877;10586898
45903;10586314
45929;10586713
45955;10586595
45981;10586268
46008;10586477
46033;10586421
46060;10586032
46086;10586386
46113;10586539
46138;10586098
46165;10586058
46191;10585781
46217;10585751
46244;10586354
46269;10586794
46296;10586351
46322;10586118
46348;10586258
46375;10585950
46400;10586058
46427;10586472
46453;10586251
46479;10586336
46506;10585591
46532;10585106
46558;10585950
46584;10586196
46611;10585940
46637;10586266
46663;10585889
46690;10586298
46715;10585889
46742;10585330
46768;10585397
46794;10585658
46821;10586068
46846;10586160
46873;10585834
46899;10586344
46925;10585919
46951;10586213
46978;10585945
47003;10585478
47030;10585295
47056;10585076
47082;10585259
47109;10585668
47135;10585734
47161;10585706
47188;10585887
47213;10585818
47240;10585345
47266;10585480
47292;10585704
47318;10585480
47345;10585694
47371;10585889
47397;10586324
47423;10586191
47449;10585744
47476;10585764
47502;10585839
47528;10585330
47554;10585224
47580;10586276
47607;10585764
47633;10585530
47659;10585428
47685;10585603
47711;10586007
47738;10585586
47764;10585721
47790;10585950
47817;10585812
47842;10585919
47869;10585781
47895;10585771
47921;10586052
47948;10585945
47974;10585791
48000;10585987
48026;10586266
48052;10586612
48079;10585638
48105;10585684
48131;10585822
48157;10585668
48184;10585546
48210;10585347
48236;10585355
48262;10585751
48288;10585551
48315;10585475
48341;10585684
48367;10585802
48393;10585490
48420;10585771
48445;10585796
48472;10585668
48498;10585709
48525;10585578
48550;10585764
48577;10586334
48603;10586005
48629;10585924
48655;10585930
48682;10585781
48708;10586246
48734;10586442
48760;10586150
48786;10585131
48812;10584496
48839;10584399
48865;10584639
48891;10584916
48917;10584378
48944;10584521
48970;10584579
48996;10584655
49022;10585049
49048;10585086
49075;10585039
49101;10585033
49128;10585495
49153;10585887
49180;10585131
49205;10585173
49232;10585596
49258;10585500
49284;10585488
49311;10585766
49337;10585761
49363;10585935
49390;10585520
49415;10585561
49442;10585505
49468;10585663
49494;10585832
49520;10585832
49547;10585513
49573;10585301
49599;10585781
49626;10585847
49651;10585613
49678;10585719
49704;10585546
49730;10585566
49757;10585987
49782;10585909
49809;10585540
49835;10585950
49861;10585362
49888;10586078
49913;10585791
49940;10585827
49966;10585857
49992;10586110
50019;10586303
50045;10586012
50071;10585402
50097;10586133
50124;10586090
50149;10586020
50176;10586334
50202;10586022
50228;10585483
50255;10585940
50280;10585658
50307;10586059
50333;10585924
50359;10586324
50386;10586027
50411;10585945
50438;10586113
50464;10586110
50490;10585980
50517;10585960
50542;10586477
50569;10585357
50596;10585724
50621;10585244
50648;10585347
50674;10585872
50700;10585465
50727;10585566
50752;10584958
50779;10585719
50804;10584865
50831;10585049
50858;10585086
50883;10585146
50910;10585641
50936;10585525
50962;10585463
50989;10585423
51014;10585561
51041;10585465
51067;10585970
51093;10585013
51120;10585192
51146;10585658
51172;10585626
51198;10585224
51225;10586298
51250;10585606
51277;10585091
51303;10585919
51329;10585606
51356;10586145
51381;10585746
51408;10586042
51434;10586298
51460;10585832
51486;10585977
51513;10585807
51539;10585350
51565;10585689
51591;10585407
51618;10585448
51644;10585643
51670;10585869
51697;10585360
51723;10585278
51748;10585269
51775;10585204
51801;10585914
51827;10585109
51853;10585268
51880;10585500
51906;10585121
51932;10584870
51959;10585156
51985;10585069
52011;10584938
52037;10584976
52063;10584687
52090;10585001
52116;10584705
52142;10584905
52168;10585199
52194;10584542
52221;10584823
52246;10585091
52273;10584951
52299;10585192
52326;10584858
52351;10585295
52378;10585498
52404;10585264
52430;10585194
52457;10585242
52483;10585428
52509;10585534
52535;10585365
52561;10586017
52588;10585726
52614;10586181
52640;10585924
52666;10585212
52693;10585259
52719;10585704
52745;10585591
52771;10586253
52797;10585857
52823;10585674
52850;10585854
52876;10585919
52902;10585724
52928;10585724
52955;10585684
52981;10585663
53007;10585699
53033;10585864
53060;10585919
53085;10585822
53112;10585940
53138;10586376
53164;10585874
53191;10586334
53217;10586165
53243;10585945
53269;10585807
53295;10585889
53321;10586231
53348;10586261
53374;10585997
53400;10585540
53427;10585448
53452;10585173
53479;10584404
53505;10583999
53531;10584281
53558;10583595
53584;10584062
53610;10584644
53636;10584680
53662;10584717
53689;10584858
53715;10585003
53741;10584707
53767;10584511
53793;10584260
53820;10585490
53846;10584516
53872;10585192
53898;10584511
53925;10584687
53950;10584890
53977;10585212
54003;10584727
54029;10584865
54056;10585719
54082;10585071
54108;10585094
54134;10585352
54161;10586263
54186;10585636
54213;10585227
54239;10585161
54266;10585689
54291;10585397
54318;10585352
54344;10585756
54370;10585945
54397;10585428
54423;10586192
54449;10585621
54475;10585694
54501;10585478
54527;10585490
54554;10585756
54580;10585679
54606;10585503
54632;10585412
54658;10585924
54685;10585754
54711;10585945
54737;10585867
54763;10585731
54790;10585887
54816;10586098
54842;10586083
54868;10586155
54895;10585847
54920;10585945
54947;10586349
54973;10585613
54999;10585684
55026;10585525
55051;10585525
55078;10586517
55104;10585889
55130;10585849
55157;10586630
55183;10586494
55209;10586462
55235;10586554
55262;10586223
55287;10586534
55314;10586856
55340;10586632
55366;10586211
55393;10586032
55419;10585882
55445;10586258
55471;10586314
55498;10586288
55523;10586585
55550;10586268
55576;10586883
55602;10586615
55629;10586908
55654;10587046
55681;10586467
55707;10586150
55734;10585882
55759;10586543
55786;10586848
55812;10586165
55838;10586271
55864;10586858
55891;10586447
55916;10586083
55943;10585817
55969;10585116
55996;10585899
56022;10586118
56048;10586128
56074;10585566
56100;10585513
56127;10585039
56153;10585089
56179;10584968
56205;10585054
56231;10585197
56258;10584788
56284;10585239
56310;10585161
56336;10585465
56363;10585217
56389;10584835
56415;10584890
56441;10584998
56467;10585177
56493;10585059
56520;10584825
56546;10585418
56572;10585453
56598;10585192
56625;10584675
56651;10584981
56677;10585561
56703;10585202
56729;10585412
56756;10585445
56782;10585161
56808;10584956
56834;10585061
56861;10585520
56886;10585433
56913;10585483
56939;10585337
56965;10585044
56992;10584941
57018;10585269
57044;10584911
57071;10584993
57096;10585096
57123;10585136
57149;10585109
57175;10585440
57202;10585453
57228;10585980
57254;10585463
57280;10585596
57307;10585274
57332;10586012
57359;10585438
57385;10585099
57411;10585407
57437;10585397
57463;10585827
57490;10585904
57516;10585342
57542;10586416
57569;10585759
57594;10585342
57621;10585234
57647;10585396
57674;10585370
57699;10584865
57726;10584820
57752;10585407
57778;10584905
57805;10584828
57830;10585096
57857;10585121
57883;10584936
57909;10585315
57936;10585214
57961;10584936
57988;10585279
58014;10585234
58040;10585370
58066;10585094
58093;10585423
58119;10585520
58145;10585844
58172;10585857
58197;10585116
58224;10584747
58250;10584471
58276;10584444
58303;10682821
58329;10584660
58355;10585212
58381;10585229
58407;10585028
58434;10585350
58459;10584895
58486;10585295
58512;10585690
58538;10585274
58565;10585247
58591;10585631
58617;10585106
58643;10584926
58669;10584911
58696;10584634
58722;10584685
58748;10584494
58774;10584564
58800;10584173
58827;10584506
58853;10584185
58879;10584612
58905;10584233
58932;10585638
58958;10584441
58984;10583952
59010;10584671
59036;10584158
59063;10584020
59089;10584087
59115;10583799
59142;10584373
59167;10584200
59194;10584592
59220;10584363
59246;10584358
59273;10584353
59298;10584604
59325;10584695
59351;10584338
59378;10584311
59403;10584604
59430;10584825
59456;10585084
59482;10585182
59509;10584840
59535;10584905
59561;10585161
59587;10585465
59613;10585749
59639;10585510
59666;10585274
59692;10585209
59718;10585039
59744;10585197
59771;10584835
59797;10585049
59823;10585254
59849;10585224
59875;10585084
59902;10584830
59928;10585724
