=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:01:24 =~=~=~=~=~=~=~=~=~=~=~=
calir brate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2133013;10185154
2133067;10185715
2133120;10186577
2133173;10186946
2133226;10186645
2133280;10187163
2133333;10186429
2133386;10184253
2133439;10183934
2133493;10183741
2133546;10182983
2133599;10183924
2133652;10184574
2133706;10185961
2133759;10185533
2133813;10185587
2133865;10184927
2133919;10185326
2133972;10184905
2134025;10185374
2134078;10185838
2134132;10184716
2134185;10183953
2134238;10182997
2134292;10183475
2134345;10183323
2134398;10183888
2134451;10183772
2134504;10184436
2134558;10184548
2134611;10185687
2134664;10186635
2134717;10184381
2134771;10184062
2134824;10186453
2134877;10184741
2134930;10185685
2134984;10185627
2135037;10184637
2135090;10184494
2135143;10184833
2135197;10184439
2135250;10184081
2135303;10183939
2135357;10183623
2135410;10184956
2135463;10185308
2135516;10186773
2135570;10186630
2135623;10187059
2135676;10187941
2135729;10188801
2135782;10188630
2135836;10188910
2135889;10187910
2135943;10186159
2135995;10186557
2136049;10187644
2136102;10187546
2136155;10194016
2136209;10188137
2136262;10187960
2136315;10188197
2136368;10188192
2136422;10187784
2136474;10187640
2136528;10188142
2136581;10186902
2136635;10188212
2136688;10188304
2136741;10187127
2136794;10187118
2136847;10188054
2136901;10188340
2136954;10189202
2137007;10188516
2137060;10189236
2137114;10188122
2137167;10187439
2137220;10187157
2137274;10186345
2137327;10187398
2137380;10188330
2137433;10189156
2137486;10189033
2137540;10190373
2137593;10189979
2137646;10190127
2137700;10188620
2137753;10188349
2137806;10187291
2137859;10187192
2137912;10187920
2137966;10187758
2138019;10188103
2138073;10187970
2138126;10186956
2138178;10188813
2138232;10187458
2138285;10188403
2138339;10187526
2138392;10188432
2138445;10188187
2138498;10189014
2138551;10188468
2138605;10186931
2138658;10186316
2138712;10185463
2138764;10186393
2138817;10187059
2138871;10187832
2138924;10188728
2138978;10188296
2139030;10187226
2139084;10187596
2139137;10187857
2139191;10187685
2139243;10187985
2139297;10187004
2139350;10187364
2139404;10187009
2139457;10187562
2139510;10188187
2139563;10188596
2139616;10189383
2139670;10188325
2139723;10188265
2139777;10188566
2139830;10190310
2139882;10189945
2139936;10190289
2139989;10190098
2140042;10190221
2140096;10191298
2140149;10189827
2140203;10188516
2140255;10188284
2140309;10188393
2140362;10188675
2140415;10189074
2140469;10189526
2140522;10189786
2140575;10190324
2140628;10189767
2140681;10190018
2140735;10190462
2140788;10190521
2140841;10189989
2140895;10190815
2140948;10190038
2141001;10189506
2141054;10189555
2141107;10188946
2141161;10188547
2141214;10188832
2141267;10188762
2141321;10188960
2141374;10189344
2141427;10189018
2141481;10190073
2141534;10189748
2141586;10188226
2141640;10188231
2141693;10188403
2141747;10188132
2141800;10188330
2141853;10187487
2141907;10187429
2141959;10188673
2142013;10188605
2142066;10188571
2142119;10189059
2142173;10189231
2142226;10188557
2142279;10188920
2142333;10188250
2142385;10189180
2142439;10189373
2142492;10189979
2142546;10188704
2142599;10189274
2142652;10189895
2142705;10183992
2142759;10169327
2142811;10152853
2142865;10145969
2142918;10134444
2142971;10122491
2143025;10112934
2143078;10102594
2143131;10076655
2143184;10054374
2143238;10041045
2143291;10029080
2143344;10016938
2143398;10008172
2143450;10001425
2143504;9996106
2143557;9992015
2143611;9987904
2143664;9982566
2143717;9976032
2143770;9969774
2143823;9966266
2143877;9965465
2143930;9963194
2143983;9959439
2144036;9952408
2144090;9946814
2144143;9941736
2144196;9938171
2144249;9935938
2144302;9934805
2144356;9934502
2144409;9932121
2144462;9932060
2144516;9929623
2144569;9926745
2144622;9925128
2144675;9918856
2144728;9917808
2144782;9916889
2144835;9915978
2144888;9913319
2144942;9910199
2144995;9909014
2145048;9907753
2145102;9908151
2145155;9909294
2145208;9910526
2145262;9911147
2145314;9910465
2145368;9909929
2145421;9909843
2145474;9910768
2145527;9910844
2145581;9911797
2145634;9911939
2145687;9912238
2145740;9911858
2145794;9912408
2145847;9911398
2145901;9910531
2145953;9911199
2146007;9910925
2146060;9911247
2146113;9910503
2146167;9909777
2146220;9909616
2146273;9907937
2146326;9907558
2146379;9905396
2146433;9903846
2146486;9904320
2146540;9902955
2146592;9902068
2146646;9901883
2146699;9901883
2146752;9901153
2146805;9901788
2146859;9902926
2146912;9904515
2146965;9905050
2147019;9904794
2147072;9906037
2147125;9907288
2147178;9906885
2147231;9906644
2147285;9907871
2147338;9906667
2147391;9905377
2147444;9904216
2147497;9904012
2147551;9903045
2147604;9902333
2147658;9901779
2147711;9901736
2147764;9900522
2147817;9901357
2147870;9900636
2147924;9900229
2147977;9900831
2148031;9900964
2148083;9901167
2148136;9900684
2148190;9900432
2148243;9900214
2148297;9900110
2148350;9899323
2148403;9897863
2148456;9896616
2148510;9895061
2148563;9893407
2148616;9893449
2148669;9892339
2148722;9891301
2148776;9891732
2148829;9891766
2148882;9892230
2148935;9892463
2148989;9893297
2149042;9892558
2149095;9892994
2149148;9893596
2149202;9893700
2149255;9893881
2149308;9894407
2149361;9894573
2149415;9893767
2149468;9894392
2149521;9894767
2149574;9893743
2149628;9894165
2149681;9893762
2149734;9893838
2149787;9893084
2149841;9892364
2149894;9892482
2149947;9892506
2150001;9891922
2150053;9891410
2150107;9891530
2150160;9890722
2150213;9890604
2150267;9891358
2150320;9890310
2150373;9890149
2150427;9891923
2150480;9888329
2150533;9887106
2150586;9885707
2150639;9884512
2150692;9883834
2150746;9882881
2150799;9882369
2150853;9881303
2150906;9882114
2150959;9881374
2151012;9882469
2151065;9881620
2151119;9881131
2151172;9881833
2151225;9881781
2151279;9880492
2151332;9879852
2151385;9878951
2151439;9877548
2151492;9876794
2151544;9875006
2151598;9874845
2151651;9875594
2151704;9874494
2151758;9874328
2151811;9875300
2151864;9875419
2151917;9875186
2151971;9874807
2152024;9875694
2152078;9876504
2152131;9876315
2152184;9876604
2152237;9876766
2152290;9876429
2152344;9876400
2152397;9876623
2152450;9876836
2152503;9876741
2152556;9876623
2152610;9874930
2152663;9875485
2152716;9874688
2152769;9875537
2152823;9875608
2152876;9874746
2152929;9874571
2152983;9873783
2153036;9872722
2153089;9871508
2153143;9870294
2153195;9869758
2153249;9868369
2153302;9868672
2153355;9868075
2153409;9867885
2153462;9867596
2153515;9867800
2153568;9867966
2153622;9867368
2153674;9868255
2153728;9868839
2153781;9868843
2153835;9867515
2153888;9868169
2153941;9867482
2153994;9867482
2154048;9866823
2154101;9866761
2154154;9867203
2154208;9866335
2154260;9866913
2154314;9866889
2154367;9867198
2154421;9866643
2154473;9867022
2154527;9867031
2154580;9867056
2154634;9867975
2154686;9868004
2154739;9867748
2154793;9867648
2154846;9867724
2154900;9868113
2154953;9867866
2155006;9866994
2155059;9866842
2155113;9866308
2155166;9864772
2155219;9864249
2155272;9864202
2155325;9863453
2155379;9863372
2155432;9862040
2155485;9862741
2155539;9860731
2155591;9860665
2155645;9860011
2155698;9860342
2155752;9859218
2155805;9859233
2155858;9859518
2155911;9858422
2155964;9858346
2156018;9857521
2156071;9856987
2156125;9857716
2156178;9856517
2156230;9856512
2156284;9856351
2156337;9856820
2156391;9857129
2156444;9857707
2156497;9858972
2156550;9858622
2156604;9858782
2156657;9858834
2156711;9858991
2156763;9859764
2156816;9858896
2156870;9859057
2156923;9859134
2156977;9859057
2157029;9858375
2157083;9858981
2157136;9858422
2157190;9857755
2157243;9856545
2157296;9856010
2157349;9854900
2157402;9854236
2157456;9852766
2157509;9851926
2157562;9851562
2157616;9850997
2157669;9851842
2157722;9852164
2157775;9852391
2157828;9853178
2157882;9853767
2157935;9853439
2157989;9854274
2158041;9854189
2158094;9854506
2158147;9854085
2158201;9854250
2158254;9854748
2158307;9855450
2158361;9854795
2158414;9854364
2158467;9855388
2158520;9855573
2158574;9854711
2158627;9855004
2158680;9855090
2158733;9853937
2158787;9853952
2158840;9854388
2158894;9853222
2158947;9853392
2159000;9853136
2159053;9852326
2159106;9851609
2159159;9850960
2159213;9850490
2159266;9848912
2159320;9847845
2159373;9846632
2159426;9845821
2159480;9845204
2159532;9844641
2159585;9844332
2159639;9843829
2159692;9844897
2159745;9845427
2159799;9846252
