=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 20:58:34 =~=~=~=~=~=~=~=~=~=~=~=
inspect;
I received: inspect
inspecting
time;humidity
14873;10055070
14888;10055809
14913;10059825
14940;10055591
14966;10057032
14993;10060185
15018;10055615
15045;10055652
15071;10058375
15097;10057596
15124;10055857
15150;10056355
15176;10058342
15202;10055659
15228;10057531
15255;10059972
15281;10054814
15307;10055951
15333;10061168
15359;10055222
15386;10054715
15411;10060128
15438;10055972
15464;10055131
15490;10058385
15517;10059536
15543;10056659
15569;10056345
15596;10060726
15621;10055411
15648;10056171
15674;10060859
15700;10054975
15727;10054345
15752;10059048
15779;10056132
15805;10055203
15832;10058180
15858;10055459
15884;10056327
15910;10057705
15936;10058072
15962;10055734
15989;10055695
16015;10059105
16041;10057214
16068;10055231
16093;10061035
16120;10055028
16146;10054079
16172;10058488
16198;10055023
16225;10054215
16251;10056707
16277;10057516
16303;10055055
16330;10056260
16355;10059176
16382;10054350
16408;10055065
16434;10060044
16461;10054406
16486;10056193
16513;10060361
16539;10055791
16566;10054647
16591;10060361
16618;10055142
16644;10054881
16670;10056739
16697;10057787
16722;10055278
16749;10055284
16775;10058616
16801;10054729
16827;10055350
16854;10059929
16880;10055497
16906;10055180
16932;10059369
16959;10054938
16984;10054908
17011;10058009
17037;10055236
17064;10055289
17089;10057056
17116;10056953
17142;10054377
17169;10054534
17194;10060228
17221;10054118
17247;10053833
17274;10059096
17299;10054951
17325;10054791
17352;10059014
17378;10055364
17405;10055231
17430;10056212
17456;10056199
17483;10054577
17509;10054894
17535;10057446
17561;10055635
17588;10055292
17614;10059001
17640;10054463
17666;10053975
17692;10058920
17719;10054003
17745;10054463
17772;10057137
17797;10055345
17824;10053980
17850;10056574
17876;10057796
17902;10053742
17929;10053094
17954;10059593
17981;10053809
18007;10053439
18033;10058080
18060;10053748
18086;10053756
18112;10060305
18138;10054591
18165;10053766
18190;10058355
18217;10056340
18243;10054463
18270;10055591
18295;10055929
18322;10052827
18348;10052881
18374;10059227
18401;10053951
18427;10053895
18453;10058449
18479;10053772
18506;10053686
18531;10058364
18558;10053866
18584;10053628
18610;10056796
18637;10054278
18662;10054075
18689;10055910
18715;10056166
18741;10053111
18768;10053729
18793;10058072
18820;10053714
18846;10053206
18872;10058760
18898;10054135
18924;10053686
18951;10057393
18977;10053705
19003;10053473
19029;10056169
19056;10055270
19082;10053094
19108;10053708
19135;10057441
19160;10052287
19187;10053625
19213;10058473
19239;10053862
19266;10052898
19291;10057364
19318;10054786
19344;10053643
19370;10056724
19397;10053966
19422;10053415
19449;10054929
19475;10055283
19501;10053311
19527;10053910
19554;10057800
19580;10052558
19606;10051865
19633;10056659
19659;10050604
19685;10051534
19711;10055924
19738;10051406
19764;10051276
19790;10055630
19816;10053231
19842;10050978
19868;10050334
19895;10051514
19921;10050202
19947;10051737
19973;10057531
20000;10055715
20026;10056710
20052;10062723
20078;10058716
20105;10063017
20131;10070075
20157;10068146
20183;10071298
20209;10073044
20235;10075121
20262;10075764
20287;10082354
20314;10087134
20340;10085995
20367;10088600
20393;10094037
20419;10093723
20445;10098242
20471;10105879
20498;10104946
20523;10106968
20550;10115023
20577;10113731
20603;10116358
20629;10119158
20655;10119510
20681;10120781
20707;10122387
20734;10130229
20760;10128314
20786;10130191
20812;10137146
20839;10136963
20865;10136719
20890;10144481
20917;10142189
20944;10143786
20970;10151051
20995;10152089
21022;10152737
21048;10157480
21075;10161709
21101;10159823
21126;10161837
21153;10170203
21179;10166873
21206;10168827
21232;10175063
21257;10172377
21284;10173283
21310;10180321
21337;10178504
21363;10178872
21389;10183357
21415;10182879
21441;10180841
21467;10184791
21494;10189574
21520;10185927
21546;10187769
21572;10195119
21599;10190362
21625;10191885
21651;10196585
21677;10194766
21703;10195054
21730;10199628
21756;10197020
21782;10198015
21809;10201233
21834;10202480
21861;10201691
21887;10201933
21913;10207733
21940;10203444
21965;10206609
21992;10210786
22018;10205561
22044;10207826
22070;10212395
22097;10208649
22123;10209475
22149;10214093
22175;10211927
22202;10212163
22228;10214511
22254;10215796
22281;10214048
22306;10214325
22333;10218446
22359;10214872
22385;10216190
22411;10222208
22438;10216673
22464;10218052
22490;10224334
22516;10220908
22542;10219632
22569;10223206
22595;10221539
22621;10220538
22647;10222424
22674;10225388
22699;10220883
22726;10222793
22752;10227426
22778;10223621
22805;10222897
22830;10229051
22857;10224728
22884;10225555
22909;10227962
22936;10226442
22961;10225501
22988;10227293
23014;10229775
23040;10226515
23067;10226353
23093;10233481
23119;10227682
23145;10228027
23171;10233550
23198;10228203
23224;10228769
23250;10232419
23277;10229459
23302;10229976
23329;10233910
23355;10231541
23381;10229921
23408;10232753
23434;10234787
23459;10231139
23486;10231222
23512;10236042
23538;10230784
23565;10230631
23591;10237465
23617;10233802
23644;10232841
23669;10237402
23696;10232773
23722;10232659
23748;10236185
23775;10235347
23800;10232502
23827;10234944
23853;10237953
23879;10233786
23906;10234427
23932;10239670
23958;10234751
23984;10235948
24010;10238986
24036;10235007
24063;10235175
24089;10239035
24115;10236673
24142;10235785
24167;10238721
24194;10237976
24220;10236075
24246;10236426
24272;10241281
24299;10236312
24325;10237052
24351;10240743
24378;10237687
24403;10237070
24430;10242423
24456;10237135
24482;10237755
24509;10241462
24535;10238509
24561;10236992
24587;10238371
24613;10239497
24639;10237356
24666;10237233
24692;10242235
24718;10237125
24744;10237298
24771;10242574
24797;10237923
24823;10237809
24849;10241202
24876;10239414
24901;10237376
24928;10240886
24954;10238656
24981;10238061
25006;10240453
25032;10242299
25059;10237534
25086;10238799
25111;10244032
25138;10239492
25164;10239173
25190;10244707
25216;10239400
25242;10238932
25269;10243180
25295;10240464
25322;10240221
25347;10242644
25374;10243044
25399;10238641
25426;10240621
25452;10245405
25479;10239513
25504;10238494
25531;10245184
25557;10239144
25583;10241531
25610;10245849
25635;10240187
25662;10240877
25688;10243535
25714;10240699
25741;10240296
25766;10242181
25793;10244111
25819;10240468
25846;10240197
25872;10245111
25898;10241521
25924;10240069
25950;10245239
25977;10240911
26003;10240848
26029;10244397
26055;10240482
26081;10240463
26108;10243303
26134;10242964
26160;10241654
26186;10241762
26213;10244697
26239;10241807
26265;10241743
26291;10245810
26317;10241989
26344;10241289
26370;10245322
26396;10241901
26423;10240625
26448;10245199
26475;10241665
26501;10241211
26527;10243987
26554;10242840
26579;10241704
26606;10241453
26632;10246199
26658;10241315
26685;10241669
26710;10246725
26737;10241438
26763;10242501
26789;10245726
26815;10242546
26842;10241856
26868;10245711
26894;10243303
26920;10242103
26946;10243979
26973;10245475
26999;10241891
27026;10241541
27051;10246602
27078;10241537
27104;10243062
27130;10246367
27156;10241960
27183;10242516
27209;10246696
27235;10242265
27261;10241634
27287;10245392
27314;10244712
27339;10241886
27366;10245111
27393;10245352
27418;10242783
27445;10241939
27471;10247410
27497;10241275
27524;10241817
27549;10246465
27576;10242782
27602;10241822
27628;10247400
27655;10242875
27680;10242054
27707;10243929
27733;10245372
27759;10242949
27785;10242885
27812;10247976
27838;10242280
27864;10241743
27890;10246538
27916;10242133
27942;10242496
27969;10247661
27995;10243083
28021;10242880
28048;10245268
28074;10243324
28100;10241822
28126;10243731
28152;10246307
28179;10242310
28205;10242260
28231;10247321
28257;10242501
28284;10242482
28310;10247321
28336;10242472
28362;10243279
28388;10246903
28415;10242743
28441;10244259
28467;10246090
28493;10244499
28519;10243802
28546;10243224
28572;10247375
28598;10242845
28624;10243526
28650;10246971
28677;10242309
28703;10243156
28729;10247770
28756;10243121
28781;10243786
28808;10245948
28834;10243062
28860;10242216
28886;10245387
28913;10244835
28938;10243771
28965;10243786
28992;10248848
29018;10243835
29043;10243491
29070;10248143
29096;10242955
29123;10243973
29148;10247278
29175;10243225
29201;10244234
29227;10246765
29253;10245775
29280;10243870
29306;10245598
29332;10245938
29359;10243003
29384;10244698
29411;10247828
29437;10244008
29463;10243383
29489;10248537
29516;10243211
29542;10244367
29568;10247991
29594;10243584
29621;10243796
29646;10247292
29673;10245130
29699;10244584
29725;10245755
29752;10247330
29778;10244437
29804;10244239
29830;10248331
29856;10243511
29882;10243481
29909;10249876
29935;10243988
29961;10243373
29988;10246897
30014;10244304
30040;10243599
30066;10246061
30092;10245746
30119;10243885
30144;10244195
30171;10247312
30197;10243919
30223;10243968
30250;10248310
30276;10243175
30302;10242645
30329;10248064
30354;10243934
30381;10243363
30407;10247720
30433;10245032
30459;10243431
30485;10245377
30512;10246346
30538;10243127
30564;10242830
30591;10247814
30616;10243279
30643;10243462
30669;10247597
30695;10243244
30721;10243692
30747;10247730
30774;10243668
30800;10244264
30826;10246597
30853;10245962
30879;10244165
30905;10243964
30931;10246750
30958;10243732
30983;10243082
31010;10248522
31036;10244205
31062;10244736
31089;10249266
31115;10243462
31141;10244786
31167;10247946
31194;10244761
31219;10244199
31246;10246253
31272;10245277
31298;10243900
31324;10244584
31351;10248203
31377;10244879
31403;10243959
31429;10248581
31455;10244165
31482;10244668
31507;10248410
31534;10243987
31561;10244126
31586;10247696
31613;10245180
31639;10244003
31665;10245568
31691;10246834
31718;10243210
31744;10243285
31770;10247675
31796;10244293
31823;10243742
31849;10248955
31875;10244196
31901;10243545
31928;10248310
31953;10244387
31980;10244889
32006;10246400
32032;10245195
32059;10243284
32085;10245273
32111;10246424
32137;10244614
32164;10244855
32189;10249192
32216;10243585
32242;10243634
32268;10247735
32295;10244268
32320;10243648
32347;10248148
32373;10244968
32399;10245022
32426;10246124
32452;10246677
32478;10244456
32504;10244200
32530;10249709
32557;10243781
32582;10244062
32609;10248606
32635;10245761
32661;10244013
32688;10249477
32714;10244821
32740;10244263
32766;10247396
32792;10244953
32818;10244525
32845;10245662
32871;10246494
32898;10245248
32923;10243702
32950;10249034
32976;10244052
33002;10243984
33028;10248291
33054;10244018
33081;10244368
33107;10248252
33133;10244318
33159;10244186
33186;10247469
33212;10245642
33238;10244298
33264;10244594
33291;10246829
33317;10244593
33343;10244116
33369;10247829
33395;10244504
33422;10244677
33448;10250743
33474;10244682
33500;10244540
33526;10247829
33553;10245529
33579;10244248
33605;10247396
33631;10247370
33657;10245352
33684;10243565
33710;10247996
33736;10244475
33763;10244589
33788;10249890
33815;10244549
33841;10244229
33867;10248887
33894;10244240
33920;10244180
33946;10248518
33972;10245849
33998;10244121
34025;10245578
34051;10246529
34077;10244392
34103;10244111
34130;10248567
34155;10244475
34182;10243826
34208;10248503
34234;10245042
34261;10245189
34286;10248655
34313;10245549
34339;10244323
34365;10247278
34391;10245967
34417;10245254
34444;10245893
34470;10248247
34496;10245072
34523;10244642
34549;10248508
34575;10245229
34602;10244608
34627;10249828
34654;10244490
34680;10244447
34706;10249005
34733;10245371
34758;10244604
34785;10247233
34811;10247335
34837;10244737
34864;10245515
34889;10249162
34916;10245859
34942;10245431
34968;10249773
34994;10245076
35021;10244372
35047;10250285
35073;10244209
35100;10244963
35126;10248380
35152;10246169
35178;10245259
35204;10247021
35230;10247617
35257;10244870
35283;10245076
35309;10249162
35335;10246189
35362;10245426
35388;10250256
35414;10244899
35440;10245361
35466;10249078
35492;10245623
35519;10244752
35545;10249118
35571;10246952
35598;10245406
35623;10246897
35650;10248621
35676;10245298
35702;10245706
35729;10249631
35755;10246051
35781;10245061
35807;10249532
35834;10245495
35859;10245538
35886;10249009
35912;10246514
35938;10245706
35965;10247793
35991;10246962
36016;10244559
36043;10245824
36070;10249887
36095;10245312
36122;10245554
36148;10249916
36174;10245578
36201;10246278
36227;10250146
36253;10245953
36279;10244987
36305;10248365
36331;10246390
36358;10244841
36384;10246376
36410;10247587
36436;10244909
36462;10245588
36489;10250044
36515;10245505
36541;10245125
36567;10250280
36594;10245278
36620;10245528
36646;10251299
36672;10245564
36699;10244938
36725;10247996
36751;10246469
36777;10245450
36803;10246922
36830;10248326
36856;10245598
36882;10245766
36908;10249483
36935;10245992
36961;10245219
36987;10249207
37013;10245967
37039;10244584
37066;10248981
37091;10246129
37118;10245401
37144;10248168
37170;10247764
37197;10245066
37223;10246061
37249;10249911
37276;10246050
37301;10246529
37328;10251068
37354;10245731
37380;10245815
37406;10250452
37433;10246347
37459;10245248
37485;10249699
37511;10246853
37538;10246544
37564;10248193
37589;10248226
37616;10245125
37643;10245667
37668;10250955
37695;10246209
37721;10245810
37747;10250773
37773;10246868
37799;10245549
37826;10249610
37852;10246198
37878;10246362
37904;10248631
37930;10247458
37957;10245809
37983;10247538
38009;10248916
38036;10245894
38062;10245484
38088;10251073
38114;10245928
38140;10245992
38167;10249921
38192;10245097
38219;10245548
38245;10251068
38271;10247414
38298;10245923
38324;10248085
38350;10247617
38376;10245868
38403;10246317
38429;10250305
38455;10246046
38481;10245904
38507;10250146
38534;10246598
38560;10246676
38586;10251718
38612;10246362
38638;10246066
38665;10249266
38691;10246917
38717;10245165
38744;10247257
38769;10248262
38795;10246160
38822;10245977
38848;10250487
38874;10245972
38900;10245627
38927;10250620
38953;10246179
38980;10245376
39005;10251087
39032;10246169
39058;10246849
39084;10249694
39110;10247754
39137;10245687
39163;10247724
39189;10249159
39215;10246282
39241;10245997
39267;10250851
39294;10245899
39320;10246317
39346;10250535
39373;10246572
39398;10246258
39425;10250216
39451;10246706
39478;10247056
39503;10248911
39530;10248188
39556;10246267
39583;10246209
39608;10249984
39635;10247729
39661;10246480
39687;10250728
39713;10245475
39739;10247553
39766;10250787
39791;10246666
39818;10246996
39845;10250654
39870;10247179
39897;10246406
39923;10248369
39949;10248753
39976;10248853
40001;10246479
40028;10251304
40054;10246879
40080;10246897
40107;10250773
40133;10246883
40158;10246524
40185;10250054
40211;10246878
40238;10246302
40264;10249842
40290;10248518
40316;10246381
40343;10247095
40368;10250708
40395;10246415
40421;10245666
40447;10251526
40473;10246155
40500;10246902
40526;10250856
40552;10247135
40579;10246701
40604;10250477
40631;10246893
40657;10246908
40683;10249350
40709;10250482
40736;10246888
40762;10246937
40788;10250650
40815;10247301
40840;10247307
40867;10252176
40893;10246711
40919;10247050
40946;10252043
40971;10247873
40998;10247051
41024;10251648
41050;10248321
41077;10246504
41102;10248001
41129;10250099
41155;10246400
41181;10247001
41208;10251860
41234;10247306
41260;10247174
41286;10251373
41313;10248365
41338;10247735
41365;10252324
41391;10247321
41417;10247385
41444;10250172
41470;10248853
41496;10247257
41522;10248611
41548;10250659
41575;10247458
41601;10246552
41627;10252097
41653;10247307
41679;10247435
41706;10251673
41732;10246874
41758;10247045
41785;10252377
41810;10247612
41837;10246869
41863;10248778
41889;10247956
41916;10247391
41941;10247291
41968;10250527
41994;10247868
42020;10247597
42046;10251979
42072;10246465
42099;10246484
42125;10250836
42151;10248036
42178;10247055
42203;10250447
42230;10248330
42256;10246465
42282;10248794
42309;10250231
42335;10247829
42361;10247587
42387;10253436
42414;10247631
42439;10246824
42466;10250846
42492;10247268
42518;10247857
42545;10252146
42570;10248257
42597;10248070
42623;10251747
42649;10248720
42676;10247656
42702;10249522
42728;10250300
42754;10247853
42781;10247547
42806;10252629
42833;10248685
42859;10247440
42885;10252766
42911;10247395
42938;10247370
42964;10251674
42990;10248129
43016;10248252
43043;10249089
43069;10249074
43095;10247036
43121;10247351
43148;10252476
43173;10247976
43200;10247233
43226;10251831
43252;10246942
43279;10246819
43305;10252825
43330;10247061
43357;10247262
43384;10251551
43409;10248897
43436;10247863
43462;10250403
43488;10249971
43515;10247621
43540;10247665
43567;10252721
43593;10246632
43619;10248187
43646;10251447
43671;10247479
43698;10248242
43724;10251886
43751;10247656
43776;10247158
43803;10251245
43829;10248054
43855;10247011
43881;10247941
43907;10251285
43934;10246996
43960;10248129
43986;10251742
44013;10247657
44039;10246607
44065;10253150
44091;10247247
44117;10247656
44144;10251304
44169;10247547
44196;10247346
44223;10250059
44248;10249527
44275;10246889
44300;10247351
44327;10251452
44353;10247656
44380;10247503
44405;10252668
44432;10247277
44458;10248646
44484;10252121
44511;10248163
44537;10247602
44563;10250561
44589;10249355
44616;10247834
44641;10249265
44668;10251062
44694;10248011
44720;10247375
44747;10252928
44773;10247819
44799;10248749
44825;10252549
44851;10247779
44878;10247646
44903;10251703
44930;10248257
44956;10248046
44982;10251698
45009;10250521
45035;10248793
45061;10248528
45087;10251540
45114;10247745
45140;10248174
45166;10252584
45192;10247709
45219;10248788
45244;10252313
45271;10247834
45297;10246908
45323;10251697
45350;10248276
45376;10248453
45402;10250379
45428;10250063
45454;10247927
45481;10248482
45507;10252108
45533;10247813
45559;10248183
45585;10252284
45612;10248971
45638;10248562
45664;10252722
45690;10248090
45716;10248059
45743;10250606
45769;10248946
45795;10248281
45821;10249685
45847;10251127
45874;10248858
45900;10248006
45926;10253529
45953;10249331
45978;10247956
46005;10252053
46031;10248065
46057;10247965
46084;10251408
46110;10247957
46136;10247518
46162;10250266
46188;10249626
46215;10248148
46240;10248650
46267;10252097
46294;10248577
46319;10247951
46346;10252416
46372;10247578
46398;10248394
46424;10252294
46450;10249438
46477;10248350
46503;10252018
46529;10247922
46556;10247912
46582;10250227
46607;10250344
46634;10247464
46661;10247326
46686;10252220
46713;10248349
46739;10248488
46765;10252604
46791;10247962
46818;10247439
46844;10252108
46870;10248390
46896;10247484
46923;10251851
46949;10248522
46975;10247665
47001;10250487
47028;10251846
47053;10248326
47080;10248113
47106;10252175
47132;10248094
47158;10248986
47185;10254233
47211;10248946
47237;10248675
47263;10252634
47290;10248385
47316;10248636
47342;10251890
47368;10249537
47395;10248562
47420;10249762
47447;10252137
47473;10248513
47499;10248611
47525;10252761
47552;10248469
47578;10250959
47604;10253215
47630;10248527
47656;10248602
47683;10251815
47708;10249242
47735;10248297
47761;10250802
47787;10250535
47814;10248405
47839;10248473
47866;10252639
47892;10248207
47919;10248169
47945;10253066
47971;10249034
47997;10248325
48023;10252924
48050;10248241
48076;10248562
48102;10252722
48128;10248911
48155;10248414
48180;10250601
48207;10253568
48233;10247858
48259;10248414
48286;10252840
48312;10248060
48338;10248197
48364;10253205
48391;10247814
48416;10248813
48443;10252766
48469;10248375
48495;10248297
48522;10250969
48548;10250182
48574;10248513
48600;10248394
48626;10251664
48653;10248448
48678;10247957
48705;10253820
48731;10249064
48757;10247991
48784;10252416
48810;10249281
48836;10248173
48862;10252363
48889;10249315
48915;10248809
48941;10251417
48967;10251388
48993;10249088
49019;10248548
49046;10253776
49072;10249251
49098;10249310
49124;10252693
49151;10248330
49177;10248626
49203;10253033
49230;10249148
49255;10248738
49282;10252649
49308;10250009
49334;10250000
49361;10250049
49386;10252225
49413;10249355
49439;10248976
49465;10252855
49492;10248557
49517;10248493
49544;10252791
49570;10248681
49596;10248709
49623;10253471
49649;10250305
49675;10248459
49701;10252028
49727;10250600
49754;10248911
49780;10249950
49806;10251781
49832;10248439
49859;10248685
49885;10252796
49911;10249078
49937;10248650
49963;10253929
49990;10248704
50016;10248538
50042;10253490
50068;10249576
50095;10248911
50121;10250807
50147;10250290
50173;10248424
50199;10249488
50225;10253209
50252;10248719
50278;10248286
50304;10253284
50330;10249409
50357;10248522
50383;10253052
50409;10249763
50435;10248995
50461;10252348
50488;10249409
50514;10248636
50540;10250182
50566;10252998
50593;10248178
50619;10249015
50645;10253977
50671;10248985
50697;10248897
50724;10253141
50750;10248493
50776;10249122
50802;10253924
50828;10248655
50855;10248370
50881;10252230
50907;10250644
50933;10248518
50959;10249876
50986;10252673
51012;10249502
51038;10249388
51065;10254179
51090;10249206
51117;10249961
51143;10252875
51169;10249851
51196;10249025
51221;10252712
51248;10250133
51274;10249114
51300;10252820
51327;10251423
51353;10252628
51379;10249399
51405;10254303
51431;10249384
51458;10249950
51484;10253195
51510;10249030
51536;10249113
51562;10254037
51589;10248557
51615;10249458
51641;10252403
51667;10250536
51694;10249231
51720;10251107
51746;10251820
