=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:52:22 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1597178;10481953
1597231;10481817
1597284;10481551
1597337;10481747
1597391;10481471
1597444;10481722
1597497;10481491
1597550;10481451
1597604;10481845
1597657;10482196
1597710;10481930
1597763;10481712
1597817;10481546
1597870;10481599
1597923;10481777
1597976;10481235
1598030;10482201
1598083;10481812
1598136;10481205
1598189;10481373
1598243;10481092
1598296;10481413
1598349;10481619
1598402;10481787
1598455;10482771
1598509;10482598
1598562;10482761
1598616;10483494
1598669;10483411
1598722;10482884
1598775;10482834
1598829;10482460
1598882;10482131
1598935;10482289
1598989;10482028
1599041;10481792
1599095;10481777
1599148;10482141
1599201;10483027
1599255;10482412
1599308;10482053
1599361;10481787
1599414;10481792
1599467;10482219
1599520;10483346
1599574;10483642
1599628;10484104
1599681;10483072
1599733;10482490
1599787;10481955
1599840;10482327
1599893;10482854
1599947;10483662
1600000;10483750
1600053;10484292
1600107;10483431
1600159;10483037
1600213;10482510
1600266;10482048
1600319;10481408
1600373;10481865
1600426;10482352
1600479;10482392
1600533;10482254
1600585;10482076
1600639;10481343
1600692;10481102
1600746;10481702
1600799;10481644
1600852;10481963
1600905;10482038
1600959;10482136
1601012;10482854
1601065;10483637
1601118;10483662
1601171;10484114
1601225;10484076
1601278;10484011
1601331;10483454
1601384;10483868
1601437;10483868
1601491;10483755
1601544;10484109
1601598;10484824
1601650;10483863
1601704;10483564
1601757;10482746
1601811;10483258
1601864;10483238
1601917;10483195
1601970;10482884
1602023;10481659
1602077;10481428
1602130;10481561
1602183;10481767
1602236;10482618
1602290;10482982
1602343;10483712
1602396;10483135
1602449;10483401
1602503;10483863
1602556;10484154
1602609;10484465
1602663;10485409
1602716;10484809
1602769;10482658
1602822;10481948
1602876;10482126
1602929;10482633
1602982;10482939
1603036;10482987
1603088;10483155
1603142;10483095
1603195;10483185
1603248;10483233
1603302;10483085
1603355;10483333
1603408;10483323
1603461;10483426
1603514;10483584
1603567;10483662
1603621;10483893
1603674;10484119
1603727;10484209
1603781;10484601
1603834;10484340
1603887;10484006
1603940;10484962
1603994;10484041
1604047;10484282
1604101;10484440
1604153;10484503
1604207;10484503
1604260;10484272
1604313;10483592
1604367;10482967
1604420;10483130
1604473;10483948
1604526;10484036
1604579;10484375
1604633;10483913
1604686;10484222
1604740;10484478
1604792;10484824
1604846;10484091
1604899;10483795
1604952;10484051
1605006;10484154
1605059;10483780
1605112;10483750
1605165;10484227
1605219;10483878
1605271;10484450
1605325;10484666
1605378;10484942
1605432;10485464
1605485;10485005
1605538;10485650
1605591;10484144
1605644;10483800
1605698;10483735
1605751;10483554
1605804;10483637
1605857;10483386
1605911;10483529
1605964;10483830
1606018;10483592
1606071;10484026
1606123;10483956
1606177;10483971
1606230;10484214
1606284;10484709
1606336;10483800
1606390;10481702
1606443;10481845
1606497;10481516
1606550;10481910
1606603;10482166
1606656;10482131
1606709;10482904
1606763;10482899
1606816;10478971
1606869;10471875
1606923;10453560
1606976;10444093
1607029;10428943
1607082;10406537
1607136;10391206
1607189;10372847
1607242;10359441
1607295;10346911
1607349;10335971
1607401;10324564
1607455;10312885
1607508;10303827
1607562;10297795
1607615;10292867
1607668;10285517
1607721;10278250
1607774;10270116
1607828;10259369
1607881;10251846
1607934;10245751
1607988;10239947
1608041;10232522
1608094;10229115
1608148;10226032
1608201;10223404
1608254;10221035
1608307;10217603
1608361;10212755
1608414;10208795
1608467;10205070
1608520;10202971
1608573;10201268
1608627;10200234
1608680;10200008
1608733;10199309
1608786;10198831
1608839;10197153
1608893;10192253
1608946;10189511
1608999;10188861
1609053;10188890
1609106;10189629
1609159;10190815
1609212;10190354
1609266;10190511
1609319;10189668
1609372;10189172
1609425;10188620
1609478;10189412
1609532;10188610
1609585;10188349
1609638;10188354
1609692;10188280
1609744;10188301
1609798;10188502
1609851;10187542
1609905;10186774
1609958;10186222
1610011;10186137
1610064;10186000
1610117;10185079
1610171;10183649
1610224;10183062
1610278;10182347
1610331;10181043
1610384;10180807
1610437;10180369
1610490;10180487
1610544;10180200
1610597;10179014
1610650;10178206
1610704;10177459
1610756;10175889
1610810;10174860
1610863;10172438
1610917;10170581
1610970;10168689
1611022;10166496
1611076;10164545
1611129;10162702
1611183;10161038
1611236;10159330
1611289;10158219
1611343;10157524
1611396;10157618
1611449;10158057
1611502;10156973
1611555;10157347
1611608;10157391
1611662;10157273
1611715;10157987
1611768;10158405
1611822;10158499
1611875;10158425
1611928;10158410
1611981;10157664
1612035;10158362
1612088;10158982
1612141;10158668
1612195;10159026
1612248;10158765
1612301;10158623
1612354;10159125
1612408;10159253
1612460;10159168
1612514;10159632
1612567;10159584
1612621;10159303
1612674;10158427
1612727;10158564
1612780;10155649
1612833;10154669
1612887;10153585
1612940;10152930
1612993;10152225
1613047;10153234
1613099;10152698
1613153;10152846
1613206;10153102
1613260;10153280
1613313;10152988
1613366;10154599
1613419;10154495
1613473;10154210
1613526;10153618
1613579;10152082
1613632;10151739
1613686;10149981
1613738;10150312
1613792;10149283
1613845;10149677
1613898;10150544
1613951;10150616
1614005;10150913
1614058;10151094
1614112;10150756
1614164;10150889
1614218;10150268
1614272;10150193
1614325;10149751
1614377;10149829
1614431;10148805
1614485;10147841
1614538;10148406
1614590;10148307
1614644;10147938
1614697;10147805
1614750;10147544
1614804;10147696
1614857;10147943
1614911;10149254
1614963;10147112
1615017;10146443
1615070;10146757
1615123;10145861
1615176;10144841
1615230;10144383
1615283;10144158
1615336;10144566
1615389;10142863
1615443;10142252
1615496;10143168
1615549;10142996
1615603;10143291
1615656;10142602
1615709;10142494
1615762;10141677
1615815;10141361
1615869;10140967
1615922;10140668
1615975;10139559
1616029;10137972
1616082;10135738
1616135;10135035
1616188;10132838
1616242;10131770
1616295;10130809
1616348;10129722
1616401;10129889
1616454;10129814
1616507;10129031
1616561;10128903
1616614;10128410
1616667;10128471
1616721;10128802
1616774;10129229
1616827;10129608
1616880;10130106
1616934;10130705
1616987;10132287
1617040;10132012
1617094;10133159
1617147;10133325
1617200;10133405
1617253;10132212
1617306;10132120
1617360;10130978
1617413;10130765
1617466;10130864
1617519;10129666
1617573;10128983
1617626;10128840
1617679;10128555
1617733;10127954
1617785;10128145
1617839;10128154
1617892;10127940
1617946;10128307
1617998;10127997
1618052;10128222
1618105;10127510
1618159;10126812
1618212;10126686
1618265;10125913
1618318;10125754
1618371;10125493
1618425;10125469
1618478;10125715
1618532;10125621
1618585;10125164
1618638;10124991
1618691;10124242
1618744;10122986
1618798;10121298
1618851;10120752
1618904;10120858
1618957;10119187
1619011;10119044
1619064;10118576
1619117;10119001
1619170;10118556
1619223;10118902
1619277;10119054
1619330;10118129
1619383;10118754
1619437;10118865
1619490;10119332
1619543;10119711
1619596;10119846
1619650;10120904
1619702;10121597
1619756;10122160
1619809;10122090
1619862;10122558
1619916;10121918
1619969;10120996
1620022;10119539
1620075;10118832
1620129;10117607
1620182;10117001
1620236;10116651
1620289;10115912
1620342;10115784
1620395;10115921
1620448;10115020
1620501;10115622
1620555;10115873
1620608;10115793
1620661;10116552
1620714;10117100
1620767;10117552
1620821;10118238
1620874;10117090
1620927;10116651
1620981;10116685
1621034;10116218
1621087;10115286
1621141;10115177
1621194;10115646
1621247;10116144
1621300;10116351
1621353;10117271
1621407;10116936
1621460;10116859
1621514;10116503
1621566;10116897
1621620;10122592
1621673;10116878
1621726;10116001
1621779;10116936
1621833;10116272
1621886;10116129
1621940;10116325
1621993;10116172
1622045;10116380
1622099;10115873
1622152;10116651
1622206;10115960
1622259;10115834
1622312;10115419
1622365;10115325
1622419;10115656
1622472;10114390
1622525;10114455
1622579;10113533
1622632;10113547
1622684;10113327
1622738;10112779
1622791;10112134
1622845;10112380
1622898;10112144
1622951;10112593
1623004;10112637
1623058;10112559
1623111;10112731
1623164;10112376
1623217;10111878
1623270;10111518
1623324;10111395
1623377;10111366
1623431;10111149
1623483;10111321
1623537;10111153
1623590;10111233
1623643;10110738
1623697;10111050
1623750;10111374
1623803;10111178
1623856;10110977
1623909;10111760
1623963;10111255
1624016;10110811
1624069;10110608
1624122;10110615
1624176;10110929
1624229;10110197
1624282;10109743
1624336;10109036
1624389;10107813
1624442;10106420
1624495;10105227
1624549;10104794
1624602;10103613
1624655;10102922
1624709;10102019
1624762;10101582
1624815;10101399
1624868;10100959
1624921;10101237
1624975;10100906
1625028;10101597
1625081;10101669
1625134;10101954
1625188;10102853
1625241;10101964
1625294;10102442
1625347;10103434
1625401;10103087
1625454;10103316
1625507;10103737
1625560;10104439
1625614;10104601
1625667;10104514
1625720;10104193
1625773;10105330
1625826;10105031
1625880;10104983
1625933;10104842
1625986;10104794
1626040;10104302
1626093;10104026
1626146;10103386
1626200;10103220
1626252;10103181
1626306;10102932
1626359;10103418
1626412;10102935
1626466;10103509
1626519;10103229
1626572;10103229
1626626;10103362
1626678;10103485
1626732;10102483
1626785;10102094
1626839;10101019
1626892;10100152
1626945;10099901
1626998;10098754
1627052;10098920
1627105;10098232
1627158;10099075
1627211;10098300
1627264;10098655
1627318;10098952
1627371;10099152
1627424;10100114
1627478;10100261
1627530;10100739
1627584;10101606
1627637;10101138
1627691;10101631
1627743;10102295
1627797;10101575
1627851;10102029
1627904;10101901
1627956;10101597
1628010;10101432
1628063;10102087
1628116;10102034
1628170;10102109
1628223;10101536
1628276;10101346
1628329;10101949
1628383;10101949
1628435;10101906
1628489;10101834
1628542;10102109
1628596;10101413
1628649;10100450
1628702;10099551
1628756;10098655
1628808;10098162
1628862;10097839
1628915;10097285
1628968;10097307
1629022;10096498
1629075;10097498
1629128;10096317
1629181;10096430
1629234;10095887
1629288;10095986
1629341;10096165
1629395;10099261
1629447;10096285
1629501;10095701
1629554;10095815
1629608;10096360
1629660;10096933
1629714;10097194
1629767;10097389
1629821;10097104
1629873;10097085
1629927;10096498
1629980;10096686
1630034;10096435
1630086;10096696
1630140;10097522
1630193;10098024
1630247;10097962
1630300;10097764
1630353;10098413
1630406;10097783
1630460;10097783
1630513;10096768
1630566;10096404
1630619;10096046
1630672;10097488
1630726;10095938
1630779;10095095
1630832;10095080
1630885;10095568
1630939;10094813
1630992;10094832
1631046;10094251
1631098;10093614
1631152;10093837
1631205;10092518
1631258;10091974
1631311;10090789
1631365;10090755
1631418;10090380
1631472;10090489
1631524;10090405
1631578;10090277
1631631;10090148
1631684;10090798
1631738;10089750
1631790;10089481
1631844;10089361
1631897;10088144
1631950;10088419
1632004;10087941
1632057;10088235
1632110;10088206
1632163;10087892
1632217;10088400
1632270;10088414
1632323;10088334
1632376;10088448
1632430;10088523
1632483;10089030
1632537;10089315
1632589;10089168
1632643;10089424
1632696;10089745
1632750;10089931
1632802;10090552
1632855;10090073
1632909;10090344
1632962;10090380
1633015;10090632
1633069;10090153
1633122;10089547
1633175;10090020
1633229;10090102
1633282;10089837
1633335;10090281
1633389;10090216
1633441;10089533
1633495;10089897
1633548;10089822
1633602;10090235
1633654;10089380
1633708;10090277
1633761;10089733
1633815;10090001
1633867;10090619
1633921;10090025
1633974;10089755
1634027;10089774
1634080;10090054
1634134;10089861
1634187;10089784
1634240;10089851
1634294;10090093
1634347;10089866
1634400;10090496
1634454;10090395
1634506;10090448
1634560;10090477
1634613;10090134
1634666;10090376
1634720;10090477
1634773;10089661
1634826;10089984
1634880;10089864
1634932;10089144
1634986;10089742
1635039;10089453
1635092;10089112
1635145;10088883
1635199;10089267
1635252;10088969
1635305;10089755
1635359;10088955
1635412;10089861
1635465;10089419
1635519;10089281
1635572;10089006
1635625;10089353
1635678;10089262
1635731;10089356
1635785;10088912
1635838;10089571
1635891;10089453
1635945;10089054
1635998;10089414
1636051;10088897
1636104;10089187
1636157;10088803
1636210;10088736
1636264;10088030
1636317;10087987
1636370;10087581
1636424;10088262
1636476;10087224
1636530;10087148
1636583;10087380
1636636;10086680
1636690;10086707
1636743;10087286
1636796;10086028
1636849;10086796
1636903;10090211
1636956;10088409
1637009;10098836
1637062;10111446
1637116;10114617
1637169;10119491
1637222;10132478
1637276;10145358
1637329;10156087
1637382;10164081
1637435;10170757
1637488;10179466
1637542;10187181
1637595;10194150
1637649;10200500
1637701;10205570
1637755;10210474
1637808;10215453
1637861;10222197
1637915;10230217
1637968;10234467
1638021;10240286
1638075;10244376
1638128;10248641
1638181;10253539
1638234;10257833
1638287;10262067
1638341;10267507
1638394;10270397
1638447;10275591
1638500;10280106
1638554;10283173
1638607;10286984
1638660;10289578
1638713;10293857
1638767;10296540
1638820;10298928
1638873;10301626
1638927;10302901
1638979;10304851
1639033;10309429
1639086;10312344
1639139;10315534
1639193;10319640
1639246;10322097
1639299;10324948
1639352;10327636
1639406;10329832
1639459;10332274
1639512;10334405
1639565;10335686
1639619;10337734
1639672;10339915
1639725;10342667
1639779;10345444
1639831;10349225
1639885;10351391
