=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 12:04:07 =~=~=~=~=~=~=~=~=~=~=~=
claibra      alibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2298517;10967140
2298570;10966121
2298624;10966516
2298677;10966709
2298731;10967056
2298783;10966832
2298836;10967051
2298890;10966991
2298943;10966960
2298996;10966479
2299050;10966698
2299103;10966437
2299156;10967242
2299210;10967743
2299262;10968310
2299316;10968271
2299369;10968143
2299423;10967550
2299476;10967487
2299529;10967145
2299582;10966928
2299635;10967273
2299689;10967278
2299742;10966868
2299795;10964867
2299849;10965316
2299902;10966403
2299955;10966698
2300008;10966970
2300062;10967749
2300115;10966672
2300168;10965909
2300221;10966111
2300275;10966944
2300328;10966873
2300381;10967028
2300434;10967017
2300487;10966879
2300541;10967492
2300594;10967200
2300647;10967077
2300700;10966837
2300754;10967466
2300807;10966468
2300861;10966427
2300913;10966756
2300967;10967263
2301020;10967913
2301073;10967652
2301126;10967733
2301180;10967380
2301233;10966356
2301286;10965920
2301340;10966704
2301392;10966570
2301446;10966596
2301499;10967033
2301553;10967302
2301606;10967503
2301659;10966032
2301712;10965839
2301766;10966468
2301818;10965747
2301872;10965967
2301925;10965875
2301978;10966165
2302032;10967236
2302085;10967082
2302139;10967924
2302191;10967184
2302245;10967775
2302298;10966244
2302351;10966126
2302404;10966560
2302458;10966965
2302511;10967461
2302564;10967466
2302618;10968182
2302671;10967994
2302724;10968315
2302778;10968261
2302830;10968112
2302884;10968394
2302937;10968982
2302990;10968762
2303044;10968182
2303097;10968548
2303150;10968302
2303203;10968655
2303256;10969008
2303310;10968496
2303363;10968261
2303416;10967707
2303469;10967451
2303523;10967108
2303576;10966826
2303630;10966043
2303682;10966121
2303736;10966074
2303789;10966704
2303842;10966879
2303895;10966858
2303949;10967124
2304002;10966873
2304056;10966724
2304108;10966944
2304162;10966842
2304215;10966868
2304268;10967161
2304322;10967738
2304375;10968255
2304428;10968255
2304481;10968041
2304534;10967641
2304588;10967046
2304641;10967179
2304694;10967524
2304747;10967615
2304801;10967103
2304854;10967184
2304907;10966724
2304961;10967236
2305014;10967563
2305067;10967809
2305120;10968302
2305174;10968838
2305227;10968731
2305280;10968229
2305334;10966784
2305386;10965771
2305440;10965870
2305493;10966024
2305546;10966489
2305599;10966821
2305653;10967040
2305706;10966659
2305759;10966528
2305813;10967594
2305866;10967445
2305919;10967430
2305972;10967529
2306025;10967665
2306079;10967093
2306132;10967338
2306185;10967550
2306239;10968587
2306292;10969211
2306345;10969525
2306398;10969488
2306451;10969366
2306505;10969089
2306558;10968853
2306611;10968665
2306664;10966975
2306718;10967189
2306771;10967380
2306825;10967652
2306878;10968224
2306930;10967978
2306984;10968054
2307037;10968229
2307091;10968308
2307144;10968415
2307197;10968336
2307250;10968731
2307303;10968660
2307357;10968655
2307410;10968608
2307463;10968571
2307516;10967297
2307570;10967769
2307623;10967140
2307677;10966790
2307729;10967430
2307783;10968287
2307836;10968368
2307890;10968997
2307942;10968812
2307996;10969050
2308049;10969444
2308103;10969467
2308155;10967754
2308209;10953960
2308262;10942286
2308316;10928440
2308369;10917165
2308421;10906156
2308475;10891718
2308528;10878099
2308582;10860669
2308635;10844843
2308688;10829573
2308741;10814493
2308794;10803300
2308848;10791468
2308901;10778554
2308955;10769410
2309007;10759456
2309061;10750439
2309114;10743737
2309168;10737029
2309220;10727838
2309274;10722385
2309327;10716082
2309380;10710317
2309434;10704505
2309487;10699641
2309540;10696722
2309594;10694648
2309647;10692452
2309700;10689969
2309753;10687485
2309806;10683952
2309859;10680050
2309912;10677224
2309966;10676123
2310019;10674055
2310073;10673774
2310126;10672626
2310179;10671715
2310233;10670204
2310286;10668704
2310338;10667173
2310392;10665755
2310445;10664209
2310498;10662831
2310552;10661761
2310605;10661853
2310658;10662134
2310712;10661336
2310765;10659835
2310818;10658510
2310871;10657824
2310925;10657076
2310978;10656461
2311031;10656574
2311085;10656108
2311137;10655693
2311191;10654782
2311244;10654198
2311298;10653650
2311350;10652416
2311404;10651587
2311457;10650620
2311511;10650204
2311563;10649857
2311617;10649084
2311670;10648889
2311723;10649150
2311777;10648311
2311830;10648033
2311883;10647839
2311937;10646625
2311990;10645832
2312043;10644818
2312096;10644244
2312149;10644664
2312203;10644024
2312256;10644341
2312309;10644776
2312362;10645177
2312415;10645965
2312469;10646533
2312522;10646231
2312575;10646139
2312629;10646108
2312682;10645443
2312735;10644730
2312788;10643824
2312842;10642310
2312895;10641060
2312949;10639037
2313001;10636435
2313055;10633831
2313108;10632110
2313161;10631173
2313215;10630378
2313267;10631029
2313321;10631316
2313374;10631536
2313428;10633415
2313480;10633364
2313534;10633897
2313587;10635018
2313640;10634112
2313694;10634127
2313747;10633979
2313801;10634567
2313853;10634906
2313906;10634240
2313960;10633231
2314013;10632248
2314066;10630297
2314120;10629743
2314173;10628858
2314226;10628044
2314280;10627967
2314332;10626651
2314386;10626375
2314439;10626964
2314492;10625157
2314546;10626093
2314599;10626119
2314653;10626427
2314705;10626012
2314759;10626232
2314812;10626759
2314865;10626093
2314919;10626540
2314972;10627789
2315025;10628468
2315079;10628858
2315131;10629657
2315184;10630030
2315238;10629427
2315291;10628223
2315344;10628408
2315398;10627593
2315451;10626764
2315505;10625649
2315557;10625591
2315611;10624332
2315664;10623764
2315717;10623149
2315771;10623097
2315823;10622846
2315877;10622396
2315930;10622472
2315984;10622550
2316037;10623011
2316090;10623026
2316144;10622806
2316196;10622472
2316250;10621797
2316303;10621049
2316356;10621059
2316410;10620675
2316463;10619728
2316516;10619769
2316569;10617579
2316622;10614911
2316675;10612595
2316729;10610445
2316782;10609084
2316836;10608433
2316889;10607947
2316942;10608060
2316995;10608351
2317048;10609242
2317102;10609663
2317155;10609791
2317209;10610466
2317262;10610650
2317315;10611868
2317368;10612141
2317421;10612734
2317475;10613241
2317528;10613835
2317581;10613784
2317635;10613113
2317687;10614132
2317741;10615059
2317794;10614142
2317847;10613481
2317901;10614056
2317954;10613272
2318007;10613672
2318060;10613855
2318113;10613906
2318167;10613625
2318220;10614199
2318273;10614480
2318326;10614377
2318380;10614275
2318433;10613411
2318486;10613860
2318539;10612964
2318593;10611260
2318646;10609628
2318699;10608531
2318753;10607721
2318805;10606677
2318859;10605720
2318912;10604767
2318966;10603527
2319019;10602518
2319072;10602089
2319125;10601578
2319178;10601184
2319232;10601791
2319285;10602257
2319339;10602698
2319391;10603369
2319445;10603768
2319498;10603803
2319551;10604418
2319605;10604398
2319657;10604819
2319711;10605601
2319764;10605713
2319818;10605771
2319871;10606087
2319924;10607374
2319977;10606913
2320031;10606877
2320084;10606825
2320137;10606421
2320191;10605914
2320243;10604398
2320297;10602795
2320350;10601039
2320403;10599919
2320457;10598070
2320510;10597342
2320563;10595688
2320617;10594398
2320669;10594976
2320723;10594685
2320776;10594429
2320829;10595089
2320883;10595704
2320935;10596108
2320989;10597051
2321042;10597117
2321096;10598407
2321149;10598259
2321202;10598715
2321255;10598168
2321309;10597998
2321362;10597854
2321415;10598183
2321468;10598899
2321521;10598484
2321575;10598643
2321628;10599252
2321682;10599289
2321735;10599417
2321788;10599744
2321841;10598552
2321895;10597425
2321947;10595776
2322001;10593337
2322054;10591838
2322107;10590713
2322161;10588929
2322214;10588372
2322267;10587957
2322321;10588284
2322373;10588264
2322427;10588603
2322480;10588683
2322533;10588982
2322587;10590354
2322640;10590937
2322693;10591353
2322746;10592059
