=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:20:17 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2299210;10563641
2299260;10563932
2299313;10564906
2299367;10565516
2299420;10565413
2299474;10566048
2299527;10566550
2299579;10567118
2299633;10567353
2299686;10567810
2299739;10567732
2299793;10567968
2299846;10568613
2299899;10568900
2299953;10569580
2300005;10569753
2300059;10570109
2300112;10571455
2300166;10571038
2300219;10571628
2300272;10571992
2300325;10572386
2300379;10573247
2300432;10573109
2300485;10574722
2300538;10574025
2300592;10574414
2300645;10575044
2300698;10575490
2300751;10575458
2300804;10575342
2300858;10576146
2300911;10576100
2300965;10576919
2301018;10576718
2301071;10576607
2301124;10577441
2301178;10577779
2301231;10577897
2301284;10577870
2301337;10578153
2301390;10577931
2301443;10578249
2301497;10578202
2301550;10579354
2301603;10578796
2301657;10579539
2301710;10579298
2301763;10579534
2301817;10579938
2301870;10580124
2301923;10580937
2301976;10580870
2302030;10581527
2302082;10580722
2302136;10581276
2302189;10582007
2302243;10581705
2302296;10581213
2302348;10582418
2302402;10581941
2302455;10582125
2302509;10582280
2302562;10582499
2302615;10582637
2302668;10582381
2302721;10582586
2302775;10583319
2302828;10582782
2302881;10583344
2302935;10583274
2302988;10583565
2303041;10583497
2303095;10583651
2303147;10582888
2303201;10583698
2303254;10583907
2303307;10583881
2303360;10583462
2303414;10583954
2303467;10584102
2303521;10584260
2303574;10584255
2303627;10584293
2303680;10584298
2303733;10584511
2303787;10584973
2303840;10585229
2303893;10585613
2303947;10585040
2304000;10585262
2304053;10585596
2304106;10586025
2304159;10585924
2304213;10586544
2304266;10586404
2304319;10585674
2304372;10585844
2304426;10585887
2304479;10586113
2304532;10585847
2304585;10586088
2304639;10586713
2304691;10586743
2304745;10586989
2304798;10586876
2304852;10587589
2304905;10587024
2304958;10586610
2305011;10586381
2305065;10586876
2305118;10586575
2305171;10587122
2305224;10587220
2305277;10587378
2305331;10587654
2305384;10587578
2305437;10588166
2305491;10588448
2305544;10588530
2305597;10588193
2305650;10587968
2305704;10587952
2305757;10588560
2305810;10588347
2305864;10588392
2305916;10588183
2305970;10588540
2306023;10588407
2306076;10588673
2306130;10589406
2306183;10589200
2306236;10588771
2306289;10588643
2306342;10588976
2306396;10589212
2306449;10588899
2306502;10589355
2306556;10589253
2306609;10589212
2306663;10589313
2306715;10589104
2306768;10589366
2306822;10589463
2306875;10589263
2306929;10589451
2306982;10589682
2307035;10589283
2307088;10588894
2307141;10589032
2307195;10588971
2307248;10588889
2307301;10589729
2307355;10589360
2307407;10589298
2307461;10589325
2307514;10589263
2307567;10589298
2307621;10589391
2307674;10589647
2307727;10590056
2307780;10590026
2307833;10589739
2307887;10590011
2307941;10589918
2307993;10590327
2308046;10590691
2308100;10590194
2308153;10590344
2308206;10590359
2308260;10590691
2308313;10590420
2308366;10590743
2308419;10590834
2308473;10590206
2308526;10589750
2308579;10590174
2308632;10590179
2308686;10590231
2308739;10590528
2308792;10590851
2308846;10590636
2308899;10590036
2308952;10590548
2309005;10590743
2309059;10590656
2309111;10590826
2309165;10590952
2309218;10591306
2309272;10591213
2309325;10591127
2309378;10591137
2309431;10591183
2309485;10590615
2309537;10591270
2309591;10591634
2309644;10590513
2309697;10591137
2309751;10591572
2309804;10591153
2309857;10591203
2309910;10591757
2309964;10591004
2310017;10591670
2310070;10591092
2310123;10591532
2310177;10591306
2310230;10591250
2310283;10590846
2310336;10590144
2310390;10590701
2310443;10590006
2310497;10590477
2310549;10590523
2310603;10590886
2310656;10590851
2310709;10591065
2310763;10591168
2310816;10591188
2310869;10591404
2310923;10591526
2310976;10591542
2311029;10591419
2311082;10591393
2311135;10591449
2311188;10592064
2311242;10591690
2311295;10591757
2311349;10592500
2311401;10592227
2311455;10591951
2311508;10591818
2311562;10592377
2311614;10592207
2311667;10592530
2311721;10592668
2311774;10592315
2311828;10592601
2311881;10592505
2311934;10592786
2311987;10592367
2312040;10592382
2312094;10591911
2312147;10592392
2312200;10592417
2312254;10592357
2312306;10592357
2312360;10592387
2312413;10592259
2312467;10592224
2312520;10592679
2312573;10592116
2312626;10592822
2312679;10592551
2312733;10592653
2312786;10592679
2312839;10592648
2312892;10591321
2312946;10590676
2312999;10591198
2313052;10591557
2313105;10591449
2313159;10591710
2313212;10591921
2313266;10592402
2313318;10591705
2313372;10591788
2313425;10592182
2313479;10592475
2313531;10593017
2313585;10592874
2313638;10592618
2313691;10592684
2313745;10592694
2313797;10592874
2313851;10592919
2313904;10592726
2313958;10592869
2314011;10592566
2314064;10592817
2314117;10593324
2314170;10593068
2314224;10592465
2314277;10592428
2314331;10592576
2314383;10592849
2314437;10592699
2314490;10593140
2314544;10592918
2314597;10592889
2314649;10592884
2314703;10592448
2314756;10593047
2314810;10593191
2314863;10593319
2314916;10592443
2314969;10593180
2315023;10593329
2315075;10593248
2315129;10593263
2315182;10593923
2315236;10594060
2315289;10593416
2315342;10593401
2315395;10593640
2315449;10593356
2315502;10593339
2315555;10594006
2315608;10593125
2315661;10592975
2315715;10593452
2315768;10593578
2315822;10593073
2315874;10593298
2315928;10593394
2315981;10593881
2316034;10593492
2316087;10594065
2316141;10594001
2316194;10593733
2316248;10593642
2316301;10593927
2316354;10593440
2316407;10594065
2316460;10594235
2316514;10593977
2316567;10594526
2316620;10594479
2316674;10593964
2316727;10594070
2316780;10593943
2316833;10593595
2316886;10594316
2316940;10594331
2316993;10593989
2317046;10594071
2317099;10594418
2317153;10593994
2317205;10593718
2317259;10594290
2317312;10594137
2317366;10594270
2317419;10594629
2317472;10594056
2317525;10594060
2317579;10593873
2317631;10594011
2317685;10593514
2317738;10594220
2317792;10593982
2317845;10594292
2317898;10593972
2317951;10594260
2318004;10594479
2318058;10594383
2318111;10594454
2318165;10594612
2318218;10594607
2318271;10595035
2318324;10594203
2318378;10594516
2318430;10594757
2318484;10595043
2318537;10594664
2318590;10594863
2318644;10595217
2318697;10594654
2318750;10595166
2318803;10594541
2318857;10594937
2318910;10594557
2318963;10594617
2319017;10594410
2319069;10595417
2319123;10594900
2319176;10594548
2319230;10594674
2319283;10594858
2319336;10594720
2319389;10594705
2319442;10594572
2319496;10595121
2319549;10594823
2319602;10594725
2319655;10595239
2319708;10594993
2319762;10594762
2319815;10594910
2319869;10594484
2319922;10594649
2319975;10594895
2320028;10595058
2320081;10594930
2320135;10595079
2320188;10595028
2320241;10595114
2320295;10595013
2320347;10595084
2320401;10594767
2320454;10594983
2320507;10595633
2320561;10595237
2320614;10595151
2320667;10595119
2320721;10595222
2320774;10595606
2320826;10595156
2320880;10595299
2320934;10595515
2320987;10595505
2321040;10595299
2321093;10595340
2321147;10595397
2321200;10595412
2321253;10595345
2321306;10595212
2321360;10595375
2321413;10595581
2321466;10595771
2321519;10595227
2321572;10595525
2321626;10595618
2321679;10595816
2321733;10595422
2321785;10594900
2321838;10595350
2321892;10595934
2321945;10595330
2321998;10595171
2322052;10595515
2322105;10595560
2322158;10595852
2322211;10595483
2322265;10595330
2322318;10595520
2322372;10595304
2322424;10595560
2322478;10595791
2322531;10595719
2322584;10595581
2322637;10595791
2322691;10595761
2322744;10595852
2322797;10595618
2322850;10595397
2322903;10595771
2322957;10595581
2323010;10595929
2323063;10595345
2323117;10594998
2323170;10595377
2323223;10595704
2323276;10596236
2323329;10595540
2323383;10595852
2323436;10595771
2323489;10595899
2323542;10595786
2323596;10595811
2323649;10595832
2323702;10595693
2323755;10595714
2323809;10595565
2323862;10596170
2323916;10595751
2323969;10595837
2324022;10595776
2324075;10595827
2324128;10595867
2324182;10595975
2324235;10595949
2324288;10596057
2324342;10595980
2324395;10596103
2324448;10595704
2324501;10596128
2324554;10596974
2324608;10596118
2324661;10596584
2324714;10596221
2324768;10596047
2324821;10596497
2324874;10596017
2324927;10596436
2324981;10595796
2325034;10596128
2325087;10596318
2325140;10596155
2325194;10596103
2325247;10596994
2325300;10596108
2325353;10597337
2325406;10596140
2325460;10596251
2325513;10596933
2325566;10596487
2325620;10596627
2325673;10595879
2325726;10595975
2325779;10596205
2325833;10596278
2325886;10596451
2325939;10596441
2325992;10596145
2326045;10596359
2326099;10596544
2326152;10596354
2326205;10596256
2326259;10596456
2326312;10596313
2326365;10596524
2326418;10596554
2326471;10596534
2326525;10596534
2326578;10596564
2326631;10596652
2326685;10596231
2326737;10596354
2326791;10596349
2326844;10597021
2326897;10596748
2326951;10596600
2327004;10596564
2327057;10596456
2327111;10596605
2327164;10596502
2327217;10596544
2327270;10596707
2327324;10596569
2327377;10596564
2327430;10596647
2327483;10596637
2327537;10596600
2327590;10596984
2327643;10596846
2327696;10596682
2327749;10597086
2327803;10596903
2327856;10596381
2327909;10597383
2327963;10597287
2328016;10597624
2328069;10596283
2328122;10596830
2328176;10596825
2328228;10596790
2328282;10597021
2328335;10596482
2328389;10596820
2328442;10596810
2328495;10596692
2328548;10597024
2328602;10596760
2328655;10597061
2328708;10596820
2328761;10596502
2328814;10596979
2328868;10596825
2328921;10596938
2328974;10597440
2329028;10596876
2329081;10596999
2329134;10596780
2329187;10597004
2329240;10597533
2329294;10596918
2329347;10593617
2329401;10586298
2329453;10580646
2329507;10565632
2329560;10543996
2329613;10525995
2329667;10511229
2329720;10498265
2329773;10487575
2329826;10468620
2329880;10451213
2329932;10432504
2329986;10418862
2330039;10408896
2330093;10399403
2330145;10392087
2330199;10381517
2330252;10369484
2330306;10360130
2330359;10349924
2330412;10342155
2330466;10338369
2330519;10333903
2330572;10329906
2330625;10324352
2330678;10317740
2330731;10311699
2330785;10310547
2330838;10309159
2330891;10305599
