=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.29 16:03:44 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
start calibration
246710;10456170
246736;10455879
246763;10455943
246788;10455598
246814;10455244
246841;10454908
246867;10455028
246893;10455051
246919;10454709
246946;10455012
246972;10455422
246998;10455824
247024;10455673
247050;10455595
247077;10456071
247103;10456180
247130;10456233
247155;10456248
247181;10457159
247208;10457628
247234;10457868
247261;10458040
247287;10457992
247312;10458315
247339;10457736
247365;10456223
247392;10455658
247417;10455746
247444;10456189
247470;10456200
247496;10456598
247522;10457041
247549;10457671
247575;10457804
247601;10457593
247627;10457922
247654;10457302
247679;10457444
247706;10457204
247733;10456677
247758;10455836
247785;10455578
247811;10455805
247837;10455633
247863;10456037
247890;10456489
247915;10457056
247942;10457680
247968;10457618
247994;10457804
248020;10458006
248047;10458292
248073;10458110
248100;10458165
248125;10457922
248152;10457986
248178;10459114
248204;10460270
248230;10460641
248257;10461078
248283;10460764
248309;10461532
248335;10461826
248361;10461340
248388;10461791
248414;10461886
248440;10461773
248466;10461931
248492;10461738
248519;10461941
248545;10461926
248571;10461542
248597;10460950
248623;10461329
248650;10461399
248676;10461251
248702;10461182
248728;10460950
248755;10460453
248781;10459666
248807;10459410
248833;10457021
248860;10456676
248886;10457490
248912;10456800
248938;10457617
248964;10457848
248990;10458268
249017;10458543
249043;10458385
249069;10458331
249095;10458292
249122;10458355
249148;10458883
249174;10460242
249200;10460807
249227;10460812
249252;10461610
249279;10461271
249305;10461595
249332;10461901
249358;10461615
249384;10461901
249410;10461866
249436;10462250
249463;10462300
249488;10462817
249515;10463540
249541;10463116
249567;10463379
249594;10463485
249619;10463884
249646;10464702
249672;10464541
249698;10465322
249724;10464835
249751;10465272
249777;10466017
249803;10465013
249829;10464421
249856;10463101
249882;10463088
249908;10462792
249934;10462777
249960;10461949
249987;10461793
250013;10461419
250039;10460877
250065;10460882
250092;10460936
250118;10461276
250144;10461655
250170;10461901
250196;10460684
250223;10458572
250249;10458567
250275;10459665
250302;10461334
250327;10462448
250354;10463221
250380;10463756
250407;10463723
250432;10464213
250458;10463753
250485;10464022
250511;10464639
250537;10464692
250564;10465184
250589;10465465
250616;10465046
250642;10465146
250668;10464873
250695;10465274
250721;10465528
250747;10465334
250773;10465362
250799;10464875
250826;10464130
250852;10463698
250878;10463768
250904;10464152
250930;10465056
250957;10465013
250983;10464883
251009;10465352
251035;10465691
251062;10465992
251088;10466273
251114;10466469
251140;10466584
251166;10466343
251193;10466760
251219;10467207
251245;10467857
251272;10468281
251297;10468582
251324;10468605
251350;10468670
251376;10468115
251402;10468497
251429;10468497
251455;10468326
251481;10468123
251507;10467731
251534;10467536
251560;10467611
251585;10466612
251612;10466173
251638;10466471
251664;10466665
251691;10466067
251717;10465302
251743;10465917
251769;10465585
251796;10465324
251822;10465518
251848;10466115
251874;10466780
251901;10467169
251927;10467124
251953;10467937
251979;10468246
252006;10468449
252031;10467513
252058;10466778
252084;10466750
252110;10466544
252136;10466012
252163;10466208
252188;10466582
252215;10467440
252242;10467842
252267;10468291
252294;10468615
252320;10468547
252346;10468971
252372;10469438
252399;10469453
252425;10469506
252451;10469069
252477;10470156
252504;10470512
252529;10470881
252556;10470635
252582;10470560
252609;10470793
252634;10470555
252661;10469772
252687;10469458
252713;10469197
252739;10469734
252766;10470098
252792;10470540
252818;10470841
252844;10471280
252871;10472021
252896;10471722
252923;10472048
252949;10472397
252975;10472372
253002;10472678
253027;10472917
253054;10472545
253080;10472427
253107;10472372
253132;10472573
253159;10472816
253185;10473115
253211;10473087
253237;10472608
253263;10472224
253290;10471958
253316;10472226
253343;10472221
253368;10471875
253395;10472031
253420;10471895
253447;10471935
253473;10471574
253500;10471702
253526;10472239
253552;10472643
253578;10473235
253605;10473434
253630;10473185
253657;10473072
253683;10473770
253709;10473584
253736;10473672
253762;10474435
253788;10474525
253814;10474146
253841;10474365
253867;10475140
253893;10475414
253919;10475755
253945;10475574
253972;10475020
253997;10474952
254024;10474922
254050;10475123
254077;10474041
254102;10473308
254129;10473087
254155;10473524
254181;10473544
254207;10473893
254234;10474272
254260;10474362
254286;10475323
254312;10475085
254338;10475396
254365;10475720
254391;10475203
254417;10475015
254443;10475105
254470;10475075
254496;10475537
254522;10476099
254548;10476838
254575;10476769
254601;10476301
254627;10475652
254653;10475922
254680;10475917
254705;10475848
254732;10475557
254758;10475878
254784;10475562
254810;10475055
254836;10475725
254863;10475454
254889;10475592
254915;10475301
254941;10475454
254967;10474563
254994;10475524
255020;10475549
255046;10475660
255073;10475291
255098;10475567
255125;10475145
255151;10475020
255177;10475464
255204;10475371
255229;10476312
255256;10476956
255282;10476858
255308;10476434
255335;10475298
255361;10475695
255387;10475429
255413;10475449
255440;10475715
255465;10476759
255492;10477142
255518;10477641
255544;10477558
255570;10477089
255597;10476952
255623;10476523
255649;10476523
255675;10476069
255702;10475607
255727;10475670
255754;10476207
255780;10476700
255807;10476568
255832;10477054
255859;10477528
255885;10477611
255911;10477892
255938;10477656
255964;10477596
255990;10477572
256016;10477478
256042;10477458
256069;10477139
256095;10477631
256121;10477079
256148;10476513
256173;10477380
256200;10477611
256226;10477443
256252;10476976
256278;10476302
256305;10474985
256331;10473057
256357;10473007
256383;10473471
256410;10473624
256435;10473981
256462;10474174
256488;10474666
256515;10475213
256541;10475750
256567;10476301
256593;10476957
256619;10476744
256645;10476641
256671;10477109
256698;10476661
256724;10477147
256750;10476716
256776;10477163
256803;10476287
256829;10476415
256855;10476735
256881;10477020
256907;10476906
256934;10477025
256960;10476902
256986;10476567
257012;10476011
257039;10476045
257064;10476764
257091;10477162
257117;10477676
257144;10477139
257169;10474578
257196;10474636
257222;10475710
257248;10476350
257275;10476971
257301;10476897
257327;10476133
257354;10475685
