=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:43:59 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1066688;10504208
1066740;10505581
1066793;10505935
1066847;10506108
1066900;10506550
1066953;10507328
1067006;10507933
1067060;10507403
1067113;10506939
1067166;10506891
1067219;10508899
1067273;10510508
1067326;10511768
1067379;10512431
1067433;10512694
1067485;10513734
1067539;10514276
1067592;10514758
1067645;10515571
1067699;10515998
1067752;10516613
1067805;10516638
1067858;10516703
1067912;10516964
1067965;10517865
1068018;10517692
1068072;10518543
1068124;10519005
1068178;10520443
1068231;10520734
1068285;10521755
1068338;10522104
1068391;10522395
1068444;10522217
1068497;10522099
1068551;10521793
1068603;10521479
1068657;10521803
1068710;10522167
1068763;10523048
1068817;10522433
1068870;10521424
1068923;10519858
1068977;10518859
1069030;10520172
1069083;10520864
1069136;10521735
1069190;10522787
1069243;10524290
1069296;10525475
1069350;10526052
1069402;10525786
1069456;10526429
1069509;10526085
1069563;10526750
1069615;10527724
1069669;10526868
1069722;10526012
1069776;10526883
1069829;10527400
1069882;10528389
1069935;10528487
1069989;10529137
1070042;10529717
1070095;10530400
1070148;10530686
1070201;10532157
1070255;10531828
1070308;10531767
1070362;10532413
1070414;10532121
1070467;10531921
1070521;10530809
1070574;10530262
1070628;10530395
1070680;10530533
1070734;10531459
1070787;10532955
1070841;10532899
1070894;10533115
1070947;10533027
1071000;10532734
1071053;10532889
1071107;10533657
1071160;10533733
1071214;10533657
1071266;10533575
1071320;10534666
1071373;10535121
1071426;10534722
1071480;10533888
1071532;10534252
1071586;10534230
1071639;10534717
1071692;10535567
1071746;10535470
1071799;10535675
1071852;10534830
1071906;10535557
1071959;10536325
1072012;10535798
1072065;10536167
1072118;10535946
1072172;10536182
1072225;10537161
1072278;10537739
1072332;10537427
1072384;10538050
1072438;10537332
1072491;10541423
1072544;10537661
1072597;10538539
1072651;10539006
1072704;10539606
1072757;10539064
1072811;10538785
1072864;10538853
1072917;10538494
1072971;10538519
1073024;10538100
1073077;10537874
1073131;10537731
1073184;10537332
1073237;10538053
1073290;10538125
1073343;10538976
1073396;10538936
1073450;10539144
1073503;10539503
1073556;10539277
1073610;10539169
1073663;10539533
1073716;10539064
1073769;10539006
1073823;10539069
1073876;10538976
1073929;10539576
1073982;10539538
1074036;10539877
1074089;10540708
1074142;10540133
1074195;10540015
1074249;10540339
1074302;10540359
1074355;10540472
1074408;10540974
1074462;10540552
1074514;10539684
1074568;10540168
1074622;10540319
1074674;10540979
1074728;10541260
1074781;10542121
1074834;10542490
1074888;10543677
1074941;10542781
1074994;10542515
1075047;10541536
1075100;10541451
1075154;10541973
1075207;10542776
1075261;10543446
1075313;10542683
1075367;10542756
1075420;10542633
1075474;10542038
1075526;10542382
1075580;10542470
1075633;10542249
1075686;10542327
1075740;10541225
1075793;10542304
1075846;10543356
1075899;10543697
1075952;10543366
1076006;10543090
1076059;10543170
1076112;10543032
1076166;10543416
1076219;10543647
1076272;10543017
1076326;10542934
1076379;10543278
1076432;10543805
1076485;10544322
1076538;10543469
1076592;10544297
1076645;10543760
1076698;10543943
1076751;10544395
1076804;10544079
1076858;10543878
1076911;10544538
1076964;10544691
1077018;10545976
1077071;10545899
1077124;10545688
1077178;10545919
1077231;10545560
1077284;10546084
1077337;10546667
1077390;10546441
1077444;10545279
1077497;10545469
1077550;10545095
1077604;10545515
1077656;10545632
1077710;10545176
1077763;10544877
1077816;10544872
1077870;10544686
1077923;10544611
1077976;10545750
1078029;10543938
1078083;10545341
1078136;10545404
1078189;10545326
1078243;10545841
1078296;10545715
1078349;10545627
1078402;10546027
1078455;10546436
1078509;10546227
1078562;10545301
1078615;10544930
1078668;10544568
1078721;10545088
1078775;10545392
1078828;10545020
1078882;10545381
1078935;10545530
1078988;10545567
1079041;10545469
1079094;10545442
1079148;10545128
1079201;10545509
1079254;10545515
1079307;10545502
1079360;10544982
1079414;10545296
1079467;10546001
1079521;10545974
1079574;10546139
1079626;10546456
1079680;10545366
1079733;10546225
1079787;10546067
1079840;10546436
1079893;10545597
1079946;10546328
1080000;10546099
1080053;10546825
1080106;10547251
1080159;10547558
1080212;10548090
1080266;10548125
1080319;10547307
1080372;10547292
1080426;10547364
1080479;10548183
1080532;10549161
1080586;10548617
1080639;10548110
1080692;10547911
1080745;10547322
1080798;10546601
1080852;10545934
1080905;10546493
1080958;10546549
1081011;10546089
1081065;10545976
1081118;10546734
1081171;10547359
1081224;10547106
1081277;10547229
1081331;10546850
1081384;10547111
1081438;10546923
1081491;10547286
1081544;10548152
1081597;10548090
1081651;10548413
1081704;10549186
1081757;10549877
1081810;10549611
1081863;10549345
1081917;10549119
1081970;10549350
1082023;10549109
1082076;10547972
1082130;10547824
1082183;10547399
1082236;10547246
1082289;10547942
1082342;10548157
1082396;10547610
1082449;10547374
1082503;10548336
1082555;10548142
1082609;10548280
1082662;10548162
1082715;10548787
1082769;10549365
1082822;10549397
1082875;10549904
1082928;10549924
1082982;10550170
1083035;10548715
1083088;10548823
1083142;10548280
1083195;10548250
1083248;10548213
1083302;10547726
1083354;10547916
1083407;10546626
1083461;10547158
1083514;10547364
1083567;10548039
1083621;10547743
1083674;10547854
1083727;10547613
1083781;10547608
1083834;10547645
1083887;10547671
1083940;10548024
1083993;10548501
1084047;10547947
1084100;10548019
1084153;10547768
1084207;10548449
1084260;10548720
1084313;10548875
1084367;10548777
1084419;10548597
1084473;10549269
1084526;10549417
1084579;10549345
1084632;10549904
1084686;10550640
1084739;10550467
1084792;10549975
1084846;10549944
1084899;10549365
1084952;10549678
1085005;10549699
1085059;10550246
1085112;10549857
1085165;10550200
1085218;10551102
1085271;10549806
1085324;10550451
1085378;10550554
1085431;10548998
1085485;10548930
1085537;10548290
1085591;10549038
1085644;10550077
1085697;10550123
1085751;10549232
1085804;10549970
1085857;10549099
1085910;10548895
1085964;10549274
1086017;10549811
1086070;10549980
1086123;10549990
1086177;10550118
1086230;10550185
1086283;10550138
1086336;10550569
1086390;10550027
1086443;10550042
1086497;10549535
1086549;10550815
1086602;10549944
1086656;10550391
1086709;10549555
1086763;10549535
1086815;10549008
1086869;10549934
1086922;10550133
1086975;10549884
1087029;10550364
1087082;10550846
1087135;10550012
1087189;10550477
1087242;10549520
1087295;10548941
1087348;10549653
1087401;10549970
1087455;10549116
1087508;10548669
1087561;10548956
1087615;10549325
1087667;10549053
1087721;10549633
1087774;10549427
1087828;10549965
1087881;10549628
1087934;10550318
1087987;10550318
1088040;10550180
1088094;10550841
1088147;10549862
1088200;10550093
1088253;10550805
1088307;10550431
1088360;10549626
1088414;10548935
1088467;10548710
1088520;10548321
1088573;10548341
1088626;10549013
1088679;10549197
1088733;10549565
1088786;10549919
1088839;10549350
1088892;10549412
1088946;10549254
1088999;10548966
1089052;10547896
1089105;10549023
1089159;10549929
1089212;10549857
1089265;10550313
1089318;10550770
1089371;10551496
1089425;10551322
1089478;10551470
1089532;10551476
1089585;10550579
1089638;10550221
1089691;10549545
1089744;10548577
1089798;10549023
1089851;10549453
1089904;10549299
1089957;10550529
1090011;10550866
1090064;10550866
1090117;10551476
1090171;10552675
1090224;10552188
1090277;10551634
1090330;10551696
1090384;10551267
1090437;10551553
1090490;10552126
1090543;10552213
1090597;10551639
1090650;10552163
1090703;10551885
1090756;10550913
1090809;10550140
1090863;10551159
1090916;10550820
1090969;10551711
1091023;10553498
1091076;10553338
1091129;10551962
1091182;10551706
1091235;10551676
1091289;10551854
1091342;10550958
1091396;10551789
1091449;10551634
1091502;10552111
1091555;10551159
1091608;10552284
1091661;10552459
1091715;10551993
1091768;10553217
1091822;10553145
1091874;10552954
1091928;10553486
1091981;10552638
1092034;10552414
1092088;10551388
1092141;10551972
1092194;10551854
1092247;10552628
1092300;10552484
1092354;10551922
1092407;10552914
1092460;10552838
1092514;10552776
1092567;10553933
1092620;10553421
1092673;10553345
1092727;10553682
1092780;10552562
1092833;10552316
1092886;10552894
1092940;10552884
1092993;10552831
1093046;10552602
1093099;10552653
1093153;10553047
1093206;10553614
1093259;10553916
1093312;10554834
1093365;10554593
1093419;10554317
1093472;10553406
1093525;10552926
1093579;10553320
1093632;10551649
1093685;10552239
1093739;10552705
1093792;10552971
1093845;10552776
1093898;10554236
1093951;10554551
1094004;10554658
1094058;10554794
1094111;10554603
1094164;10554254
1094218;10554116
1094271;10553431
1094324;10554352
1094378;10553692
1094431;10553564
1094484;10554362
1094537;10554445
1094590;10554151
1094644;10553057
1094697;10553762
1094751;10553993
1094803;10554362
1094856;10554505
1094910;10554525
1094963;10555437
1095016;10554352
1095070;10554475
1095123;10555065
1095176;10553421
1095229;10552203
1095282;10552233
1095336;10551716
1095389;10552085
1095442;10552249
1095496;10552045
1095549;10552587
1095602;10554016
1095656;10553652
1095708;10553835
1095762;10553845
1095815;10553757
1095868;10553777
1095922;10553867
1095975;10553579
1096028;10553855
1096081;10553830
1096135;10553928
1096187;10554234
1096241;10555449
1096294;10554425
1096347;10554736
1096401;10554726
1096454;10554417
1096507;10554495
1096560;10553845
1096614;10553800
1096668;10553948
1096720;10554377
1096774;10554618
1096827;10551561
1096880;10542987
1096933;10527568
1096987;10509913
1097040;10490007
1097093;10473810
1097146;10459886
1097199;10452363
1097253;10441320
1097306;10423848
1097359;10411338
1097413;10400984
1097466;10389385
1097519;10380173
1097573;10373295
1097626;10361582
1097679;10348890
1097732;10337665
1097785;10330925
1097839;10324160
1097892;10312615
1097945;10307494
1097999;10301454
1098052;10295137
1098105;10292656
1098158;10292227
1098211;10288554
1098265;10284483
1098318;10278536
1098371;10271751
