=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:20:16 =~=~=~=~=~=~=~=~=~=~=~=
BME280 test
-- Default Test --

222;37.21;23.48
325;37.23;23.48
428;37.23;23.48
531;37.24;23.48
634;37.25;23.49
737;37.26;23.49
840;37.26;23.49
943;37.27;23.49
1046;37.27;23.49
1149;37.28;23.49
1253;37.28;23.49
1356;37.29;23.49
1459;37.32;23.49
1562;37.29;23.49
1665;37.29;23.49
1768;37.33;23.49
1871;37.33;23.49
1974;37.34;23.49
2077;37.35;23.49
2180;37.35;23.49
2283;37.36;23.49
2386;37.36;23.49
2490;37.37;23.49
2593;37.38;23.49
2696;37.40;23.49
2799;37.40;23.49
2902;37.40;23.49
3005;37.40;23.49
3108;37.41;23.49
3211;37.42;23.49
3314;37.43;23.49
3417;37.45;23.49
3520;37.45;23.49
3623;37.46;23.49
3727;37.46;23.49
3830;37.47;23.49
3933;37.47;23.49
4036;37.49;23.49
4139;37.50;23.49
4242;37.50;23.49
4345;37.51;23.49
4448;37.52;23.49
4551;37.51;23.49
4654;37.54;23.49
4757;37.52;23.49
4860;37.51;23.49
4964;37.55;23.50
5067;37.45;23.49
5170;37.29;23.49
5273;37.07;23.49
5376;36.80;23.49
5479;36.50;23.49
5582;36.17;23.48
5685;35.80;23.49
5788;35.43;23.49
5891;35.05;23.48
5994;34.65;23.48
6097;34.23;23.48
6200;33.84;23.48
6303;33.41;23.47
6406;33.00;23.47
6509;32.17;23.47
6612;31.73;23.47
6716;31.32;23.47
6819;30.92;23.47
6922;30.50;23.47
7025;30.11;23.47
7128;29.71;23.47
7231;29.33;23.47
7334;28.94;23.47
7437;28.55;23.47
7540;28.18;23.47
7643;27.82;23.47
7746;27.44;23.47
7849;27.12;23.46
7953;26.77;23.47
8056;26.45;23.47
8159;25.80;23.46
8262;25.48;23.47
8365;25.17;23.47
8468;24.87;23.46
8571;24.55;23.46
8674;24.28;23.46
8777;24.00;23.46
8880;23.73;23.47
8983;23.46;23.46
9086;23.20;23.47
9190;22.94;23.46
9293;22.70;23.46
9396;22.44;23.46
9499;22.24;23.46
9602;21.98;23.46
9705;21.53;23.46
9808;21.32;23.46
1
9911;21.10;23.46
10014;20.87;23.46
10117;20.68;23.46
10220;20.49;23.45
10323;20.29;23.45
2
10427;20.11;23.45
10530;19.93;23.45
10633;19.75;23.46
10736;19.57;23.45
10839;19.40;23.46
10942;19.20;23.45
11045;19.06;23.45
11148;18.89;23.45
11251;18.74;23.45
11354;18.45;23.45
11457;18.30;23.45
11560;18.15;23.45
11664;18.01;23.45
11767;17.87;23.45
11870;17.75;23.45
11973;17.62;23.45
12076;17.49;23.45
12179;17.35;23.45
12282;17.24;23.45
12385;17.11;23.44
12488;16.98;23.45
12591;16.87;23.45
12694;16.76;23.45
12797;16.67;23.44
12901;16.45;23.45
13004;16.35;23.45
13107;16.24;23.45
13210;16.13;23.45
13313;16.04;23.45
13416;15.94;23.45
13519;15.84;23.45
13622;15.75;23.44
13725;15.66;23.44
13828;15.57;23.44
13931;15.47;23.45
14034;15.40;23.45
14138;15.33;23.45
14241;15.23;23.44
14344;15.14;23.44
14447;15.08;23.44
14550;14.91;23.44
14653;14.84;23.44
14756;14.76;23.44
14859;14.68;23.44
14962;14.60;23.44
15065;14.54;23.44
15168;14.46;23.44
15271;14.40;23.44
15375;14.33;23.44
15478;14.27;23.44
15581;14.21;23.44
15684;14.13;23.44
15787;14.11;23.44
15890;14.03;23.44
15993;13.96;23.44
16096;13.83;23.44
16199;13.78;23.44
16302;13.71;23.44
16405;13.65;23.44
16508;13.60;23.44
16612;13.55;23.44
16715;13.50;23.44
16818;13.44;23.44
16921;13.39;23.44
17024;13.34;23.43
17127;13.28;23.44
17230;13.22;23.44
17333;13.19;23.44
17436;13.13;23.44
17539;13.07;23.44
17642;13.04;23.44
17745;12.93;23.44
17848;12.88;23.44
17951;12.84;23.44
18054;12.79;23.44
18157;12.76;23.43
18260;12.72;23.44
18364;12.67;23.44
18467;12.63;23.44
18570;12.58;23.44
18673;12.53;23.44
18776;12.50;23.44
18879;12.46;23.44
18982;12.41;23.44
19085;12.38;23.43
19188;12.34;23.43
19291;12.25;23.43
19394;12.22;23.44
19497;12.18;23.44
19601;12.14;23.43
19704;12.10;23.43
19807;12.07;23.43
19910;12.04;23.43
20013;12.00;23.43
20116;11.97;23.43
20219;11.93;23.44
20322;11.90;23.43
20425;11.87;23.43
20528;11.82;23.43
20631;11.79;23.43
20734;11.75;23.44
20838;11.72;23.44
20941;11.66;23.44
21044;11.63;23.44
21147;11.60;23.44
21250;11.57;23.44
21353;11.55;23.44
21456;11.50;23.44
21559;11.48;23.44
21662;11.46;23.44
21765;11.43;23.44
21868;11.40;23.44
21971;11.36;23.45
22075;11.36;23.44
22178;11.29;23.44
22281;11.27;23.44
22384;11.25;23.45
22487;11.21;23.44
22590;11.18;23.44
22693;11.15;23.44
22796;11.12;23.45
