=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.04 11:23:17 =~=~=~=~=~=~=~=~=~=~=~=
calibar  ratel ;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2503104;10578473
2503158;10578894
2503212;10578689
2503265;10578515
2503317;10578992
2503371;10578945
2503425;10579359
2503477;10578832
2503531;10578613
2503584;10579155
2503637;10578919
2503690;10579155
2503744;10578832
2503797;10578633
2503851;10578997
2503903;10578475
2503956;10578899
2504010;10578786
2504063;10578601
2504116;10579308
2504170;10579110
2504223;10579354
2504276;10579364
2504330;10579113
2504383;10578852
2504436;10578786
2504489;10578404
2504543;10578551
2504596;10578653
2504649;10579073
2504702;10579175
2504756;10579831
2504809;10578704
2504862;10578510
2504915;10579017
2504968;10578992
2505022;10579273
2505075;10579396
2505128;10579570
2505182;10579366
2505235;10579559
2505288;10579359
2505341;10579339
2505394;10579504
2505448;10580092
2505501;10580031
2505554;10579989
2505608;10579703
2505660;10580220
2505714;10579436
2505768;10579012
2505821;10578990
2505873;10579406
2505927;10579694
2505980;10579170
2506034;10579007
2506087;10578679
2506140;10579364
2506193;10579314
2506247;10579570
2506300;10579431
2506353;10579627
2506406;10579386
2506459;10579344
2506513;10579524
2506566;10579462
2506619;10579898
2506672;10579831
2506726;10579652
2506779;10579723
2506832;10579826
2506886;10579580
2506938;10580051
2506992;10579841
2507045;10580230
2507098;10580056
2507152;10579554
2507205;10579494
2507259;10579785
2507311;10579795
2507365;10579672
2507418;10580066
2507471;10580722
2507525;10580636
2507578;10580338
2507631;10580001
2507684;10580255
2507738;10579949
2507791;10579883
2507844;10579760
2507897;10579750
2507951;10580194
2508004;10580646
2508057;10580737
2508110;10580262
2508163;10580368
2508217;10580082
2508270;10579607
2508324;10579570
2508377;10579755
2508430;10580912
2508483;10580845
2508536;10580671
2508589;10580973
2508643;10580538
2508696;10580375
2508750;10579770
2508802;10580077
2508856;10579743
2508909;10579339
2508962;10579386
2509016;10579549
2509069;10579800
2509122;10580092
2509175;10580353
2509229;10579908
2509282;10580681
2509335;10580897
2509388;10580307
2509442;10580235
2509495;10580046
2509548;10579878
2509601;10579996
2509655;10580139
2509707;10580097
2509761;10580358
2509814;10580184
2509868;10580450
2509921;10580614
2509974;10581259
2510027;10580491
2510081;10580629
2510134;10580358
2510187;10580107
2510241;10580917
2510294;10580553
2510347;10580671
2510400;10580631
2510453;10581126
2510506;10580528
2510560;10581239
2510613;10580850
2510666;10580927
2510720;10580651
2510773;10581080
2510826;10580978
2510880;10581347
2510933;10581326
2510985;10581060
2511039;10581480
2511092;10581608
2511146;10581603
2511199;10581331
2511252;10581638
2511305;10581163
2511359;10581301
2511412;10581219
2511466;10581229
2511518;10581301
2511572;10581153
2511625;10581121
2511678;10580754
2511731;10580481
2511785;10580937
2511838;10580983
2511891;10581116
2511944;10581251
2511998;10581188
2512051;10581587
2512104;10581005
2512157;10581557
2512211;10581424
2512264;10581389
2512317;10582145
2512370;10581818
2512423;10581459
2512477;10582386
2512530;10580814
2512584;10581439
2512637;10581623
2512690;10581296
2512743;10580932
2512797;10574537
2512849;10547399
2512903;10517062
2512956;10488973
2513009;10469014
2513063;10455151
2513116;10441390
2513169;10426112
2513222;10412047
2513276;10397473
2513328;10387696
2513382;10379907
2513435;10367500
2513489;10360795
2513542;10354005
2513595;10347590
2513648;10343814
2513702;10334282
2513755;10322969
2513808;10313309
2513861;10308701
2513915;10304299
2513968;10300006
2514021;10296678
2514075;10293094
2514128;10291454
2514180;10287811
2514234;10281357
2514287;10283025
2514341;10283187
2514394;10283424
2514447;10281465
2514500;10276595
2514554;10271392
2514607;10268260
2514660;10265754
2514713;10263790
2514767;10261249
2514820;10258881
2514873;10258724
2514926;10258907
2514980;10257282
2515033;10256567
2515086;10255282
2515139;10254977
2515192;10253633
2515246;10252314
2515299;10251737
2515352;10251643
2515406;10250757
2515459;10250772
2515512;10250723
2515566;10251079
2515619;10251437
2515672;10250684
2515725;10250117
2515779;10249927
2515832;10248897
2515885;10248636
2515938;10247735
2515992;10247646
2516044;10246401
2516098;10245711
2516151;10245406
2516205;10246213
2516257;10244820
2516311;10244982
2516364;10244840
2516418;10243683
2516471;10242722
2516524;10240960
2516577;10239863
2516631;10239208
2516684;10238602
2516737;10237209
2516790;10237051
2516844;10236775
2516896;10236258
2516950;10234145
2517003;10232291
2517056;10232014
2517110;10231803
2517163;10230272
2517216;10230114
2517270;10228633
2517322;10229386
2517376;10230070
2517429;10230331
2517482;10229932
2517536;10228509
2517589;10226298
2517643;10223674
2517696;10222464
2517749;10220549
2517802;10219740
2517856;10218154
2517908;10217810
2517961;10217063
2518015;10215754
2518068;10216250
2518121;10215409
2518175;10216025
2518228;10214685
2518281;10215950
2518334;10215443
2518388;10215315
2518441;10215167
2518494;10215477
2518547;10215103
2518601;10215409
2518654;10214955
2518708;10214975
2518760;10215192
2518813;10215103
2518867;10214887
2518920;10215714
2518974;10215049
2519027;10215182
2519080;10215772
2519134;10215256
2519186;10216329
2519240;10216561
2519293;10216994
2519346;10216704
2519399;10216404
2519453;10215634
2519506;10214764
2519559;10213857
2519613;10213207
2519665;10212458
2519719;10212980
2519772;10212188
2519826;10212217
2519879;10210937
2519932;10209589
2519985;10208367
2520038;10206690
2520092;10204626
2520145;10204193
2520199;10203060
2520252;10202153
2520304;10202902
2520358;10202399
2520411;10202522
2520465;10202001
2520518;10200769
2520571;10200845
2520624;10200372
2520677;10200546
2520731;10200920
2520784;10200531
2520837;10200998
2520890;10201003
2520944;10202425
2520997;10202671
2521050;10202527
2521104;10202553
2521156;10203626
2521210;10202287
2521263;10201242
2521316;10200333
2521370;10199664
2521423;10197452
2521477;10196704
2521530;10196044
2521582;10195926
2521636;10197098
2521690;10196375
2521742;10195960
2521796;10196812
2521849;10196984
2521903;10197619
2521955;10198802
2522009;10197955
2522062;10197866
2522116;10197482
2522169;10197093
2522221;10196119
2522275;10196266
2522328;10195429
2522381;10195114
2522435;10194469
2522488;10194586
2522541;10194291
2522595;10193764
2522648;10193656
2522701;10193453
2522754;10194139
2522807;10194040
2522861;10194183
2522914;10193243
2522967;10192185
2523021;10191771
2523074;10190777
2523127;10189634
2523180;10188777
2523234;10187990
2523286;10187758
2523340;10188050
2523393;10188202
2523447;10188265
2523500;10188787
2523553;10188738
2523606;10189112
2523659;10188448
2523713;10188231
2523766;10188142
2523820;10187625
2523873;10188009
2523925;10187221
2523979;10186758
2524033;10186246
2524085;10186669
2524139;10185439
2524192;10184814
2524245;10183535
2524299;10183086
2524352;10182067
2524405;10181205
2524459;10181048
2524512;10181683
2524565;10181703
2524618;10182485
2524671;10183190
2524725;10184485
2524778;10185292
2524832;10185355
2524884;10185749
2524937;10185394
2524991;10184724
2525044;10184888
2525097;10182343
2525150;10181821
2525204;10180743
2525257;10180082
2525310;10180329
2525363;10179831
2525417;10179867
2525470;10180009
2525523;10179068
2525576;10178729
2525630;10179447
2525683;10178703
2525736;10179210
2525789;10179087
2525843;10179270
2525896;10179270
2525950;10178862
2526003;10178522
2526056;10177345
2526109;10177537
2526162;10176428
2526216;10176247
2526269;10175589
2526322;10174401
2526375;10174068
2526428;10173300
2526482;10172826
2526535;10172013
2526589;10171989
2526642;10172054
2526695;10172167
2526748;10172254
2526801;10171762
2526855;10171520
2526908;10170822
2526961;10171093
2527014;10170694
2527068;10170610
2527121;10170911
2527174;10171117
2527227;10171196
2527280;10170551
2527334;10170018
2527387;10169571
2527441;10169748
2527494;10169586
2527546;10169281
2527600;10169182
2527653;10168967
2527707;10169832
2527760;10170704
2527813;10169339
2527866;10168208
2527919;10167254
2527973;10165486
2528026;10164117
2528080;10163323
2528133;10164564
2528186;10163687
2528239;10164516
2528292;10165747
2528346;10165977
2528399;10166515
2528453;10166421
2528505;10167066
2528558;10167022
2528612;10165451
2528665;10165255
2528718;10165762
2528772;10165436
2528825;10165446
2528878;10164697
2528931;10164970
2528985;10165071
2529038;10165554
2529091;10165199
2529145;10165767
2529197;10166313
2529251;10168337
2529304;10167346
2529357;10167513
2529411;10166598
2529464;10166436
2529517;10166347
2529570;10165742
2529624;10166293
2529677;10165629
2529730;10165875
2529783;10164781
2529837;10163840
2529890;10163989
2529943;10163072
2529997;10163569
2530050;10162605
2530103;10162028
2530157;10161958
2530209;10161451
2530262;10160188
2530316;10160364
2530369;10159451
2530422;10159395
2530476;10159627
2530529;10159507
2530583;10159716
2530636;10159055
2530689;10157688
2530742;10157903
2530795;10157410
2530848;10156850
