=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:47:11 =~=~=~=~=~=~=~=~=~=~=~=
calibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
1898334;10419181
1898339;10527988
1898363;10417984
1898390;10419216
1898416;10419372
1898442;10419367
1898469;10419116
1898494;10419855
1898521;10419472
1898547;10419487
1898573;10419402
1898600;10419766
1898625;10419323
1898652;10419319
1898678;10419246
1898704;10418980
1898731;10418437
1898756;10418250
1898783;10418275
1898809;10418639
1898835;10418796
1898862;10418358
1898888;10418757
1898914;10419033
1898941;10419437
1898966;10419206
1898993;10417940
1899019;10417846
1899045;10418117
1899071;10426088
1899097;10418555
1899124;10418729
1899150;10418136
1899176;10418561
1899203;10419151
1899228;10419126
1899255;10419126
1899281;10418747
1899307;10419166
1899334;10419682
1899359;10418945
1899386;10418826
1899412;10418457
1899438;10418581
1899464;10418373
1899491;10418432
1899516;10418063
1899543;10417610
1899570;10417708
1899596;10417974
1899622;10418290
1899648;10419107
1899674;10418403
1899700;10418658
1899727;10418857
1899753;10419520
1899779;10418408
1899805;10419008
1899831;10418624
1899858;10418930
1899884;10418974
1899910;10418609
1899937;10418747
1899962;10419102
1899989;10419259
1900015;10418895
1900041;10419289
1900068;10418732
1900093;10418348
1900120;10418954
1900147;10418975
1900172;10419733
1900199;10419604
1900225;10419387
1900251;10419604
1900277;10419500
1900303;10418925
1900330;10418959
1900355;10419442
1900382;10419279
1900408;10418860
1900434;10418669
1900461;10420039
1900487;10419088
1900513;10419146
1900539;10418550
1900565;10419013
1900592;10418546
1900618;10418324
1900644;10418920
1900671;10420022
1900696;10419500
1900723;10419062
1900749;10419083
1900776;10419274
1900801;10419023
1900828;10419256
1900854;10419246
1900880;10419348
1900907;10419279
1900932;10419747
1900959;10419264
1900985;10419929
1901011;10419278
1901037;10419540
1901064;10419836
1901090;10420234
1901116;10419732
1901142;10419565
1901169;10419436
1901195;10418885
1901221;10418576
1901247;10418659
1901273;10419397
1901300;10419402
1901326;10419078
1901352;10419628
1901378;10419599
1901404;10420027
1901430;10419334
1901457;10419525
1901483;10419166
1901509;10419358
1901536;10418975
1901561;10418816
1901588;10418983
1901615;10419427
1901640;10419860
1901667;10419324
1901693;10418865
1901719;10419727
1901745;10419319
1901772;10419338
1901797;10418708
1901824;10419482
1901850;10419003
1901876;10419594
1901903;10419191
1901928;10419411
1901955;10419068
1901981;10419235
1902007;10420136
1902034;10419550
1902059;10419491
1902086;10419653
1902113;10419628
1902138;10419530
1902165;10419244
1902191;10419225
1902217;10419156
1902243;10419141
1902270;10418807
1902296;10418909
1902322;10418777
1902348;10418807
1902374;10418688
1902401;10418974
1902427;10418511
1902453;10418466
1902480;10419264
1902505;10419118
1902532;10418668
1902558;10418817
1902584;10419495
1902611;10419259
1902636;10419190
1902663;10419555
1902689;10418590
1902715;10418014
1902742;10418270
1902767;10418457
1902794;10418526
1902820;10417999
1902846;10419072
1902873;10418727
1902898;10418777
1902925;10418664
1902951;10419131
1902977;10418452
1903004;10418659
1903029;10418535
1903056;10419136
1903083;10418797
1903108;10418806
1903135;10419924
1903161;10419289
1903187;10419166
1903213;10419363
1903239;10418939
1903266;10419171
1903292;10419206
1903318;10419181
1903344;10419505
1903371;10419003
1903397;10419048
1903423;10418669
1903449;10418683
1903476;10418857
1903501;10419063
1903528;10418988
1903554;10419377
1903580;10419196
1903607;10418412
1903632;10418353
1903659;10418142
1903686;10418122
1903711;10418043
1903738;10418325
1903763;10418309
1903790;10418240
1903816;10417964
1903842;10418496
1903869;10418462
1903895;10418358
1903921;10418581
1903948;10417817
1903973;10417753
1904000;10418703
1904026;10418940
1904052;10418929
1904079;10418782
1904104;10418831
1904131;10418915
1904157;10418978
1904183;10418599
1904210;10419392
1904235;10418757
1904262;10418521
1904288;10418900
1904315;10418679
1904340;10419126
1904367;10419023
1904393;10418944
1904419;10418988
1904445;10418235
1904472;10418458
1904498;10418761
1904524;10418299
1904550;10418792
1904576;10418767
1904603;10418452
1904629;10418215
1904655;10418629
1904681;10418225
1904708;10418531
1904734;10417748
1904760;10418402
1904786;10418654
1904812;10418772
1904839;10417905
1904865;10418235
1904891;10418167
1904917;10417462
1904944;10417507
1904970;10417900
1904996;10417994
1905022;10417984
1905048;10418177
1905074;10418156
1905101;10418064
1905127;10417856
1905153;10418064
1905179;10418068
1905205;10418117
1905232;10417733
1905258;10418265
1905284;10418417
1905310;10417610
1905337;10417866
1905363;10417777
1905389;10417758
1905415;10418004
1905442;10418265
1905468;10417905
1905494;10417768
1905520;10418058
1905546;10417876
1905573;10417949
1905599;10418714
1905625;10417772
1905651;10418172
1905678;10418043
1905703;10418049
1905730;10418486
1905756;10417630
1905782;10417896
1905809;10418122
1905835;10418383
1905861;10418171
1905887;10418413
1905914;10417979
1905939;10418466
1905966;10417655
1905992;10417890
1906018;10417876
1906044;10417304
1906071;10417670
1906097;10417477
1906123;10416640
1906149;10416769
1906176;10417162
1906201;10417817
1906228;10418082
1906254;10417585
1906280;10417256
1906307;10427472
1906333;10417093
1906359;10417152
1906385;10417674
1906412;10417467
1906438;10417373
1906464;10417497
1906490;10418270
1906516;10417669
1906543;10417871
1906568;10417698
1906595;10417600
1906622;10417296
1906647;10417610
1906674;10417083
1906700;10417083
1906726;10416674
1906753;10417585
1906778;10416822
1906805;10417457
1906831;10417871
1906857;10417216
1906884;10417216
1906909;10417688
1906936;10418147
1906962;10417748
1906988;10417482
1907015;10418068
1907040;10417005
1907067;10416960
1907093;10417098
1907119;10416661
1907146;10417236
1907171;10417439
1907198;10417295
1907225;10417556
1907250;10417570
1907277;10417600
1907303;10417547
1907329;10417748
1907355;10417552
1907382;10417836
1907407;10417404
1907434;10417619
1907460;10417251
1907486;10417640
1907513;10418516
1907538;10417685
1907565;10417930
1907592;10417911
1907617;10417625
1907644;10417896
1907670;10418137
1907696;10417349
1907722;10417176
1907749;10417413
1907775;10417296
1907801;10418186
1907827;10417758
1907854;10418107
1907880;10417910
1907905;10417665
1907932;10417447
1907958;10417821
1907985;10417236
1908010;10417354
1908037;10417998
1908063;10417567
1908089;10417521
1908116;10418068
1908142;10417620
1908168;10418225
1908194;10417713
1908220;10417665
1908247;10418220
1908273;10417664
1908299;10417951
1908325;10417619
1908351;10418044
1908378;10417585
1908404;10417570
1908430;10418137
1908456;10417841
1908482;10417595
1908509;10416901
1908535;10417537
1908562;10417078
1908587;10417984
1908614;10417191
1908640;10417881
1908666;10418452
1908692;10417758
1908718;10417743
1908745;10417585
1908771;10417880
1908797;10417896
1908823;10418152
1908850;10417698
1908876;10417773
1908902;10417600
1908928;10417930
1908954;10417802
1908981;10417630
1909007;10417921
1909033;10417532
1909059;10418521
1909086;10417551
1909111;10419580
1909138;10418102
1909164;10418462
1909190;10418240
1909217;10418255
1909242;10417984
1909269;10417600
1909295;10417747
1909321;10417605
1909348;10417113
1909373;10417088
1909400;10417231
1909426;10417752
1909452;10417133
1909478;10417158
1909505;10416832
1909531;10417527
1909557;10417551
1909584;10417434
1909610;10417447
1909636;10417511
1909662;10417439
1909688;10417043
1909714;10417157
1909741;10417015
1909767;10417462
1909794;10417654
1909819;10417700
1909846;10417065
1909872;10417575
1909898;10417477
1909924;10417719
1909951;10417378
1909977;10417241
1910003;10417349
1910029;10417231
1910055;10416778
1910082;10417271
1910108;10417546
1910134;10417314
1910160;10417128
1910187;10417226
1910213;10417132
1910239;10417512
1910265;10417251
1910291;10417432
1910317;10417043
1910344;10417168
1910370;10417610
1910397;10417861
1910422;10417866
1910449;10417577
1910475;10417838
1910501;10418018
1910527;10417826
1910553;10417020
1910580;10417118
1910606;10417841
1910632;10417413
1910658;10418044
1910684;10417477
1910711;10418077
1910737;10417472
1910763;10417280
1910790;10417999
1910815;10417290
1910842;10417261
1910868;10417418
1910894;10417452
1910920;10417178
1910947;10417245
1910973;10417286
1910999;10417373
1911026;10417685
1911051;10417373
1911078;10417778
1911104;10417654
1911130;10417610
1911156;10417778
1911183;10417906
1911209;10417321
1911235;10417802
1911262;10417162
1911287;10417572
1911314;10417221
1911340;10417202
1911366;10418063
1911393;10417708
1911418;10417432
1911445;10417846
1911471;10418079
1911497;10418299
1911524;10418049
1911549;10418417
1911576;10417763
1911602;10417851
1911628;10417920
1911655;10418428
1911681;10417945
1911707;10418152
1911733;10418466
1911760;10417788
1911785;10417472
1911812;10418408
1911838;10417226
1911865;10417782
1911890;10417537
1911917;10417231
1911943;10417408
1911969;10418358
1911996;10418054
1912021;10417546
1912048;10417925
1912074;10417876
1912100;10417969
1912126;10417851
1912153;10418137
1912179;10417782
1912205;10418044
1912231;10417821
1912258;10417723
1912283;10418432
1912310;10417733
1912336;10418177
1912363;10418338
1912388;10417118
1912415;10417777
1912441;10417783
1912467;10417472
1912493;10417659
1912520;10417221
1912546;10417959
1912572;10417502
1912598;10417261
1912625;10417531
1912651;10417635
1912677;10417497
1912704;10417718
1912729;10417531
1912756;10417969
1912781;10417753
1912808;10417871
1912834;10417531
1912860;10417532
1912887;10417639
1912913;10417098
1912939;10416945
1912965;10416817
1912992;10417108
1913018;10417334
1913044;10417409
1913070;10417309
1913096;10417398
1913123;10417625
1913149;10417655
1913175;10417826
1913201;10418486
1913227;10417758
1913254;10416979
1913280;10417010
1913306;10417221
1913332;10417304
1913359;10417394
1913385;10417186
1913411;10417147
1913437;10416759
1913463;10417138
1913490;10417565
1913516;10416620
1913542;10417793
1913568;10416882
1913595;10417035
1913620;10416630
1913647;10417655
1913673;10416915
1913699;10416655
1913726;10416749
1913752;10416601
1913778;10417211
1913804;10416787
1913831;10417319
1913856;10417301
1913883;10417236
1913909;10416774
