=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:49:38 =~=~=~=~=~=~=~=~=~=~=~=
calubr   ibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2089419;10127068
2089445;10128164
2089472;10128138
2089497;10127930
2089524;10128092
2089550;10128488
2089576;10128514
2089602;10127522
2089628;10127109
2089655;10127589
2089681;10126594
2089708;10126442
2089733;10125522
2089760;10125331
2089786;10124891
2089812;10124293
2089838;10124068
2089865;10124870
2089891;10124172
2089917;10122515
2089943;10122711
2089969;10122578
2089996;10122411
2090022;10121856
2090048;10122119
2090074;10121964
2090101;10123133
2090126;10123037
2090153;10123889
2090179;10124295
2090205;10125227
2090232;10125577
2090257;10126493
2090284;10127130
2090311;10128181
2090336;10157019
2090363;10130618
2090389;10130898
2090415;10132557
2090441;10132676
2090467;10133154
2090494;10133301
2090520;10133577
2090546;10134074
2090573;10134548
2090598;10133833
2090625;10133511
2090651;10133533
2090677;10133079
2090703;10133495
2090730;10133896
2090756;10133543
2090782;10132946
2090808;10133154
2090834;10133405
2090861;10133504
2090887;10133437
2090913;10132659
2090940;10132789
2090965;10132004
2090992;10131570
2091018;10130604
2091044;10131012
2091070;10130529
2091097;10130391
2091122;10130372
2091149;10130111
2091175;10130120
2091201;10130505
2091228;10131591
2091253;10131944
2091280;10133084
2091307;10133335
2091332;10133036
2091359;10133258
2091385;10133582
2091411;10134069
2091437;10134705
2091463;10133149
2091490;10134231
2091516;10133405
2091542;10134043
2091569;10133941
2091594;10134173
2091621;10134523
2091647;10135098
2091674;10134767
2091699;10135547
2091726;10136052
2091752;10135794
2091778;10136378
2091804;10137465
2091831;10137142
2091856;10136487
2091883;10136866
2091909;10136753
2091936;10135625
2091962;10135448
2091988;10135540
2092014;10135709
2092041;10134994
2092066;10135296
2092093;10133714
2092119;10133383
2092145;10133405
2092172;10133352
2092197;10131809
2092224;10132297
2092250;10131495
2092276;10130765
2092302;10131145
2092329;10130181
2092355;10129253
2092381;10129263
2092407;10129128
2092434;10129169
2092459;10128123
2092486;10129111
2092513;10128485
2092538;10127872
2092565;10127688
2092591;10128005
2092617;10128391
2092643;10128939
2092670;10128727
2092696;10129787
2092722;10129437
2092748;10129396
2092774;10130125
2092800;10130872
2092827;10131987
2092853;10131992
2092879;10133405
2092906;10133654
2092931;10134359
2092958;10134289
2092984;10134514
2093010;10134321
2093037;10133640
2093062;10133243
2093089;10132908
2093115;10133280
2093141;10132908
2093168;10132584
2093194;10132050
2093220;10132770
2093246;10131060
2093272;10130661
2093299;10130265
2093325;10130268
2093351;10129299
2093377;10127898
2093404;10127720
2093430;10128708
2093456;10127633
2093482;10127655
2093508;10126986
2093535;10126319
2093560;10126408
2093587;10126130
2093614;10126186
2093639;10126181
2093666;10125961
2093692;10125841
2093718;10126065
2093744;10125148
2093770;10125430
2093797;10125517
2093822;10124821
2093849;10124679
2093876;10125198
2093901;10125517
2093928;10124887
2093954;10124503
2093980;10123476
2094007;10123602
2094032;10123645
2094059;10124307
2094085;10123189
2094111;10123368
2094138;10123095
2094164;10124474
2094190;10123710
2094216;10124203
2094242;10123563
2094269;10124128
2094295;10124512
2094321;10123604
2094347;10124609
2094374;10126121
2094399;10125406
2094426;10126029
2094452;10126114
2094478;10126082
2094504;10125483
2094531;10126355
2094557;10127732
2094583;10127901
2094609;10128152
2094635;10128898
2094662;10129901
2094688;10129471
2094714;10129780
2094740;10130106
2094767;10130205
2094793;10130558
2094819;10130425
2094845;10130529
2094872;10129872
2094898;10128845
2094924;10128319
2094950;10128273
2094976;10128171
2095003;10127304
2095029;10126758
2095055;10125705
2095081;10125925
2095108;10125819
2095134;10124527
2095160;10124474
2095186;10124232
2095212;10124725
2095239;10123790
2095264;10124445
2095291;10124660
2095317;10124809
2095344;10124290
2095369;10125000
2095396;10124194
2095422;10125114
2095448;10125558
2095475;10125998
2095501;10125804
2095527;10127348
2095553;10127024
2095579;10127299
2095606;10127693
2095632;10127138
2095658;10128167
2095684;10128220
2095710;10128768
2095737;10128481
2095763;10129978
2095789;10129241
2095815;10129490
2095842;10129072
2095868;10129002
2095894;10129451
2095920;10129000
2095947;10128372
2095972;10128664
2095999;10128034
2096025;10128403
2096051;10127749
2096077;10127275
2096104;10128019
2096130;10127816
2096156;10127171
2096182;10126802
2096209;10126915
2096235;10127019
2096261;10127118
2096287;10127650
2096313;10129002
2096340;10130048
2096366;10130367
2096392;10131951
2096418;10133652
2096444;10135374
2096471;10137004
2096497;10138426
2096523;10138465
2096550;10139269
2096575;10140764
2096602;10140774
2096628;10141057
2096654;10140588
2096680;10140448
2096707;10141738
2096733;10140624
2096759;10140284
2096785;10139554
2096812;10139194
2096837;10138535
2096864;10137422
2096890;10137043
2096916;10136649
2096942;10135188
2096969;10135241
2096995;10134601
2097021;10133376
2097048;10132108
2097073;10131893
2097100;10131466
2097126;10131430
2097152;10131277
2097178;10131125
2097205;10130715
2097231;10130314
2097257;10130850
2097284;10129430
2097309;10130258
2097336;10129654
2097362;10130171
2097388;10129604
2097415;10128993
2097441;10129210
2097467;10129348
2097493;10128879
2097520;10129227
2097545;10129287
2097572;10129229
2097598;10129195
2097624;10129285
2097650;10129908
2097677;10130707
2097703;10131454
2097729;10131678
2097755;10132857
2097781;10133755
2097808;10134473
2097834;10134147
2097860;10134792
2097886;10135951
2097912;10135284
2097939;10135458
2097964;10135166
2097991;10135502
2098018;10135888
2098043;10136043
2098070;10135639
2098096;10135444
2098122;10135477
2098148;10135772
2098175;10135654
2098200;10136941
2098227;10135564
2098253;10135586
2098279;10135777
2098306;10136262
2098332;10136072
2098358;10136680
2098385;10135678
2098410;10136605
2098437;10136492
2098463;10136625
2098489;10137388
2098516;10136441
2098541;10136871
2098568;10137231
2098594;10136939
2098621;10138402
2098647;10137733
2098672;10138465
2098699;10138617
2098725;10138224
2098752;10138873
2098777;10139023
2098804;10139141
2098830;10138888
2098857;10139359
2098882;10139224
2098908;10139426
2098935;10138682
2098961;10138977
2098987;10137714
2099014;10137166
2099040;10136608
2099066;10136816
2099092;10136791
2099119;10136424
2099144;10136091
2099171;10135301
2099197;10135226
2099224;10135178
2099250;10134823
2099275;10134796
2099302;10134330
2099328;10135458
2099355;10134277
2099380;10134487
2099407;10133990
2099433;10134202
2099459;10134016
2099485;10134388
2099512;10133519
2099538;10133429
2099564;10133434
2099590;10133335
2099616;10133608
2099643;10133792
2099669;10134883
2099695;10135364
2099721;10135939
2099747;10137207
2099774;10138332
2099800;10140071
2099826;10138608
2099852;10139412
2099879;10138639
2099905;10139806
2099931;10139533
2099957;10139383
2099984;10139115
2100010;10139141
2100036;10138313
2100062;10138033
2100088;10138139
2100114;10137835
2100141;10136294
2100167;10136675
2100193;10135707
2100219;10135226
2100246;10134956
2100272;10134618
2100298;10134441
2100325;10133963
2100350;10133478
2100377;10133828
2100403;10133415
2100429;10133951
2100455;10134591
2100482;10133961
2100508;10133647
2100534;10133724
2100560;10134311
2100587;10134009
2100612;10134173
2100639;10133941
2100665;10133932
2100691;10134439
2100718;10134680
2100743;10134857
2100770;10135388
2100796;10134562
2100822;10134586
2100849;10134060
2100875;10133690
2100901;10133420
2100927;10132002
2100954;10132519
2100979;10131355
2101006;10131277
2101032;10131314
2101058;10130790
2101084;10130889
2101111;10130471
2101137;10131159
2101163;10131181
2101190;10131198
2101215;10130765
2101242;10130712
2101268;10131869
2101294;10131439
2101320;10132968
2101347;10132434
2101373;10133420
2101399;10135246
2101425;10133739
2101451;10133504
2101478;10134330
2101504;10134833
2101530;10134685
2101556;10135497
2101583;10135581
2101609;10135726
2101635;10135644
2101661;10136076
2101687;10136084
2101714;10136055
2101740;10136890
2101766;10136502
2101793;10136854
2101818;10135738
2101845;10135429
2101871;10136605
2101897;10135712
2101923;10136088
2101949;10135842
2101976;10134915
2102002;10135369
2102028;10134644
2102054;10134910
2102081;10134685
2102107;10134946
2102133;10134429
2102159;10135122
2102185;10135531
2102212;10134883
2102238;10135482
2102264;10135180
2102291;10135794
2102316;10134905
2102343;10134936
2102369;10135625
2102395;10135207
2102421;10134985
2102448;10135217
2102474;10134557
2102500;10135260
2102526;10135103
2102553;10135246
2102578;10134932
2102605;10134118
2102631;10135064
2102657;10134458
2102684;10134135
2102709;10133748
2102736;10134098
2102763;10134577
2102788;10133637
2102815;10133543
2102841;10133714
2102867;10133524
2102894;10133507
2102919;10134263
2102946;10133649
2102972;10134651
2102998;10134453
2103024;10134026
2103051;10133398
2103076;10134354
2103103;10133386
2103129;10133932
2103155;10133739
2103182;10133751
2103208;10132642
2103234;10131671
2103260;10131321
2103287;10131584
2103313;10130835
2103339;10130567
2103365;10130654
2103392;10129963
2103417;10130637
2103444;10130220
2103470;10130666
2103496;10130210
2103523;10130169
2103548;10130712
2103575;10131524
2103601;10131509
2103627;10132647
2103654;10133301
2103679;10134060
2103706;10134321
2103733;10134866
2103758;10136320
2103785;10135555
2103810;10136306
2103837;10135973
2103864;10137315
2103889;10136717
2103916;10137789
2103942;10137154
2103968;10138286
2103994;10137632
2104021;10138767
2104047;10137840
2104073;10138156
2104099;10137724
2104126;10139646
2104152;10139383
2104178;10139996
2104204;10140897
2104230;10141371
2104256;10140977
2104283;10141583
2104309;10141943
2104335;10143131
2104362;10142759
2104387;10142750
2104414;10143242
2104440;10142689
2104466;10143354
2104493;10142923
2104518;10143718
2104545;10143882
2104571;10143771
2104597;10143556
2104623;10143996
2104650;10143390
2104676;10143387
2104703;10142467
2104728;10142542
2104755;10142513
2104781;10142793
2104807;10143281
2104833;10142537
2104860;10142967
2104885;10142735
2104912;10142827
2104938;10142513
2104965;10142832
2104990;10143354
2105017;10142793
2105043;10142827
2105069;10142685
2105095;10143088
2105122;10142849
2105148;10142641
2105174;10142735
2105200;10142472
2105226;10142247
2105253;10142291
2105279;10142834
2105305;10141680
2105332;10141651
2105358;10141380
2105384;10141199
2105410;10140706
2105436;10221675
2105463;10140146
2105488;10141049
2105515;10140702
2105541;10142750
2105567;10144752
2105594;10153582
2105619;10160818
2105646;10165110
2105673;10170769
2105698;10175116
2105725;10179176
2105751;10181328
2105777;10185173
2105803;10189624
2105829;10194008
2105856;10198083
2105882;10201208
2105908;10202194
2105934;10205301
2105960;10208702
2105986;10211995
2106013;10215315
2106039;10218008
2106066;10220204
2106092;10223315
2106118;10225909
2106144;10228633
2106170;10230217
2106196;10232823
2106223;10235362
2106249;10238337
2106275;10239783
2106301;10241152
2106327;10242920
2106354;10245726
2106380;10248006
2106406;10248955
2106432;10250674
2106459;10252324
2106484;10252708
2106511;10254130
2106537;10255548
2106563;10258084
2106590;10259147
2106616;10260920
2106642;10262219
2106668;10262899
2106695;10263603
2106721;10264376
2106747;10265218
2106773;10266458
2106799;10267635
2106826;10268417
2106852;10269122
2106878;10270831
2106904;10270982
2106930;10271962
2106957;10273297
2106983;10273538
2107009;10274350
2107035;10275296
2107062;10276054
2107088;10276089
2107114;10276610
2107140;10277669
2107166;10278073
2107192;10278013
2107219;10278929
2107245;10278737
2107271;10279146
2107297;10280470
2107324;10280751
2107350;10280987
2107376;10281189
2107402;10282085
2107429;10282617
2107454;10282878
2107481;10282631
2107507;10282326
2107533;10282632
2107560;10282789
2107585;10282740
2107612;10283105
2107639;10283489
2107664;10284113
2107691;10285915
2107717;10285458
2107743;10285994
2107770;10285994
2107795;10285517
2107822;10286452
2107848;10285665
2107874;10286314
2107901;10287186
2107926;10287407
2107953;10287781
2107979;10288382
2108005;10288544
2108032;10288225
2108057;10289022
2108084;10289160
2108110;10289273
2108136;10289549
2108163;10290194
2108188;10290435
2108215;10290504
2108242;10290667
2108267;10291533
2108294;10290218
2108319;10290735
2108346;10290489
2108373;10290676
2108398;10291499
2108425;10291887
2108451;10291464
2108477;10292173
2108503;10291937
2108530;10293271
2108555;10292503
2108582;10292178
2108608;10292213
2108635;10292301
2108660;10291809
2108687;10291784
2108713;10292592
2108739;10292857
2108766;10292429
2108792;10293862
2108818;10293556
2108844;10293394
2108871;10293862
2108896;10294004
2108923;10294576
2108949;10294935
2108975;10294649
2109002;10294364
2109027;10295457
2109054;10294866
2109080;10295668
2109106;10295974
2109133;10295137
2109158;10295609
2109185;10295551
2109211;10296008
2109238;10296304
2109263;10296363
2109290;10296392
2109316;10296781
2109342;10296028
2109368;10296653
2109395;10296368
2109421;10296501
2109447;10296948
2109473;10296712
2109499;10298243
2109526;10296333
2109552;10296486
2109578;10296190
2109605;10296924
2109630;10297259
2109657;10297923
2109683;10296953
2109710;10297278
2109735;10297732
2109762;10298268
2109788;10298283
2109814;10298170
2109840;10298908
2109867;10298736
2109893;10298504
2109919;10298731
2109945;10298952
2109971;10299366
2109998;10299553
2110024;10299292
2110050;10299588
2110076;10299819
2110102;10299189
2110129;10299194
2110155;10299179
2110181;10299312
2110207;10300188
2110234;10299927
2110260;10299952
2110286;10300311
2110312;10300419
2110338;10300493
2110364;10300257
2110391;10300173
2110417;10300553
2110443;10301443
2110470;10300922
2110495;10301414
2110522;10301345
2110548;10301542
2110574;10300533
2110601;10300725
2110626;10300892
2110653;10301833
2110679;10301975
2110705;10301754
2110732;10302192
2110758;10301655
2110784;10301636
2110810;10301645
2110837;10302034
2110862;10302059
2110889;10302374
2110915;10301897
2110941;10302000
2110968;10302571
2110994;10302605
2111020;10303497
2111046;10302586
2111073;10302443
2111098;10303073
2111125;10302182
2111151;10302714
2111177;10303384
2111204;10303359
2111230;10304176
2111256;10304432
2111282;10303836
2111308;10304093
2111334;10304693
2111361;10304112
2111387;10304196
2111413;10304299
2111440;10304339
2111465;10304270
2111492;10304334
2111518;10304284
2111544;10304595
2111571;10304447
2111596;10304329
2111623;10304486
2111649;10304664
2111675;10304624
2111702;10304565
2111728;10304314
2111754;10304708
2111780;10304934
2111807;10304870
2111833;10304988
2111859;10304014
2111885;10303831
2111911;10304250
2111938;10305584
2111964;10304870
2111990;10304782
2112016;10304939
2112042;10304954
2112069;10305062
2112095;10305136
2112121;10305107
2112148;10305446
2112173;10305313
2112200;10304964
2112225;10304663
2112252;10308927
2112278;10305254
2112305;10305579
2112330;10306121
2112357;10306603
2112383;10306288
2112409;10306008
2112436;10306254
2112462;10306722
2112488;10306180
2112514;10306569
2112540;10306219
2112567;10306535
2112593;10306997
2112619;10306588
2112646;10306938
2112671;10306318
2112698;10306593
2112724;10306264
2112750;10306116
2112777;10306406
2112802;10306170
2112829;10305781
2112855;10305865
2112881;10306569
2112908;10305747
2112934;10306032
2112960;10306524
2112986;10306209
2113013;10306579
2113038;10306554
2113065;10307140
2113091;10307258
2113117;10307253
2113143;10307361
2113170;10307130
2113196;10307288
2113222;10308243
2113248;10307760
2113274;10307519
2113301;10307997
2113327;10308135
2113353;10307923
2113379;10308356
2113406;10308568
2113432;10308454
2113458;10308287
2113484;10307307
2113511;10308159
2113537;10308322
2113563;10308937
2113589;10308346
2113615;10308405
2113642;10309109
2113667;10308779
2113694;10308568
2113721;10309257
2113746;10309424
2113773;10309336
2113799;10308853
2113825;10309636
2113851;10309040
2113878;10309291
2113904;10309567
2113930;10309956
2113956;10310084
2113982;10309868
2114009;10309070
2114035;10309749
2114061;10310084
2114087;10309848
2114113;10310394
2114140;10311133
2114166;10310404
2114192;10310188
2114218;10310045
2114244;10309336
2114270;10309764
2114297;10309912
2114323;10309986
2114349;10310611
2114376;10311029
2114402;10311226
2114428;10311271
2114454;10310690
2114480;10311153
2114507;10311152
2114533;10311128
2114559;10311729
2114585;10312078
2114612;10311536
2114637;10312290
2114664;10312516
2114690;10314555
2114716;10312585
2114742;10312462
2114769;10313570
2114795;10312940
2114821;10312181
2114847;10312644
2114874;10312777
2114900;10311930
2114926;10312236
2114952;10312191
2114979;10312423
2115005;10312373
2115031;10312093
2115057;10312088
2115084;10312674
2115109;10312890
2115136;10313338
2115162;10313634
2115188;10313742
2115215;10313442
2115240;10313097
2115267;10312758
2115293;10312920
2115319;10313240
2115345;10313895
2115372;10313639
2115398;10313506
2115424;10313767
2115451;10314520
2115476;10314136
2115503;10317198
2115529;10314436
2115555;10314618
2115582;10314279
2115608;10314648
2115634;10314663
2115660;10314490
2115686;10314175
2115712;10313934
2115739;10313974
2115765;10313974
2115791;10314441
2115817;10315362
2115844;10314466
2115870;10314043
2115896;10313949
2115922;10315096
2115948;10315106
2115975;10315170
2116001;10314914
2116027;10315273
2116053;10315672
2116080;10315396
2116106;10315864
2116132;10314599
2116158;10314683
2116184;10314820
2116211;10315160
2116237;10314239
2116263;10314205
2116289;10315391
2116316;10315204
2116342;10315697
2116368;10315155
2116394;10315608
2116421;10315303
2116446;10314820
2116473;10314929
2116499;10314299
2116525;10314382
2116552;10315071
2116577;10315234
2116604;10315052
2116630;10315608
2116657;10315741
2116682;10315323
2116708;10315396
2116735;10315426
2116761;10315726
2116788;10316037
2116813;10315657
2116840;10316411
2116866;10316307
2116892;10316204
2116919;10316258
2116945;10316883
2116970;10317090
2116997;10317814
2117024;10316937
2117050;10317218
2117076;10317174
2117102;10316558
2117128;10317120
2117154;10316942
2117181;10316721
2117207;10317312
2117233;10317041
2117259;10317371
2117285;10318030
2117311;10317843
2117338;10317676
2117364;10317612
2117390;10318631
2117417;10318016
2117442;10317878
2117469;10318907
2117495;10318587
2117521;10317937
2117548;10319025
2117574;10318803
2117600;10318557
2117626;10318951
2117652;10318144
2117679;10318434
2117704;10318562
2117731;10318508
2117757;10318149
2117783;10318966
2117810;10318119
2117835;10318321
2117862;10318533
2117889;10317917
2117914;10318611
2117941;10318498
2117967;10319360
2117993;10318838
2118019;10318434
2118046;10317420
2118072;10317942
2118098;10318528
2118124;10319640
2118151;10319059
2118177;10319719
2118203;10320285
2118229;10319409
2118255;10319975
2118281;10319626
2118308;10320236
2118334;10320202
2118360;10320443
2118387;10320207
2118413;10320054
2118439;10320561
2118465;10320709
2118492;10320157
2118517;10320970
2118544;10320556
2118570;10320271
2118596;10320197
2118623;10320059
2118649;10321447
2118675;10321393
2118701;10321979
2118727;10321319
2118753;10321866
2118780;10321767
2118806;10322072
2118832;10322053
2118859;10322703
2118884;10322388
2118911;10323052
2118937;10323397
2118963;10323279
2118989;10323126
2119016;10323579
2119042;10323495
2119068;10324623
2119095;10324308
2119120;10325603
2119147;10324234
2119173;10324076
2119199;10324761
2119226;10324524
2119251;10324662
2119278;10324436
2119304;10324716
2119330;10324820
2119357;10324534
2119383;10324667
2119409;10324165
2119435;10323796
2119461;10323525
2119487;10324524
2119514;10324322
2119540;10322880
2119566;10322924
2119592;10323210
2119618;10323559
2119645;10324702
2119671;10324308
2119697;10324810
2119723;10324864
2119750;10324711
2119776;10324421
2119802;10324938
2119829;10324564
2119854;10324372
2119881;10324455
2119906;10325051
2119933;10325337
2119959;10325573
2119986;10325593
2120011;10325371
2120038;10325548
2120064;10325273
2120090;10325642
2120117;10325622
2120142;10325110
2120169;10325169
2120195;10325145
2120222;10325681
2120247;10327084
2120274;10326740
2120300;10325967
2120326;10326666
2120353;10326755
2120379;10326563
2120405;10326814
2120431;10325701
2120458;10326238
2120484;10327208
2120510;10326883
2120536;10327508
2120563;10327336
2120589;10327286
2120614;10327488
2120641;10328276
2120667;10328335
2120693;10327222
2120720;10326715
2120746;10326159
2120772;10326622
2120798;10326016
2120825;10326110
2120850;10326597
2120877;10327360
2120903;10327070
2120929;10326897
2120956;10327208
2120982;10327464
2121008;10327272
2121034;10327198
2121060;10327331
2121087;10327242
2121113;10328030
2121139;10328542
2121165;10328015
2121191;10328675
2121218;10328089
2121244;10328222
2121270;10328586
2121296;10328468
2121323;10328335
2121348;10328670
2121375;10328291
2121402;10328079
2121427;10328409
2121454;10329394
2121479;10329497
2121506;10330442
2121532;10329886
2121558;10329881
2121585;10329576
2121610;10330122
2121637;10330201
2121664;10330102
2121689;10330610
2121716;10330575
2121742;10330285
2121769;10330723
2121794;10331067
2121821;10331353
2121847;10331781
2121873;10331358
2121899;10330930
2121925;10331555
2121952;10332293
2121978;10331707
2122004;10332677
2122031;10331545
2122056;10331353
2122083;10331309
2122109;10331579
2122135;10331860
2122161;10331304
2122188;10331166
2122214;10331924
2122240;10332372
2122266;10332411
2122293;10332328
2122318;10332786
2122345;10332879
2122371;10333022
2122398;10332983
2122424;10333376
2122450;10333160
2122476;10332845
2122502;10332796
2122528;10332569
2122555;10332938
2122581;10332958
2122607;10332894
2122633;10333450
2122660;10333928
2122686;10333554
2122712;10333893
2122738;10333076
2122764;10333002
2122791;10332983
2122816;10333830
2122843;10334578
2122869;10333815
2122895;10332909
2122921;10333800
2122948;10333898
2122974;10334031
2123000;10333849
2123027;10333765
2123052;10334622
2123079;10334981
2123105;10335361
2123131;10334637
2123158;10334977
2123184;10334972
2123210;10335582
2123236;10335055
2123262;10334839
2123289;10335016
2123315;10335666
2123341;10335607
2123368;10336227
2123393;10335799
2123420;10335818
2123446;10335715
2123472;10335400
2123498;10336060
2123524;10335981
2123551;10335833
2123577;10335444
2123603;10335607
2123630;10335434
2123655;10335469
2123682;10336134
2123708;10336562
2123734;10336887
2123760;10336650
2123787;10336424
2123813;10337148
2123839;10336463
2123866;10336646
2123891;10336936
2123918;10337611
2123944;10337758
2123970;10338009
2123997;10337670
2124023;10338132
2124049;10338457
2124075;10337744
2124101;10337236
2124128;10338000
2124154;10337414
2124180;10337995
2124206;10338728
2124233;10338241
2124258;10338492
2124285;10339216
2124311;10339107
2124337;10338694
2124364;10338733
2124390;10339191
2124416;10339348
2124442;10338669
2124469;10338324
2124494;10339954
2124521;10339649
2124547;10339752
2124573;10339339
2124599;10340323
2124626;10339639
2124651;10340057
2124678;10339993
2124704;10340609
2124731;10340830
2124756;10340653
2124783;10341155
2124809;10341534
2124836;10340939
2124861;10340894
2124888;10341160
2124914;10340328
2124940;10339939
2124966;10340673
2124993;10340924
2125018;10340491
2125045;10341032
2125072;10340816
2125097;10340392
2125124;10341047
2125149;10341579
2125176;10341589
2125203;10341155
2125228;10341313
2125255;10341264
2125281;10340983
2125307;10340870
2125334;10340353
2125359;10340220
2125386;10340476
2125412;10341111
2125438;10341150
2125465;10341298
2125490;10341638
2125517;10342150
2125544;10342386
2125569;10341471
2125596;10342135
2125622;10342209
2125648;10341800
2125674;10341879
2125700;10341874
2125727;10342258
2125753;10342608
2125779;10342524
2125806;10342529
2125831;10343361
2125858;10342992
2125884;10343420
2125910;10343799
2125936;10343331
2125963;10343179
2125988;10343199
2126015;10343445
2126041;10343090
2126068;10343563
2126093;10343942
2126120;10343735
2126146;10344011
2126173;10344267
2126198;10344149
2126225;10343903
2126251;10343947
2126277;10344676
2126304;10344690
2126330;10345232
2126356;10344552
2126382;10345616
2126408;10345114
2126434;10345449
2126461;10345749
2126487;10345744
2126513;10346276
2126539;10346522
2126565;10346049
2126592;10346482
2126618;10345921
2126644;10345906
2126671;10346517
2126696;10345995
2126723;10346015
2126749;10346359
2126775;10346645
2126801;10346576
2126828;10346699
2126854;10346714
2126880;10346827
2126906;10346305
2126933;10346379
2126959;10346640
2126985;10346054
2127012;10345493
2127037;10346788
2127064;10345852
2127089;10346094
2127116;10345739
2127143;10346482
2127168;10346921
2127195;10346891
2127221;10346123
2127247;10346039
2127273;10346364
2127299;10346477
2127326;10346822
2127352;10347054
2127378;10347300
2127405;10347679
2127430;10347654
2127457;10347344
2127483;10347231
2127509;10347580
2127535;10347516
2127562;10347482
2127588;10347275
2127614;10348053
2127640;10348092
2127667;10347295
2127692;10347516
2127719;10347635
2127746;10347728
2127771;10348343
2127798;10348053
2127824;10348713
2127850;10348599
2127876;10348083
2127902;10348363
2127929;10348669
2127955;10348693
2127981;10349766
2128007;10351238
2128034;10348983
2128060;10349520
2128086;10349146
2128112;10349072
2128138;10349210
2128165;10349953
2128191;10349796
2128217;10349564
2128243;10349496
2128270;10349264
2128296;10348698
2128322;10349949
2128348;10349658
2128374;10349486
2128401;10350204
2128427;10349959
2128453;10350155
2128479;10350288
2128505;10349496
2128532;10350003
2128558;10349831
2128584;10349486
2128610;10350170
2128636;10349988
2128663;10350106
2128689;10350200
2128715;10351051
2128741;10350948
2128768;10351081
2128794;10352070
2128820;10351293
2128846;10351293
2128872;10351386
2128899;10351647
2128925;10352248
2128951;10351721
2128977;10351568
2129004;10352110
2129030;10352115
2129056;10352258
2129082;10352415
2129109;10352341
2129134;10351873
2129161;10351125
2129187;10352169
2129213;10352636
2129240;10352858
2129265;10353242
2129292;10352691
2129318;10352144
2129345;10353163
2129370;10353095
2129397;10352740
2129423;10352967
2129449;10353035
2129475;10353493
2129502;10353533
2129528;10353488
2129554;10353292
2129580;10353375
2129606;10353666
2129633;10354030
2129659;10353346
2129686;10354119
2129711;10353966
2129738;10354015
2129763;10353858
2129790;10353917
2129816;10354217
2129842;10354049
2129868;10353951
2129895;10354015
2129921;10353853
2129947;10354527
2129973;10354109
2129999;10355625
2130026;10354739
2130052;10354887
2130078;10355069
2130105;10354956
2130131;10355285
2130157;10356132
2130183;10355409
2130210;10355798
2130235;10355423
2130262;10355467
2130288;10355010
2130315;10355379
2130340;10355487
2130367;10356265
2130393;10355965
2130419;10355763
2130446;10356196
2130471;10356373
2130498;10356078
2130524;10355709
2130550;10356142
2130577;10356664
2130602;10356822
2130629;10355861
2130655;10356255
2130682;10356625
2130707;10356422
2130734;10356635
2130759;10356482
2130786;10356846
2130812;10356285
2130839;10357324
2130865;10356629
2130891;10356718
2130918;10357087
2130943;10356615
2130970;10357087
2130996;10357476
2131022;10357033
2131048;10356482
2131075;10357245
2131101;10356787
2131127;10357235
2131153;10356822
2131179;10356767
2131205;10356994
2131232;10357004
2131258;10357285
2131285;10357816
2131310;10357796
2131337;10357378
2131363;10357407
2131389;10357142
2131415;10357732
2131441;10357560
2131468;10357757
2131494;10358244
2131520;10356881
2131546;10357378
2131572;10357525
2131599;10357437
2131625;10358107
2131651;10357437
2131678;10357703
2131704;10358348
2131730;10357693
2131756;10358023
2131782;10357008
2131808;10356841
2131835;10357988
2131861;10357215
2131887;10357319
2131914;10357634
2131939;10358742
2131966;10357575
2131992;10357797
2132018;10357506
2132045;10357378
2132070;10357122
2132097;10357624
2132123;10357162
2132149;10357486
2132176;10357146
2132202;10357619
2132228;10357319
2132254;10357343
2132281;10357280
2132306;10357806
2132333;10357934
2132359;10358363
2132385;10357417
2132411;10358441
2132438;10359239
2132464;10359283
2132490;10359362
2132517;10360657
2132542;10359450
2132569;10359987
2132595;10359840
2132621;10359505
2132648;10359461
2132673;10359756
2132700;10359982
2132726;10359604
2132752;10359441
2132778;10359342
2132804;10359436
2132831;10359495
2132857;10359702
2132883;10359662
2132910;10360943
2132935;10360598
2132962;10360967
2132988;10360465
2133014;10360090
2133041;10360504
2133066;10360933
2133093;10360278
2133119;10360726
2133145;10360086
2133172;10360760
2133198;10360785
2133224;10360578
2133251;10359825
2133276;10359849
2133303;10360253
2133329;10360302
2133355;10360179
2133382;10360194
2133407;10360824
2133434;10361184
2133460;10361425
2133486;10369740
2133513;10362055
2133539;10361479
2133565;10361907
2133591;10361469
2133617;10361169
2133644;10361218
2133669;10361592
2133696;10362090
2133722;10361061
2133749;10361243
2133774;10361617
2133801;10361676
2133827;10361602
2133854;10361100
2133879;10361282
2133906;10361272
2133932;10361513
2133958;10361262
2133984;10360800
2134011;10362429
2134037;10361818
2134063;10361666
2134090;10361356
2134115;10361577
2134142;10361479
2134167;10361622
2134194;10361769
2134220;10362095
2134246;10361612
2134273;10362946
2134299;10362818
2134326;10363468
2134351;10363635
2134378;10362715
2134404;10363148
2134430;10363439
2134456;10362951
2134483;10363124
2134509;10364605
2134535;10364167
2134561;10364472
2134587;10363764
2134614;10364177
2134640;10363832
2134666;10364231
2134692;10363724
2134718;10363271
2134745;10363419
2134771;10363389
2134797;10363202
2134824;10364014
2134849;10364670
2134876;10364250
2134902;10363778
