=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.05 18:49:38 =~=~=~=~=~=~=~=~=~=~=~=
calubr   ibrate;
I received: calibrate
releasing pressure
depressurization complete
start calibration
time;humidity
2055470;10405962
2055497;10405120
2055522;10405164
2055549;10405100
2055575;10405637
2055601;10405691
2055628;10404647
2055654;10405386
2055680;10404834
2055706;10405888
2055732;10405026
2055758;10405262
2055785;10404676
2055811;10404662
2055837;10404475
2055864;10404317
2055890;10404657
2055916;10404874
2055942;10405179
2055968;10404942
2055994;10405179
2056021;10405212
2056047;10405469
2056073;10404962
2056100;10405336
2056125;10405411
2056152;10405473
2056178;10405597
2056204;10405445
2056231;10405617
2056256;10405621
2056283;10405056
2056309;10405253
2056335;10405110
2056362;10405159
2056387;10405548
2056414;10405775
2056441;10405445
2056466;10405375
2056493;10405469
2056519;10404878
2056545;10406380
2056572;10405872
2056597;10405421
2056624;10405293
2056650;10405282
2056676;10405523
2056703;10405853
2056729;10405440
2056755;10405553
2056781;10405843
2056808;10405602
2056833;10405636
2056860;10405174
2056885;10406080
2056912;10406090
2056938;10405819
2056964;10405267
2056991;10406070
2057017;10406365
2057043;10406444
2057069;10406611
2057096;10405912
2057122;10406513
2057148;10406661
2057174;10406493
2057201;10406833
2057227;10407089
2057253;10406464
2057279;10406439
2057305;10406326
2057331;10406773
2057358;10406350
2057384;10406759
2057410;10406542
2057437;10406616
2057463;10406439
2057489;10406350
2057515;10406690
2057541;10406651
2057567;10406355
2057594;10406753
2057620;10406287
2057646;10406951
2057673;10407138
2057698;10406562
2057725;10406803
2057751;10406897
2057777;10407157
2057804;10407153
2057829;10407014
2057856;10407291
2057882;10408098
2057908;10408153
2057935;10407325
2057960;10407237
2057987;10406867
2058014;10407084
2058039;10406808
2058066;10406843
2058091;10406995
2058118;10407015
2058145;10407546
2058170;10406488
2058197;10407621
2058223;10406374
2058249;10406774
2058275;10406789
2058302;10406415
2058327;10406321
2058354;10406744
2058380;10406567
2058406;10406838
2058433;10406783
2058458;10406503
2058485;10406385
2058512;10406630
2058538;10406533
2058563;10406690
2058590;10407261
2058616;10406625
2058642;10406966
2058669;10405883
2058695;10406429
2058721;10406665
2058747;10406380
2058774;10405744
2058799;10406597
2058826;10406592
2058852;10406641
2058878;10406705
2058905;10406537
2058930;10406739
2058957;10407045
2058983;10408079
2059009;10407024
2059036;10406094
2059061;10407286
2059088;10406611
2059114;10407114
2059140;10406660
2059167;10406527
2059193;10406671
2059219;10406364
2059245;10406322
2059272;10406966
2059298;10406399
2059324;10406567
2059350;10406464
2059376;10405701
2059403;10406114
2059428;10406365
2059455;10405212
2059481;10405563
2059507;10405484
2059534;10405548
2059559;10406139
2059586;10405573
2059613;10406287
2059638;10406128
2059665;10406754
2059691;10406198
2059717;10406533
2059743;10406149
2059770;10406552
2059796;10406429
2059822;10407045
2059848;10406537
2059875;10406971
2059900;10406621
2059927;10406582
2059953;10405892
2059979;10406789
2060006;10406429
2060032;10406213
2060058;10406316
2060084;10406434
2060110;10406769
2060136;10406404
2060163;10406572
2060189;10406592
2060216;10406390
2060241;10406380
2060268;10406355
2060294;10407079
2060320;10406355
2060346;10406247
2060372;10405872
2060399;10406252
2060425;10405626
2060451;10405336
2060477;10405651
2060503;10406124
2060530;10405872
2060556;10406272
2060582;10406887
2060609;10406430
2060635;10406213
2060661;10405897
2060687;10406163
2060713;10406503
2060740;10406961
2060765;10406661
2060792;10407260
2060818;10407163
2060844;10407177
2060871;10407350
2060897;10406784
2060923;10408029
2060949;10406814
2060975;10407739
2061002;10407360
2061028;10407591
2061054;10407370
2061080;10407133
2061107;10407626
2061133;10407439
2061159;10407433
2061185;10407316
2061212;10407256
2061237;10408029
2061264;10407458
2061290;10407581
2061316;10407813
2061342;10407759
2061369;10408048
2061394;10407188
2061421;10407493
2061448;10407375
2061473;10406976
2061500;10406759
2061526;10406769
2061552;10406646
2061579;10406853
2061604;10407212
2061631;10406572
2061657;10407183
2061683;10406951
2061709;10406876
2061736;10406872
2061761;10406523
2061788;10407127
2061815;10406774
2061840;10406650
2061867;10406937
2061893;10407080
2061919;10407222
2061946;10407335
2061971;10406434
2061998;10406976
2062024;10407310
2062050;10407000
2062077;10406897
2062102;10407064
2062129;10407355
2062156;10407104
2062181;10407029
2062208;10407222
2062234;10407025
2062260;10406567
2062286;10406292
2062313;10406124
2062339;10406444
2062365;10406287
2062391;10406459
2062417;10406911
2062444;10406198
2062469;10406419
2062496;10406262
2062522;10406926
2062548;10406971
2062574;10406739
2062601;10406773
2062627;10407070
2062653;10406374
2062680;10407414
2062705;10406183
2062732;10406513
2062758;10406183
2062785;10405897
2062810;10406050
2062837;10405858
2062863;10405553
2062889;10405302
2062915;10405975
2062942;10405435
2062968;10406425
2062994;10406843
2063020;10406721
2063046;10406720
2063073;10406720
2063099;10406967
2063125;10406523
2063152;10406232
2063177;10406976
2063204;10407355
2063230;10406670
2063256;10406552
2063282;10406346
2063309;10406341
2063334;10406808
2063361;10406350
2063387;10406725
2063413;10405986
2063440;10406123
2063466;10406676
2063492;10406188
2063518;10405971
2063545;10406748
2063571;10406292
2063597;10406715
2063623;10407286
2063650;10407566
2063675;10406867
2063702;10406833
2063728;10406927
2063754;10407601
2063780;10407423
2063807;10406725
2063833;10406774
2063859;10406896
2063885;10407384
2063912;10407143
2063938;10406350
2063964;10406650
2063990;10406710
2064016;10407040
2064042;10407503
2064069;10406705
2064095;10406537
2064121;10406764
2064148;10406946
2064173;10406488
2064200;10407034
2064227;10406488
2064252;10406631
2064279;10406193
2064305;10406025
2064331;10407128
2064358;10407059
2064383;10406744
2064410;10406665
2064436;10407606
2064462;10406809
2064489;10406404
2064514;10406587
2064541;10407242
2064567;10406705
2064593;10406149
2064619;10406108
2064646;10406267
2064672;10406735
2064698;10407187
2064724;10406660
2064751;10407094
2064776;10406779
2064803;10407699
2064829;10407089
2064856;10407458
2064881;10407547
2064908;10407212
2064934;10407325
2064960;10407360
2064986;10406921
2065013;10407665
2065038;10407714
2065065;10407424
2065091;10407147
2065117;10407399
2065143;10407645
2065170;10408176
2065196;10408606
2065222;10407956
2065249;10407611
2065275;10408063
2065301;10407655
2065327;10408182
2065354;10408156
2065379;10408370
2065406;10408458
2065432;10407788
2065458;10407508
2065484;10407360
2065511;10408148
2065537;10407493
2065563;10407433
2065589;10407138
2065615;10407044
2065642;10406912
2065668;10406616
2065694;10408284
2065721;10407203
2065746;10407493
2065773;10408256
2065799;10407542
2065825;10407079
2065852;10406927
2065877;10406843
2065904;10406809
2065930;10407260
2065957;10407778
2065982;10407571
2066009;10407198
2066035;10407280
2066061;10406055
2066087;10406390
2066114;10406178
2066140;10405449
2066166;10406272
2066192;10405538
2066219;10405829
2066245;10405218
2066271;10405283
2066298;10406010
2066323;10405701
2066350;10405947
2066376;10405597
2066402;10406158
2066428;10405755
2066455;10406020
2066480;10406636
2066507;10406803
2066533;10406778
2066560;10406449
2066585;10406257
2066612;10406720
2066638;10407384
2066664;10406424
2066690;10407124
2066716;10406941
2066743;10406858
2066769;10407227
2066795;10406685
2066822;10406626
2066847;10406976
2066874;10407192
2066900;10406464
2066926;10407054
2066953;10407094
2066979;10406804
2067005;10407124
2067031;10407261
2067058;10407350
2067084;10407045
2067110;10406656
2067136;10407428
2067162;10407863
2067188;10407660
2067215;10407187
2067241;10408054
2067267;10407709
2067293;10407227
2067320;10407483
2067346;10406838
2067372;10407335
2067398;10407897
2067425;10407842
2067450;10408319
2067477;10408207
2067503;10408196
2067529;10408167
2067555;10408058
2067582;10407542
2067608;10407542
2067634;10407699
2067660;10407853
2067687;10407900
2067712;10407936
2067739;10407408
2067765;10407690
2067791;10407940
2067817;10407769
2067844;10407591
2067870;10407473
2067896;10407300
2067923;10406957
2067948;10407625
2067975;10407730
2068001;10407975
2068027;10407802
2068054;10408246
2068079;10407276
2068106;10407807
2068132;10407956
2068158;10407556
2068184;10407980
2068211;10408227
2068237;10408156
2068263;10407754
2068289;10407892
2068316;10407931
2068342;10407787
2068368;10407714
2068394;10408704
2068420;10408038
2068447;10407532
2068473;10407419
2068499;10407223
2068526;10407832
2068551;10407280
2068578;10407439
2068604;10407177
2068630;10407119
2068657;10407832
2068683;10407291
2068709;10407862
2068735;10407167
2068762;10407537
2068787;10407749
2068814;10408015
2068840;10407015
2068866;10407133
2068892;10407247
2068919;10407252
2068945;10407247
2068971;10407217
2068998;10407488
2069023;10407453
2069050;10407512
2069076;10407714
2069102;10407187
2069128;10406942
2069154;10406572
2069181;10406611
2069207;10407280
2069233;10406814
2069259;10407453
2069286;10407985
2069312;10408556
2069338;10407572
2069364;10407531
2069390;10407552
2069417;10408000
2069443;10407872
2069469;10407596
2069495;10407793
2069521;10407991
2069548;10407769
2069574;10407483
2069601;10406823
2069626;10406917
2069653;10407606
2069679;10407699
2069705;10408148
2069731;10407817
2069757;10407675
2069784;10407616
2069810;10407621
2069836;10408014
2069862;10407905
2069889;10407724
2069914;10407414
2069941;10407807
2069967;10407990
2069993;10407901
2070020;10406355
2070046;10407152
2070072;10407316
2070099;10406891
2070124;10407202
2070151;10406922
2070177;10406828
2070203;10406897
2070230;10407330
2070255;10407182
2070282;10407252
2070308;10406828
2070334;10408226
2070361;10407247
2070386;10407734
2070413;10407242
2070439;10407463
2070465;10407350
2070491;10407916
2070518;10407822
2070544;10408221
2070570;10407547
2070597;10408038
2070622;10408212
2070649;10407921
2070675;10407419
2070701;10406892
2070727;10406424
2070754;10406932
2070780;10406834
2070806;10407183
2070833;10407616
2070858;10407511
2070885;10407045
2070911;10407571
2070937;10407906
2070964;10407689
2070989;10407527
2071016;10407581
2071042;10407783
2071068;10407694
2071094;10407734
2071121;10408083
2071147;10407616
2071173;10407990
2071199;10408118
2071226;10407207
2071252;10407759
2071278;10407616
2071304;10407557
2071330;10407388
2071357;10407828
2071383;10407403
2071409;10407128
2071436;10407498
2071461;10407644
2071488;10407680
2071514;10406778
2071540;10407188
2071566;10408028
2071593;10408049
2071619;10408369
2071645;10407882
2071671;10407665
2071697;10407147
2071724;10407759
2071750;10407802
2071776;10407655
2071803;10407842
2071828;10407892
2071855;10408064
2071881;10408078
2071907;10407813
2071934;10408039
2071959;10408162
2071986;10408206
2072012;10408625
2072038;10408384
2072064;10408084
2072091;10408374
2072117;10408399
2072143;10408256
2072170;10408211
2072195;10409187
2072222;10408851
2072248;10408580
2072274;10408044
2072300;10407901
2072326;10407817
2072353;10408423
2072379;10408335
2072405;10408443
2072431;10408330
2072458;10407660
2072484;10407996
2072510;10407950
2072536;10407704
2072563;10408236
2072589;10408197
2072615;10407511
2072641;10407493
2072667;10407961
2072693;10408595
2072720;10408679
2072746;10408891
2072772;10408487
2072799;10408039
2072825;10408438
2072851;10407980
2072877;10408118
2072903;10408246
2072930;10408256
2072955;10408714
2072982;10408063
2073008;10409305
2073034;10409024
2073061;10417152
2073087;10408330
2073113;10408673
2073140;10409575
2073165;10408856
2073192;10408374
2073218;10408768
2073244;10408256
2073271;10409059
2073296;10408462
2073323;10409024
2073349;10409073
2073375;10408630
2073402;10408600
2073428;10409324
2073454;10408965
2073480;10409177
2073506;10409057
2073532;10408773
2073559;10408852
2073585;10408964
2073611;10408556
2073638;10408713
2073663;10408365
2073690;10408689
2073716;10408457
2073742;10408713
2073768;10408314
2073794;10408911
2073821;10407921
2073847;10408610
2073874;10409270
2073899;10408423
2073926;10408989
2073951;10408679
2073978;10408186
2074005;10409236
2074030;10408896
2074057;10408345
2074083;10407980
2074109;10407985
2074135;10408196
2074161;10408601
2074188;10408023
2074214;10408064
2074241;10408507
2074266;10407581
2074293;10408502
2074319;10407945
2074345;10407547
2074372;10408034
2074397;10407616
2074424;10407868
2074450;10407906
2074476;10408276
2074502;10408359
2074528;10407970
2074555;10408212
2074581;10408427
2074608;10409167
2074633;10408965
2074660;10408028
2074686;10407971
2074712;10408078
2074738;10407970
2074765;10408212
2074791;10408344
2074817;10408438
2074843;10409088
2074870;10408693
2074895;10408630
2074922;10408985
2074948;10409373
2074974;10409024
2075001;10408969
2075026;10408665
2075053;10408708
2075079;10408822
2075105;10408836
2075132;10408423
2075157;10409137
2075184;10408640
2075210;10408605
2075236;10408822
2075263;10408502
2075289;10409132
2075315;10408821
2075341;10408340
2075368;10408094
2075394;10407975
2075420;10534752
2075446;10408359
2075472;10408246
2075499;10406587
2075525;10403529
2075551;10397980
2075577;10393269
2075604;10387809
2075629;10379936
2075656;10371183
2075682;10362572
2075708;10354109
2075735;10343730
2075761;10336301
2075787;10328099
